seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,12.023,708.272,0.0001,0.0001,3106.2,34537.5,3444.2,55.31,0.0000
42,aero_offset,2,5,0,11.902,780.383,0.0003,0.0003,3242.7,35060.5,3846.1,52.26,0.0000
42,aero_offset,3,5,0,11.963,823.914,0.0003,0.0003,3348.9,33679.1,3126.0,54.35,0.0000
42,aero_offset,4,5,0,12.044,335.438,0.0001,0.0001,2994.3,36035.0,4330.0,54.29,0.0000
42,aero_offset,5,5,0,11.856,806.054,0.0003,0.0003,3373.2,34244.3,3378.4,56.26,0.0000
42,aero_offset,6,5,0,11.979,194.190,0.0003,0.0003,3213.3,33890.6,3159.9,50.76,0.0000
42,aero_offset,7,5,0,12.004,399.189,0.0002,0.0002,3214.4,35293.0,3995.6,54.11,0.0000
42,aero_offset,8,5,0,11.811,1077.520,0.0005,0.0005,3209.9,34789.4,3662.7,54.09,0.0000
42,aero_offset,9,5,0,12.065,103.966,0.0001,0.0001,3182.0,34615.6,3527.2,52.57,0.0000
42,aero_offset,10,5,0,11.849,1012.521,0.0004,0.0004,3388.0,35078.2,3910.5,57.76,0.0000
42,aero_offset,11,5,0,11.843,584.434,0.0004,0.0004,3166.1,34603.2,3512.7,51.17,0.0000
42,aero_offset,12,5,0,12.020,588.673,0.0002,0.0002,3271.8,33623.2,3081.3,54.51,0.0000
42,aero_offset,13,5,0,11.965,1293.554,0.0006,0.0006,2985.0,35688.6,4143.1,52.30,0.0000
42,aero_offset,14,5,0,11.989,147.376,0.0002,0.0002,3261.3,34006.6,3229.9,54.71,0.0000
42,aero_offset,15,5,0,11.975,585.439,0.0001,0.0001,3324.0,33947.6,3224.3,55.29,0.0000
42,aero_offset,16,5,0,11.820,849.127,0.0003,0.0003,3311.0,34172.3,3313.8,54.88,0.0000
42,aero_offset,17,5,0,12.035,631.734,0.0001,0.0001,3223.0,35122.6,3870.5,55.02,0.0000
42,aero_offset,18,5,0,11.888,1380.044,0.0005,0.0005,3243.8,33950.9,3202.3,51.94,0.0000
42,aero_offset,19,5,0,11.890,1145.769,0.0003,0.0003,3355.7,34708.3,3667.9,54.10,0.0000
42,aero_offset,20,5,0,12.031,714.189,0.0002,0.0002,2955.4,36094.0,4350.2,52.41,0.0000
42,aero_offset,21,5,0,11.829,1166.561,0.0005,0.0005,3102.0,35031.8,3777.3,55.95,0.0000
42,aero_offset,22,5,0,12.002,305.311,0.0001,0.0001,3314.1,33812.4,3165.0,55.07,0.0000
42,aero_offset,23,5,0,11.904,721.951,0.0003,0.0003,3135.0,34604.7,3500.5,53.28,0.0000
42,aero_offset,24,5,0,11.895,1033.585,0.0003,0.0003,3172.9,33628.0,3055.1,50.93,0.0000
42,aero_offset,25,5,0,12.036,166.645,0.0001,0.0001,3232.3,34331.0,3379.1,56.17,0.0000
42,aero_offset,26,5,0,11.911,999.280,0.0005,0.0005,3124.6,34253.4,3304.0,58.64,0.0000
42,aero_offset,27,5,0,11.996,432.854,0.0002,0.0002,3197.3,35165.2,3892.9,53.50,0.0000
42,aero_offset,28,5,0,11.868,494.450,0.0003,0.0003,3091.6,34615.8,3490.9,55.63,0.0000
42,aero_offset,29,5,0,11.791,579.956,0.0004,0.0004,3251.9,33858.2,3163.2,55.63,0.0000
42,aero_offset,30,5,0,12.028,236.240,0.0001,0.0001,3278.0,34432.2,3451.4,54.99,0.0000
42,aero_offset,31,5,0,11.850,1277.298,0.0003,0.0003,3288.3,33810.5,3160.0,55.39,0.0000
42,aero_offset,32,5,0,11.860,1061.272,0.0004,0.0004,3279.2,35203.3,3942.9,56.44,0.0000
42,aero_offset,33,5,0,12.044,288.230,0.0001,0.0001,3461.4,34061.5,3327.5,51.65,0.0000
42,aero_offset,34,5,0,11.894,723.427,0.0005,0.0005,3035.7,34957.6,3705.0,56.67,0.0000
42,aero_offset,35,5,0,12.016,519.757,0.0002,0.0002,3271.6,34623.5,3576.0,57.32,0.0000
42,aero_offset,36,5,0,11.926,677.967,0.0003,0.0003,3218.5,34763.7,3661.6,53.17,0.0000
42,aero_offset,37,5,0,11.925,978.620,0.0003,0.0003,3141.8,34841.4,3664.2,51.43,0.0000
42,aero_offset,38,5,0,12.042,237.675,0.0001,0.0001,3385.0,34499.7,3542.5,57.49,0.0000
42,aero_offset,39,5,0,11.844,1067.163,0.0003,0.0003,3358.7,33819.4,3181.0,49.50,0.0000
42,aero_offset,40,5,0,11.934,492.354,0.0002,0.0002,3197.8,33708.1,3096.2,54.86,0.0000
42,aero_offset,41,5,0,12.001,78.994,0.0002,0.0002,3181.5,35236.5,3930.4,53.89,0.0000
42,aero_offset,42,5,0,11.791,1119.353,0.0004,0.0004,3234.6,34076.0,3249.7,54.93,0.0000
42,aero_offset,43,5,0,11.964,52.161,0.0003,0.0003,3477.2,33789.8,3204.1,55.49,0.0000
42,aero_offset,44,5,0,11.967,376.107,0.0002,0.0002,3255.3,34056.7,3247.4,57.68,0.0000
42,aero_offset,45,5,0,11.831,1227.157,0.0004,0.0004,3196.7,34606.6,3530.5,53.67,0.0000
42,aero_offset,46,5,0,12.022,115.053,0.0003,0.0003,2975.8,36271.8,4448.8,54.99,0.0000
42,aero_offset,47,5,0,11.796,847.632,0.0005,0.0005,3221.7,35240.8,3952.4,51.86,0.0000
42,aero_offset,48,5,0,12.003,850.799,0.0002,0.0002,3248.7,34317.1,3376.1,56.02,0.0000
42,aero_offset,49,5,0,12.009,567.683,0.0002,0.0002,3205.9,34830.7,3693.4,50.98,0.0000
42,aero_offset,50,5,0,11.844,1123.377,0.0005,0.0005,3118.6,34701.0,3563.6,53.44,0.0000
42,aero_offset,51,5,0,12.043,378.032,0.0000,0.0000,3361.1,33799.5,3170.8,56.64,0.0000
42,aero_offset,52,5,0,11.867,876.850,0.0005,0.0005,3242.1,35243.8,3963.4,53.30,0.0000
42,aero_offset,53,5,0,11.899,949.597,0.0003,0.0003,3166.7,34821.0,3668.1,56.50,0.0000
42,aero_offset,54,5,0,12.014,232.411,0.0002,0.0002,3047.1,35050.7,3766.5,54.22,0.0000
42,aero_offset,55,5,0,11.839,1431.828,0.0004,0.0004,3133.6,35013.0,3795.2,55.74,0.0000
42,aero_offset,56,5,0,12.016,181.544,0.0001,0.0001,3286.5,34446.2,3454.8,54.90,0.0000
42,aero_offset,57,5,0,11.988,355.597,0.0001,0.0001,3099.3,34658.0,3529.8,55.61,0.0000
42,aero_offset,58,5,0,11.829,492.270,0.0004,0.0004,3525.8,34274.0,3470.1,55.89,0.0000
42,aero_offset,59,5,0,12.036,113.022,0.0001,0.0001,3315.4,34744.9,3680.0,53.57,0.0000
42,aero_offset,60,5,0,11.813,1043.196,0.0003,0.0003,3238.7,33853.0,3159.4,56.06,0.0000
42,aero_offset,61,5,0,11.983,867.666,0.0002,0.0002,3125.7,34360.3,3349.7,55.63,0.0000
42,aero_offset,62,5,0,12.013,354.567,0.0001,0.0001,3329.5,34601.4,3584.4,55.30,0.0000
42,aero_offset,63,5,0,11.812,1235.497,0.0006,0.0006,3130.7,34433.8,3396.0,52.61,0.0000
42,aero_offset,64,5,0,12.028,55.669,0.0001,0.0001,3105.8,34527.5,3449.7,54.59,0.0000
42,aero_offset,65,5,0,11.843,892.268,0.0005,0.0005,3187.6,34656.6,3560.6,53.49,0.0000
42,aero_offset,66,5,0,11.952,359.193,0.0003,0.0003,3490.9,34435.4,3549.4,53.42,0.0000
42,aero_offset,67,5,0,12.038,445.066,0.0001,0.0001,3107.5,36037.9,4355.8,52.80,0.0000
42,aero_offset,68,5,0,11.861,819.507,0.0004,0.0004,3263.8,34801.9,3690.9,53.57,0.0000
42,aero_offset,69,5,0,6.204,28.951,0.0016,0.0016,3215.2,34213.8,3312.9,55.25,0.0000
42,aero_offset,70,5,0,11.987,979.987,0.0002,0.0002,3186.3,34545.8,3480.7,54.42,0.0000
42,aero_offset,71,5,0,11.817,849.571,0.0005,0.0005,3213.4,33934.1,3184.3,53.33,0.0000
42,aero_offset,72,5,0,12.050,413.777,0.0001,0.0001,3339.6,34135.9,3311.7,56.95,0.0000
42,aero_offset,73,5,0,11.960,1286.413,0.0004,0.0004,2991.8,36288.0,4460.6,49.91,0.0000
42,aero_offset,74,5,0,11.915,774.069,0.0003,0.0003,3234.5,34384.2,3405.8,56.75,0.0000
42,aero_offset,75,5,0,12.022,661.369,0.0001,0.0001,3320.3,34042.4,3263.4,55.32,0.0000
42,aero_offset,76,5,0,11.791,810.058,0.0004,0.0004,3491.9,34369.5,3518.9,56.70,0.0000
42,aero_offset,77,5,0,12.019,670.869,0.0001,0.0001,3061.9,34176.0,3237.0,54.19,0.0000
42,aero_offset,78,5,0,11.936,352.745,0.0003,0.0003,3447.9,33856.1,3227.3,57.35,0.0000
42,aero_offset,79,5,0,11.831,1147.456,0.0005,0.0005,3024.8,34536.4,3425.6,52.96,0.0000
42,aero_offset,80,3,0,5.094,16.390,0.0009,0.0001,3188.0,34098.3,3237.8,64.58,0.0000
42,aero_offset,81,5,0,11.883,1006.257,0.0005,0.0005,3129.9,35064.1,3815.3,52.74,0.0000
42,aero_offset,82,5,0,11.874,556.795,0.0003,0.0003,3068.8,34540.4,3442.0,53.08,0.0000
42,aero_offset,83,5,0,11.994,796.461,0.0002,0.0002,3346.6,34450.3,3490.8,54.15,0.0000
42,aero_offset,84,5,0,11.806,1098.996,0.0004,0.0004,3280.1,33991.2,3227.8,57.36,0.0000
42,aero_offset,85,5,0,12.039,333.330,0.0001,0.0001,3233.7,34934.1,3761.0,54.51,0.0000
42,aero_offset,86,5,0,11.884,603.796,0.0003,0.0003,3418.8,34783.0,3744.6,57.66,0.0000
42,aero_offset,87,5,0,11.969,539.336,0.0003,0.0003,3367.8,34313.8,3422.2,53.94,0.0000
42,aero_offset,88,5,0,12.018,283.565,0.0001,0.0001,3499.3,33695.3,3179.0,50.75,0.0000
42,aero_offset,89,5,0,11.804,984.942,0.0004,0.0004,3461.2,34565.1,3625.2,51.36,0.0000
42,aero_offset,90,5,0,11.958,274.788,0.0003,0.0003,3220.3,35203.9,3922.5,51.46,0.0000
42,aero_offset,91,5,0,11.880,642.801,0.0004,0.0004,3018.4,35809.4,4213.1,53.57,0.0000
42,aero_offset,92,5,0,11.816,919.925,0.0005,0.0005,3241.0,34592.6,3539.2,51.82,0.0000
42,aero_offset,93,5,0,12.041,136.465,0.0001,0.0001,3258.1,34065.2,3246.8,56.67,0.0000
42,aero_offset,94,5,0,11.842,1688.864,0.0005,0.0005,3273.6,35212.5,3952.1,53.96,0.0000
42,aero_offset,95,5,0,11.926,1099.965,0.0002,0.0002,3203.2,34827.7,3682.7,55.79,0.0000
42,aero_offset,96,5,0,12.020,693.669,0.0002,0.0002,3216.5,34972.6,3786.9,52.67,0.0000
42,aero_offset,97,5,0,11.846,1518.523,0.0005,0.0005,3153.9,34300.3,3327.4,54.69,0.0000
42,aero_offset,98,5,0,12.023,269.626,0.0001,0.0001,3094.9,34789.6,3617.7,55.13,0.0000
42,aero_offset,99,5,0,11.887,787.611,0.0005,0.0005,3116.1,34952.4,3732.2,53.22,0.0000
42,aero_offset,100,5,0,11.846,855.677,0.0004,0.0004,3211.9,34244.8,3325.9,56.53,0.0000
42,aero_offset,101,3,0,5.515,18.622,0.0009,0.0005,3404.2,33763.5,3177.9,65.68,0.0000
