seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,chaos,1,5,0,12.036,510.848,0.0002,0.0002,2730.5,32234.5,2625.4,48.12,0.0000
42,chaos,2,5,0,11.922,629.560,0.0004,0.0004,2868.3,32605.4,2728.4,45.32,0.0000
42,chaos,3,5,0,11.839,649.761,0.0005,0.0005,3054.7,30677.8,2364.1,47.61,0.0000
42,chaos,4,5,0,12.011,80.842,0.0001,0.0001,2622.1,33403.5,2867.5,47.28,0.0000
42,chaos,5,5,0,12.034,680.353,0.0004,0.0004,3002.9,31930.4,2600.2,49.02,0.0000
42,chaos,6,5,0,9.030,31.064,0.0024,0.0024,2915.2,30743.8,2358.1,44.25,0.0000
42,chaos,7,5,0,12.109,218.613,0.0002,0.0002,2838.9,32753.6,2757.8,47.07,0.0000
42,chaos,8,5,0,11.000,972.098,0.0007,0.0007,2828.3,32419.0,2683.7,46.99,0.0000
42,chaos,9,3,0,5.929,23.167,0.0008,0.0004,2798.4,32153.0,2618.7,50.71,0.0000
42,chaos,10,5,0,11.587,1052.205,0.0003,0.0003,3005.8,32762.9,2786.5,50.43,0.0000
42,chaos,11,5,0,11.964,449.358,0.0005,0.0005,2819.8,32009.7,2591.9,44.37,0.0000
42,chaos,12,5,0,12.000,411.092,0.0001,0.0001,2979.0,30558.7,2334.9,47.84,0.0000
42,chaos,13,5,0,9.535,1209.772,0.0031,0.0031,2606.1,33094.0,2791.7,45.41,0.0000
42,chaos,14,5,0,12.005,66.344,0.0005,0.0005,2920.2,31314.5,2474.0,47.73,0.0000
42,chaos,15,5,0,12.026,420.290,0.0003,0.0003,2980.4,31272.4,2473.3,48.27,0.0000
42,chaos,16,5,0,11.933,736.632,0.0007,0.0007,2962.5,31707.9,2546.5,47.79,0.0000
42,chaos,17,5,0,12.060,421.835,0.0001,0.0001,2843.0,32758.9,2753.2,47.88,0.0000
42,chaos,18,5,0,11.765,1230.274,0.0006,0.0006,2925.3,31018.5,2420.0,45.22,0.0000
42,chaos,19,5,0,12.013,995.296,0.0002,0.0002,2970.2,32362.7,2696.2,46.98,0.0000
42,chaos,20,5,0,12.106,487.796,0.0003,0.0003,2589.7,33401.6,2859.7,45.53,0.0000
42,chaos,21,5,0,9.342,1102.062,0.0023,0.0023,2709.2,32757.4,2733.7,48.73,0.0000
42,chaos,22,5,0,11.969,140.488,0.0003,0.0003,2999.4,30957.5,2411.0,48.19,0.0000
42,chaos,23,5,0,11.996,555.484,0.0005,0.0005,2768.7,32178.0,2619.6,46.27,0.0000
42,chaos,24,5,0,11.844,858.798,0.0007,0.0007,2906.6,30239.0,2268.2,44.58,0.0000
42,chaos,25,3,0,4.836,16.543,0.0010,0.0003,2859.5,31981.7,2591.1,57.82,0.0000
