seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,terminal,1,2,0,1.762,3.811,0.0004,0.0004,4029.1,18350.3,875.2,23.53,0.0000
42,terminal,2,1,0,1.498,1.051,0.0003,0.0001,4190.1,20191.1,1012.1,21.67,0.0000
42,terminal,3,2,0,2.335,6.990,0.0001,0.0001,4506.0,16365.4,720.7,24.71,0.0000
42,terminal,4,2,0,1.526,2.435,0.0001,0.0002,3746.4,21886.4,1162.9,22.48,0.0000
42,terminal,5,2,0,1.883,2.550,0.0002,0.0003,4397.8,17829.4,835.5,24.35,0.0000
42,terminal,6,3,0,3.966,16.385,0.0033,0.0003,4301.4,16702.3,745.0,24.09,0.0000
42,terminal,7,1,0,1.502,1.615,0.0001,0.0001,4068.3,20428.2,1042.7,22.43,0.0000
42,terminal,8,2,0,1.518,2.004,0.0002,0.0002,4126.0,18894.1,923.2,22.38,0.0000
42,terminal,9,2,0,2.149,3.883,0.0001,0.0003,4099.7,18570.5,892.9,23.86,0.0000
42,terminal,10,2,0,2.006,5.189,0.0004,0.0004,4290.1,19359.6,966.3,25.23,0.0000
42,terminal,11,1,0,1.578,1.877,0.0002,0.0003,4168.4,18819.2,903.6,21.59,0.0000
42,terminal,12,2,0,1.932,4.514,0.0002,0.0003,4462.0,15948.3,689.6,23.57,0.0000
42,terminal,13,2,0,2.047,3.158,0.0002,0.0002,3836.8,21621.3,1126.4,23.50,0.0000
42,terminal,14,2,0,3.124,0.352,0.0025,0.0004,4315.0,17138.1,779.7,25.40,0.0000
42,terminal,15,1,0,1.491,0.691,0.0002,0.0001,4423.8,16976.4,768.1,22.51,0.0000
42,terminal,16,2,0,1.681,2.030,0.0004,0.0003,4339.2,17647.1,819.9,23.28,0.0000
42,terminal,17,2,0,1.938,4.044,0.0004,0.0004,4054.0,19511.8,976.6,24.23,0.0000
42,terminal,18,3,0,2.196,10.552,0.0007,0.0003,4335.0,16903.5,761.6,23.61,0.0000
42,terminal,19,2,0,2.166,4.393,0.0002,0.0003,4285.5,18771.6,914.7,24.52,0.0000
42,terminal,20,2,0,1.598,3.436,0.0004,0.0004,3788.9,22517.2,1199.8,21.96,0.0000
42,terminal,21,1,0,1.528,1.551,0.0001,0.0003,3983.3,19323.5,958.5,22.98,0.0000
42,terminal,22,1,0,1.517,0.720,0.0001,0.0003,4457.4,16625.9,740.4,22.39,0.0000
42,terminal,23,3,0,3.519,13.252,0.0020,0.0004,4037.6,18458.4,885.0,26.38,0.0000
42,terminal,24,2,0,1.854,4.276,0.0002,0.0002,4350.0,15992.6,691.6,22.34,0.0000
42,terminal,25,3,0,5.736,14.842,0.0037,0.0003,4178.1,18003.8,848.1,23.69,0.0000
42,terminal,26,2,0,2.173,0.108,0.0006,0.0003,4143.9,17546.4,810.8,25.61,0.0000
42,terminal,27,1,0,1.492,1.812,0.0000,0.0002,4085.4,20069.7,1011.2,22.20,0.0000
42,terminal,28,1,0,1.787,1.540,0.0002,0.0002,4016.3,18479.6,886.4,24.03,0.0000
42,terminal,29,3,0,4.764,8.999,0.0056,0.0003,4364.6,16596.1,737.9,25.06,0.0000
42,terminal,30,3,0,5.435,17.326,0.0025,0.0004,4205.0,18228.2,867.0,24.07,0.0000
42,terminal,31,2,0,2.274,8.911,0.0002,0.0004,4433.2,16517.2,732.2,24.69,0.0000
42,terminal,32,2,0,1.735,2.769,0.0003,0.0004,4135.6,19617.5,987.5,24.17,0.0000
42,terminal,33,1,0,1.706,1.627,0.0000,0.0004,4536.0,17395.3,802.1,22.37,0.0000
42,terminal,34,2,0,1.581,2.733,0.0001,0.0004,3904.3,19136.9,941.8,23.49,0.0000
42,terminal,35,1,0,1.620,1.958,0.0003,0.0004,4199.4,18599.4,897.6,23.72,0.0000
42,terminal,36,1,0,1.508,1.241,0.0001,0.0000,4135.3,19090.3,934.4,22.05,0.0000
42,terminal,37,2,0,2.336,4.802,0.0001,0.0004,4085.5,19527.8,957.6,23.56,0.0000
42,terminal,38,1,0,1.527,1.788,0.0003,0.0003,4354.0,18314.7,876.3,23.41,0.0000
42,terminal,39,3,0,4.663,11.261,0.0008,0.0004,4490.0,16646.0,741.8,25.46,0.0000
42,terminal,40,1,0,1.709,1.347,0.0002,0.0003,4372.5,16123.3,702.2,23.11,0.0000
42,terminal,41,2,0,1.972,3.046,0.0002,0.0004,4032.1,20190.4,1023.0,23.83,0.0000
42,terminal,42,2,0,2.381,4.802,0.0001,0.0002,4285.4,17293.6,791.8,25.01,0.0000
42,terminal,43,2,0,1.744,4.274,0.0003,0.0004,4610.6,16853.2,757.9,23.47,0.0000
42,terminal,44,2,0,2.381,7.040,0.0000,0.0004,4318.8,17193.2,783.3,25.62,0.0000
42,terminal,45,2,0,1.877,3.627,0.0003,0.0003,4131.5,18506.7,890.1,23.59,0.0000
42,terminal,46,2,0,2.017,4.956,0.0005,0.0002,3724.0,22174.6,1191.9,24.68,0.0000
42,terminal,47,1,0,1.535,0.199,0.0003,0.0003,4171.9,20794.4,1056.2,21.45,0.0000
