seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,3.886,195.615,0.0376,0.0012,4274.1,38091.7,3294.5,60.39,0.0235
42,aero_offset,2,5,0,4.540,412.465,0.0462,0.0012,4456.6,38778.6,3745.4,59.16,0.0161
42,aero_offset,3,5,0,4.729,393.972,0.0496,0.0015,4530.8,37870.6,3075.0,59.71,0.0964
42,aero_offset,4,5,0,5.066,227.927,0.0386,0.0019,4262.5,38140.1,4117.7,60.20,0.0783
42,aero_offset,5,5,0,4.262,480.615,0.0454,0.0016,4584.2,38381.2,3324.5,61.24,0.0739
42,aero_offset,6,5,0,4.356,222.046,0.0376,0.0024,4400.5,37493.3,3037.0,55.61,0.0481
42,aero_offset,7,5,0,5.001,243.439,0.0386,0.0038,4442.7,38718.2,3857.1,60.88,0.0611
42,aero_offset,8,5,0,3.873,668.209,0.0443,0.0020,4427.4,38605.4,3602.7,58.37,0.0592
42,aero_offset,9,5,0,4.917,225.518,0.0386,0.0032,4404.5,37688.9,3356.4,58.37,0.0543
42,aero_offset,10,5,0,4.933,588.008,0.0406,0.0036,4634.4,39021.2,3863.7,63.77,0.0728
42,aero_offset,11,5,0,3.457,364.457,0.0422,0.0003,4349.4,38354.0,3430.9,55.44,0.0081
42,aero_offset,12,5,0,4.398,206.211,0.0402,0.0004,4425.8,37589.1,2988.6,61.55,0.0037
42,aero_offset,13,5,0,3.937,791.575,0.0425,0.0021,4190.8,38968.2,4095.5,56.62,0.0486
42,aero_offset,14,5,0,4.260,226.246,0.0407,0.0004,4458.3,37643.8,3134.3,60.64,0.0087
42,aero_offset,15,5,0,4.938,297.722,0.0436,0.0057,4508.8,38051.0,3163.3,60.99,0.0981
42,aero_offset,16,5,0,4.005,519.981,0.0395,0.0006,4500.4,38276.3,3279.6,60.22,0.0141
42,aero_offset,17,5,0,4.294,200.669,0.0397,0.0034,4481.7,37789.8,3666.4,59.85,0.0670
42,aero_offset,18,5,0,4.557,870.262,0.0448,0.0002,4427.0,37969.0,3150.2,58.65,0.0360
42,aero_offset,19,5,0,5.464,576.388,0.0491,0.0045,4590.9,38620.6,3561.0,61.55,0.1019
42,aero_offset,20,5,0,4.684,204.496,0.0481,0.0012,4175.9,39033.4,4193.2,58.01,0.0825
42,aero_offset,21,5,0,4.096,702.656,0.0403,0.0005,4306.7,38684.2,3734.4,60.05,0.0369
42,aero_offset,22,5,0,4.855,198.893,0.0406,0.0017,4526.3,37316.3,3059.0,62.21,0.0513
42,aero_offset,23,5,0,4.511,371.164,0.0465,0.0011,4312.6,38350.2,3403.8,60.16,0.0266
42,aero_offset,24,5,0,4.998,572.037,0.0513,0.0047,4326.4,37593.3,2998.1,56.42,0.0983
42,aero_offset,25,5,0,5.461,228.643,0.0401,0.0063,4445.4,37706.1,3219.9,62.12,0.0932
42,aero_offset,26,5,0,4.076,615.367,0.0407,0.0010,4302.4,38121.5,3262.7,63.63,0.0327
42,aero_offset,27,5,0,4.189,238.290,0.0375,0.0011,4426.9,38458.7,3730.5,59.06,0.0351
42,aero_offset,28,5,0,5.485,326.116,0.0408,0.0028,4288.3,38209.7,3379.2,62.26,0.0912
42,aero_offset,29,5,0,4.015,385.919,0.0413,0.0016,4429.3,37920.0,3119.1,60.07,0.0360
42,aero_offset,30,5,0,5.074,205.245,0.0404,0.0024,4528.3,37468.8,3272.3,60.93,0.0698
42,aero_offset,31,5,0,4.577,784.288,0.0414,0.0009,4463.0,37943.3,3115.1,62.62,0.0154
42,aero_offset,32,5,0,4.096,584.147,0.0467,0.0005,4519.8,38868.3,3832.1,62.27,0.0307
