seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,5.298,140.016,0.0494,0.0041,4353.6,36904.0,3198.1,63.02,0.0627
42,aero_offset,2,5,0,6.560,122.208,0.0553,0.0553,4555.5,37901.0,3670.0,47.13,0.0000
42,aero_offset,3,5,0,5.854,127.225,0.0555,0.0068,4611.6,37157.7,2982.1,62.03,0.1145
42,aero_offset,4,5,0,6.254,155.702,0.0476,0.0476,4337.5,37091.6,4021.8,49.40,0.0000
42,aero_offset,5,5,0,6.426,166.256,0.0542,0.0542,4666.5,37579.8,3246.4,51.12,0.0000
42,aero_offset,6,5,0,5.569,109.286,0.0502,0.0045,4482.6,36438.1,2904.4,57.35,0.1288
42,aero_offset,7,5,0,6.522,82.444,0.0504,0.0504,4487.3,38141.8,3746.2,49.04,0.0000
42,aero_offset,8,5,0,6.523,349.262,0.0518,0.0518,4512.8,37767.2,3522.3,48.97,0.0000
42,aero_offset,9,5,0,6.151,53.802,0.0541,0.0541,4509.1,36281.4,3280.2,47.65,0.0000
42,aero_offset,10,5,0,7.853,230.365,0.0492,0.0492,4724.4,38222.1,3774.5,52.56,0.0000
42,aero_offset,11,5,0,5.723,108.363,0.0490,0.0081,4433.2,37563.4,3360.5,58.42,0.1211
42,aero_offset,12,5,0,6.498,111.878,0.0453,0.0453,4442.6,37260.1,2909.9,49.61,0.0000
42,aero_offset,13,5,0,6.652,458.882,0.0515,0.0515,4285.0,38100.0,4032.2,47.20,0.0000
42,aero_offset,14,5,0,5.399,75.069,0.0580,0.0080,4539.1,36840.4,3040.0,61.15,0.1255
42,aero_offset,15,5,0,6.735,92.026,0.0537,0.0537,4562.0,37454.6,3076.2,50.21,0.0000
42,aero_offset,16,5,0,6.784,196.868,0.0481,0.0481,4580.3,37536.5,3205.4,49.77,0.0000
42,aero_offset,17,5,0,5.131,50.263,0.0510,0.0068,4465.0,37930.0,3537.9,62.64,0.1115
42,aero_offset,18,5,0,8.246,570.027,0.0499,0.0499,4515.6,37156.5,3064.2,46.85,0.0000
42,aero_offset,19,5,0,7.054,259.748,0.0524,0.0524,4671.4,37721.3,3450.6,49.06,0.0000
42,aero_offset,20,5,0,5.921,89.673,0.0462,0.0019,4203.7,38376.5,4152.6,62.14,0.0359
42,aero_offset,21,5,0,6.465,352.402,0.0510,0.0510,4391.9,37868.4,3647.4,50.87,0.0000
42,aero_offset,22,5,0,6.128,82.109,0.0497,0.0497,4608.0,36084.4,2953.9,50.20,0.0000
42,aero_offset,23,5,0,6.642,110.589,0.0515,0.0515,4394.2,37633.6,3311.0,48.25,0.0000
42,aero_offset,24,5,0,7.284,292.734,0.0578,0.0578,4411.4,36779.2,2907.6,45.91,0.0000
42,aero_offset,25,5,0,6.573,111.895,0.0531,0.0531,4531.2,36453.8,3122.4,51.25,0.0000
42,aero_offset,26,5,0,6.502,273.341,0.0525,0.0525,4386.9,37325.2,3183.6,53.64,0.0000
42,aero_offset,27,5,0,5.398,118.670,0.0489,0.0035,4489.4,37478.4,3627.1,61.36,0.0622
42,aero_offset,28,5,0,6.973,96.803,0.0496,0.0496,4341.9,37569.6,3278.5,50.71,0.0000
42,aero_offset,29,5,0,5.597,100.647,0.0534,0.0034,4500.8,37294.9,3038.1,63.65,0.1227
42,aero_offset,30,5,0,6.359,71.910,0.0528,0.0528,4617.0,36295.3,3143.0,50.09,0.0000
42,aero_offset,31,5,0,8.438,467.389,0.0463,0.0463,4549.8,37169.2,3035.2,50.33,0.0000
42,aero_offset,32,5,0,6.266,243.397,0.0511,0.0511,4611.3,37950.0,3715.1,51.44,0.0000
42,aero_offset,33,5,0,6.634,95.063,0.0464,0.0464,4702.3,37629.6,3127.8,46.53,0.0000
42,aero_offset,34,5,0,5.599,108.279,0.0568,0.0099,4314.5,37755.8,3565.6,63.29,0.1356
42,aero_offset,35,5,0,5.555,84.930,0.0483,0.0028,4579.6,36715.9,3237.0,66.04,0.0545
42,aero_offset,36,5,0,6.324,121.841,0.0546,0.0546,4489.9,37896.3,3459.4,48.07,0.0000
42,aero_offset,37,5,0,6.174,196.752,0.0612,0.0612,4432.6,37607.4,3515.2,46.35,0.0000
42,aero_offset,38,5,0,6.670,145.468,0.0493,0.0493,4684.2,37313.2,3267.1,52.47,0.0000
42,aero_offset,39,5,0,8.451,418.223,0.0463,0.0463,4621.6,37261.5,3054.4,44.36,0.0000
42,aero_offset,40,5,0,5.284,75.325,0.0569,0.0052,4417.2,37020.1,2921.7,61.28,0.1269
42,aero_offset,41,5,0,6.786,121.032,0.0480,0.0480,4531.0,36896.7,3664.9,48.94,0.0000
42,aero_offset,42,5,0,6.763,386.792,0.0488,0.0488,4498.1,37354.1,3139.7,49.83,0.0000
42,aero_offset,43,5,0,6.348,127.335,0.0510,0.0510,4785.8,36380.3,3020.6,50.47,0.0000
42,aero_offset,44,5,0,6.393,102.200,0.0514,0.0514,4456.7,37731.5,3095.4,52.63,0.0000
42,aero_offset,45,5,0,7.468,379.380,0.0522,0.0522,4485.9,37543.8,3353.4,48.64,0.0000
42,aero_offset,46,5,0,6.405,85.869,0.0517,0.0517,4384.9,37084.6,4183.5,50.11,0.0000
42,aero_offset,47,5,0,6.335,204.215,0.0544,0.0544,4533.6,38146.3,3839.5,46.65,0.0000
42,aero_offset,4
