seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,4.369,158.788,0.0497,0.0049,3148.9,34307.2,3328.9,66.76,0.0843
42,aero_offset,2,5,0,3.811,472.534,0.0450,0.0010,3309.4,34803.2,3754.9,62.62,0.0219
42,aero_offset,3,5,0,3.271,483.688,0.0509,0.0016,3421.9,33524.1,3077.3,64.04,0.0416
42,aero_offset,4,5,0,4.175,248.864,0.0452,0.0035,3033.4,35655.6,4116.8,65.35,0.0690
42,aero_offset,5,5,0,3.027,571.573,0.0484,0.0001,3449.0,34104.4,3327.0,65.29,0.0223
42,aero_offset,6,5,0,3.089,316.042,0.0478,0.0009,3295.0,33452.9,3042.9,60.04,0.0267
42,aero_offset,7,5,0,4.309,256.482,0.0450,0.0026,3285.4,34988.5,3866.6,66.00,0.0543
42,aero_offset,8,5,0,2.676,764.497,0.0488,0.0014,3295.9,34611.0,3603.1,62.95,0.0358
42,aero_offset,9,5,0,3.643,329.839,0.0447,0.0032,3222.5,34352.6,3372.4,62.64,0.0485
42,aero_offset,10,5,0,3.607,677.815,0.0447,0.0016,3465.0,34940.9,3864.4,68.42,0.0327
42,aero_offset,11,5,0,2.669,453.650,0.0447,0.0005,3238.8,34363.9,3433.6,59.61,0.0039
42,aero_offset,12,5,0,4.540,203.354,0.0472,0.0037,3331.0,33306.7,2994.8,66.80,0.0686
42,aero_offset,13,5,0,2.983,883.687,0.0479,0.0002,3070.6,35495.4,4095.5,61.40,0.0239
42,aero_offset,14,5,0,3.424,309.523,0.0441,0.0007,3335.4,33643.7,3142.8,64.80,0.0164
42,aero_offset,15,5,0,4.013,341.149,0.0479,0.0049,3391.4,33774.2,3169.2,65.64,0.0820
42,aero_offset,16,5,0,2.506,629.362,0.0443,0.0004,3377.1,34066.3,3278.5,63.16,0.0018
42,aero_offset,17,5,0,3.762,116.959,0.0451,0.0014,3254.4,34760.1,3669.4,65.63,0.0299
42,aero_offset,18,5,0,3.205,973.701,0.0466,0.0005,3322.2,33767.5,3151.1,61.38,0.0116
42,aero_offset,19,5,0,3.752,650.622,0.0481,0.0022,3435.6,34434.6,3566.5,65.24,0.0431
42,aero_offset,20,5,0,5.012,177.608,0.0499,0.0077,3039.7,35596.2,4198.1,63.87,0.1314
42,aero_offset,21,5,0,2.677,798.808,0.0477,0.0015,3186.3,34877.8,3733.9,64.68,0.0365
42,aero_offset,22,5,0,3.817,270.477,0.0449,0.0020,3379.0,33484.5,3066.8,65.99,0.0393
42,aero_offset,23,5,0,3.569,439.673,0.0449,0.0003,3197.6,34370.4,3411.3,63.45,0.0012
42,aero_offset,24,5,0,3.364,682.565,0.0493,0.0014,3244.6,33423.4,2999.5,60.68,0.0378
42,aero_offset,25,5,0,4.361,346.575,0.0471,0.0047,3288.2,33994.3,3253.8,66.51,0.0833
42,aero_offset,26,5,0,3.047,713.584,0.0462,0.0007,3206.5,34103.3,3262.6,68.00,0.0225
42,aero_offset,27,5,0,3.043,261.989,0.0455,0.0009,3278.9,34731.6,3737.6,62.95,0.0216
42,aero_offset,28,5,0,4.187,371.691,0.0493,0.0036,3177.1,34325.3,3387.5,66.69,0.0773
42,aero_offset,29,5,0,2.498,495.987,0.0459,0.0009,3328.0,33708.8,3118.9,64.05,0.0251
42,aero_offset,30,5,0,4.075,286.150,0.0471,0.0018,3324.8,34143.1,3302.1,65.48,0.0614
42,aero_offset,31,5,0,3.210,890.817,0.0422,0.0003,3351.3,33675.7,3115.9,65.12,0.0000
42,aero_offset,32,5,0,2.695,658.135,0.0453,0.0004,3359.2,34885.5,3835.7,65.19,0.0000
42,aero_offset,33,5,0,4.087,266.039,0.0429,0.0017,3520.9,33795.6,3240.4,63.30,0.0384
42,aero_offset,34,5,0,2.866,549.860,0.0475,0.0011,3120.9,34781.0,3656.6,65.43,0.0326
42,aero_offset,35,5,0,3.129,252.896,0.0418,0.0003,3324.2,34229.4,3378.5,67.11,0.0000
42,aero_offset,36,5,0,3.941,394.584,0.0459,0.0025,3284.6,34536.9,3563.0,64.26,0.0497
42,aero_offset,37,5,0,3.688,574.443,0.0512,0.0034,3220.6,34590.9,3576.1,60.86,0.0627
42,aero_offset,38,5,0,4.164,291.328,0.0484,0.0032,3424.0,34307.8,3426.7,68.52,0.0779
42,aero_offset,39,5,0,3.141,811.039,0.0421,0.0003,3418.1,33657.3,3133.5,58.96,0.0000
42,aero_offset,40,5,0,3.119,337.939,0.0468,0.0004,3274.0,33512.7,3037.5,64.06,0.0202
42,aero_offset,41,5,0,4.260,312.363,0.0426,0.0003,3246.5,34812.9,3784.0,65.14,0.0103
42,aero_offset,42,5,0,2.592,808.272,0.0450,0.0001,3308.9,33952.1,3214.1,63.56,0.0187
