seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,150.996,92.111,0.1072,0.1072,7509.4,38619.5,3294.5,41.67,0.0000
42,aero_offset,2,5,0,154.438,347.476,0.0979,0.0979,7800.7,40231.8,3745.4,38.01,0.0769
42,aero_offset,3,5,0,152.934,331.549,0.0868,0.0868,7787.8,39511.1,3075.0,40.32,0.1143
42,aero_offset,4,5,0,152.996,158.525,0.1050,0.1050,7499.3,39487.1,4117.7,40.52,0.1524
42,aero_offset,5,5,0,154.468,406.947,0.0886,0.0886,7909.6,39977.6,3324.5,42.00,0.0000
42,aero_offset,6,5,0,152.133,151.950,0.0925,0.0925,7603.1,39057.0,3037.0,37.00,0.1516
42,aero_offset,7,5,0,154.046,168.827,0.1039,0.1039,7778.2,40037.1,3857.1,39.92,0.0768
42,aero_offset,8,5,0,154.303,589.510,0.0853,0.0853,7732.1,40059.7,3602.7,39.92,0.0384
42,aero_offset,9,5,0,152.627,156.900,0.0994,0.0994,7630.5,39221.8,3356.4,38.79,0.0000
42,aero_offset,10,5,0,154.947,509.930,0.0937,0.0937,8037.7,40550.3,3863.7,43.22,0.0773
42,aero_offset,11,5,0,153.377,290.646,0.0894,0.0894,7620.2,39803.2,3430.9,37.16,0.0382
42,aero_offset,12,5,0,152.254,142.197,0.1090,0.1090,7653.4,39020.0,2988.6,40.76,0.0000
42,aero_offset,13,5,0,154.421,714.195,0.0889,0.0889,7475.0,40235.0,4095.5,38.23,0.0000
42,aero_offset,14,5,0,152.861,158.797,0.0957,0.0957,7705.5,39258.8,3134.3,40.86,0.0000
42,aero_offset,15,5,0,153.246,234.749,0.0984,0.0984,7784.3,39614.3,3163.3,41.23,0.0000
42,aero_offset,16,5,0,153.761,442.020,0.0883,0.0883,7796.5,39847.8,3279.6,40.71,0.0767
42,aero_offset,17,5,0,151.819,108.867,0.1082,0.1082,7763.5,38854.7,3666.4,41.14,0.0755
42,aero_offset,18,5,0,153.345,805.262,0.0955,0.0955,7681.0,39546.0,3150.2,37.94,0.0000
42,aero_offset,19,5,0,154.414,516.440,0.0888,0.0888,7938.4,40193.0,3561.0,39.79,0.1154
42,aero_offset,20,5,0,154.181,141.784,0.1075,0.1075,7458.7,40205.1,4193.2,38.45,0.1152
42,aero_offset,21,5,0,153.788,623.222,0.0843,0.0843,7577.2,40060.8,3734.4,41.89,0.0767
42,aero_offset,22,5,0,152.217,136.299,0.0993,0.0993,7747.8,38967.6,3059.0,41.26,0.0000
42,aero_offset,23,5,0,153.396,309.574,0.0952,0.0952,7567.2,39770.8,3403.8,39.34,0.0000
42,aero_offset,24,5,0,152.422,519.345,0.0869,0.0869,7504.6,39162.7,2998.1,37.18,0.0000
42,aero_offset,25,5,0,152.672,165.884,0.1000,0.1000,7683.5,39256.6,3219.9,42.39,0.0000
