seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
99,aero_offset,1,5,0,5.556,137.514,0.0458,0.0036,4604.2,37017.5,3047.6,64.18,0.0604
99,aero_offset,2,5,0,5.426,142.652,0.0513,0.0055,4510.0,37854.7,3303.6,61.72,0.0922
99,aero_offset,3,5,0,7.619,204.304,0.0520,0.0520,4560.7,37716.0,3168.4,50.14,0.0000
99,aero_offset,4,5,0,4.510,32.010,0.0538,0.0029,4358.9,37424.8,3045.7,59.69,0.0742
99,aero_offset,5,5,0,7.895,366.932,0.0468,0.0468,4477.6,38476.9,3829.8,51.58,0.0000
99,aero_offset,6,5,0,6.327,115.476,0.0578,0.0578,4289.6,37140.0,2994.3,50.09,0.0000
99,aero_offset,7,5,0,7.599,370.722,0.0522,0.0522,4386.7,38448.1,3905.0,50.09,0.0000
99,aero_offset,8,5,0,7.627,356.012,0.0482,0.0482,4390.3,37956.5,3389.1,47.31,0.0000
99,aero_offset,9,5,0,5.600,89.956,0.0541,0.0048,4386.3,37142.7,3592.8,60.94,0.1103
99,aero_offset,10,5,0,6.753,263.635,0.0475,0.0475,4327.4,37918.4,3328.6,46.67,0.0000
99,aero_offset,11,5,0,6.647,65.598,0.0534,0.0534,4630.6,37545.3,3107.8,48.83,0.0000
99,aero_offset,12,5,0,5.251,127.500,0.0459,0.0043,4808.8,37073.2,3002.3,62.38,0.0707
99,aero_offset,13,5,0,7.264,361.144,0.0461,0.0461,4539.8,38084.3,3391.6,42.90,0.0000
99,aero_offset,14,5,0,5.944,84.126,0.0537,0.0058,4189.1,37560.8,3592.0,65.67,0.1183
99,aero_offset,15,5,0,5.496,171.962,0.0539,0.0090,4276.6,38589.3,4146.3,58.70,0.1371
99,aero_offset,16,5,0,7.875,404.301,0.0518,0.0518,4540.3,38284.9,3607.7,46.98,0.0000
99,aero_offset,17,5,0,5.189,94.735,0.0535,0.0078,4577.7,37272.1,3329.2,62.72,0.1280
99,aero_offset,18,5,0,7.504,754.683,0.0485,0.0485,4404.4,37827.7,3316.7,49.59,0.0000
99,aero_offset,19,5,0,6.976,188.951,0.0529,0.0529,4507.4,37870.1,3398.2,50.65,0.0000
99,aero_offset,20,5,0,5.244,97.012,0.0568,0.0029,4498.9,37641.1,3122.7,60.06,0.1215
99,aero_offset,21,5,0,7.643,694.036,0.0518,0.0518,4597.2,38541.4,3812.3,53.56,0.0000
99,aero_offset,22,5,0,5.840,76.141,0.0513,0.0060,4522.5,38274.8,4186.2,67.66,0.0979
99,aero_offset,23,5,0,6.007,185.731,0.0497,0.0497,4431.3,37913.3,3353.5,49.79,0.0000
99,aero_offset,24,5,0,7.986,285.030,0.0451,0.0451,4652.7,38104.4,3417.4,49.72,0.0000
99,aero_offset,25,5,0,5.440,77.711,0.0507,0.0035,4229.9,36467.4,3028.6,61.59,0.1232
99,aero_offset,26,5,0,7.334,475.650,0.0514,0.0514,4549.2,38041.0,3379.6,48.56,0.0000
99,aero_offset,27,5,0,6.402,120.789,0.0569,0.0569,4695.7,37758.1,3277.5,47.31,0.0000
99,aero_offset,28,5,0,5.991,172.674,0.0529,0.0052,4347.9,37735.7,3293.7,62.32,0.1293
99,aero_offset,29,5,0,7.571,307.828,0.0523,0.0523,4503.8,38062.2,3427.6,49.18,0.0000
99,aero_offset,30,5,0,5.796,123.711,0.0499,0.0066,4375.9,37166.8,3168.2,58.21,0.1463
99,aero_offset,31,5,0,5.436,74.737,0.0541,0.0056,4436.9,37000.8,3079.9,60.34,0.1029
99,aero_offset,32,5,0,7.350,301.411,0.0522,0.0522,4592.6,38554.2,3819.1,54.57,0.0000
99,aero_offset,33,5,0,5.124,129.202,0.0454,0.0016,4532.9,38348.8,3602.6,62.93,0.0336
99,aero_offset,34,5,0,7.114,588.059,0.0498,0.0498,4111.3,37391.6,3105.8,46.35,0.0000
99,aero_offset,35,5,0,6.107,108.860,0.0462,0.0462,4465.8,37867.6,3407.1,47.10,0.0000
99,aero_offset,36,5,0,8.022,312.923,0.0530,0.0530,4561.5,38363.1,3651.9,47.65,0.0000
99,aero_offset,37,5,0,8.447,370.513,0.0506,0.0506,4648.7,37866.2,3214.1,53.65,0.0000
99,aero_offset,38,5,0,4.967,116.158,0.0526,0.0075,4425.1,37102.2,3232.1,62.61,0.1187
99,aero_offset,39,5,0,7.935,492.979,0.0495,0.0495,4520.9,37737.7,3173.6,52.46,0.0000
99,aero_offset,40,5,0,7.190,251.951,0.0544,0.0544,4578.5,37757.4,3184.1,47.16,0.0000
99,aero_offset,41,5,0,5.060,104.575,0.0513,0.0027,4444.6,37878.1,3290.8,59.70,0.0700
99,aero_offset,42,5,0,6.883,188.259,0.0509,0.0509,4335.8,38373.8,3803.1,47.26,0.0000
99,aero_offset,43,5,0,5.647,83.302,0.0469,0.0038,4488.4,37054.6,3620.3,62.00,0.0641
