seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,3,0,4.815,15.786,0.0443,0.0039,4203.5,37021.9,3198.1,61.79,0.0840
42,aero_offset,2,5,0,2.498,33.156,0.0531,0.0004,4390.9,37887.0,3670.0,55.81,0.0000
42,aero_offset,3,3,0,5.900,13.333,0.0443,0.0062,4481.3,37021.5,2982.1,61.01,0.1143
42,aero_offset,4,5,0,3.367,27.886,0.0633,0.0030,4183.2,37135.7,4021.8,60.17,0.0633
42,aero_offset,5,3,0,4.341,10.305,0.0432,0.0003,4537.0,37555.8,3246.4,61.80,0.0398
42,aero_offset,6,3,0,3.587,11.531,0.0469,0.0026,4317.5,36474.3,2904.4,55.96,0.0552
42,aero_offset,7,3,0,2.143,20.520,0.0321,0.0026,4323.9,38238.9,3746.2,55.36,0.0511
42,aero_offset,8,3,0,5.699,18.759,0.0692,0.0058,4392.3,37678.1,3522.3,61.19,0.1655
42,aero_offset,9,2,0,3.602,8.456,0.0379,0.0004,4339.8,36557.8,3280.2,58.02,0.0051
42,aero_offset,10,3,0,4.184,7.069,0.0429,0.0019,4583.1,38168.2,3774.5,61.94,0.0319
42,aero_offset,11,5,0,8.868,29.692,0.0543,0.0543,4305.2,37447.4,3360.5,46.19,0.0000
42,aero_offset,12,3,0,3.234,16.908,0.0444,0.0008,4299.5,37178.9,2909.9,59.58,0.0111
42,aero_offset,13,5,0,16.549,17.293,0.0645,0.0645,4173.0,38024.5,4032.2,47.29,0.0000
42,aero_offset,14,3,0,5.942,20.536,0.0557,0.0025,4387.6,36739.0,3040.0,62.00,0.1754
42,aero_offset,15,5,0,7.050,29.941,0.0541,0.0541,4394.1,37481.1,3076.2,50.38,0.0000
42,aero_offset,16,3,0,4.972,9.587,0.0366,0.0036,4445.1,37479.1,3205.4,60.05,0.0611
42,aero_offset,17,3,0,3.146,13.524,0.0540,0.0023,4288.4,38036.9,3537.9,59.31,0.0354
42,aero_offset,18,5,0,19.524,69.952,0.0657,0.0657,4389.3,37053.4,3064.2,46.97,0.0000
42,aero_offset,19,3,0,4.910,1.414,0.0400,0.0027,4542.7,37681.8,3450.6,59.73,0.0539
42,aero_offset,20,3,0,5.690,18.390,0.0559,0.0035,4057.6,38468.6,4152.6,62.47,0.0500
42,aero_offset,21,5,0,8.644,20.453,0.0687,0.0687,4276.6,37795.3,3647.4,50.99,0.0000
42,aero_offset,22,3,0,2.421,16.563,0.0193,0.0005,4439.8,36348.6,2953.9,56.65,0.0034
42,aero_offset,23,3,0,3.811,20.204,0.0370,0.0026,4256.8,37517.7,3311.0,58.57,0.0442
42,aero_offset,24,5,0,7.434,6.209,0.0496,0.0496,4268.8,36674.7,2907.6,46.03,0.0000
42,aero_offset,25,5,1,138.060,219.882,0.0471,0.0471,0.0,36641.8,3122.4,112.25,0.1033
42,aero_offset,26,5,0,3.253,25.596,0.0660,0.0028,4264.4,37257.8,3183.6,63.27,0.0610
42,aero_offset,27,5,0,2.898,27.949,0.0645,0.0076,4326.9,37749.2,3627.1,57.56,0.1072
42,aero_offset,28,5,0,6.845,10.092,0.0463,0.0463,4206.1,37414.1,3278.5,50.79,0.0000
42,aero_offset,29,3,0,4.598,3.401,0.0497,0.0053,4369.7,37177.0,3038.1,61.52,0.0930
42,aero_offset,30,2,0,3.301,9.979,0.0443,0.0027,4466.1,36245.4,3143.0,60.05,0.0470
42,aero_offset,31,5,0,12.044,54.551,0.0620,0.0620,4408.4,37063.9,3035.2,50.48,0.0000
42,aero_offset,32,3,0,4.128,6.713,0.0501,0.0084,4476.9,37899.1,3715.1,61.12,0.1172
42,aero_offset,33,3,0,3.694,13.036,0.0461,0.0004,4548.8,37736.7,3127.8,56.15,0.0338
42,aero_offset,34,5,0,6.969,21.353,0.0568,0.0568,4190.6,37723.0,3565.6,51.77,0.0000
42,aero_offset,35,5,0,2.325,26.707,0.0622,0.0045,4417.8,37029.3,3237.0,59.45,0.0760
42,aero_offset,36,3,0,3.890,22.572,0.0518,0.0037,4348.0,37740.2,3459.4,51.53,0.0632
42,aero_offset,37,5,0,1.985,30.270,0.0424,0.0010,4274.6,37574.8,3515.2,52.91,0.0146
42,aero_offset,38,5,0,3.025,28.481,0.0656,0.0018,4546.9,37232.2,3267.1,61.86,0.0633
42,aero_offset,39,5,0,9.617,30.534,0.0659,0.0659,4495.4,37139.6,3054.4,44.43,0.0000
42,aero_offset,40,3,0,2.712,15.829,0.0446,0.0012,4252.7,37040.9,2921.7,58.66,0.0322
42,aero_offset,41,3,0,3.480,15.150,0.0221,0.0003,4390.5,37056.8,3664.9,57.03,0.0109
42,aero_offset,42,5,0,10.022,8.752,0.0682,0.0682,4376.4,37255.6,3139.7,49.93,0.0000
42,aero_offset,43,3,0,4.205,7.782,0.0381,0.0019,4638.2,36619.8,3020.6,60.13,0.0352
42,aero_offset,44,3,0,3.705,19.496,0.0557,0.0021,4299.0,37611.7,3095.4,62.59,0.0586
42,aero_offset,45,5,0,7.373,28.321,0.0562,0.0562,4345.0,37460.0,3353.4,48.73,0.0000
42,aero_offset,46,3,0,4.118,14.187,0.0518,0.0012,4194.7,37390.3,4183.5,61.84,0.0383
42,aero_offset,47,5,0,2.566,29.392,0.0286,0.0003,4395.1,38126.9,3839.5,51.25,0.0000
42,aero_offset,48,5,0,3.006,26.861,0.0654,0.0059,4369.6,37300.2,3130.5,60.60,0.1080
42,aero_offset,49,5,0,6.879,29.579,0.0630,0.0630,4313.9,38014.7,3543.8,45.94,0.0000
42,aero_offset,50,5,0,3.675,29.549,0.0636,0.0020,4257.0,37495.9,3425.6,58.67,0.0610
42,aero_offset,51,3,0,2.792,17.792,0.0361,0.0027,4457.1,36622.5,2974.8,59.30,0.0405
42,aero_offset,52,3,0,4.171,3.549,0.0454,0.0039,4420.6,38058.0,3821.4,59.54,0.0698
42,aero_offset,53,5,0,3.017,29.250,0.0210,0.0002,4315.8,37492.6,3404.1,55.84,0.0000
42,aero_offset,54,5,0,6.947,27.990,0.0615,0.0615,4156.6,37568.8,3479.7,49.33,0.0000
42,aero_offset,55,5,0,17.527,30.397,0.0664,0.0664,4318.3,37851.5,3681.1,50.73,0.0000
42,aero_offset,56,3,0,2.980,12.008,0.0225,0.0004,4449.7,36595.0,3170.6,58.28,0.0000
42,aero_offset,57,3,0,3.714,18.645,0.0542,0.0031,4155.4,37730.9,3303.3,60.88,0.0630
42,aero_offset,58,3,0,1.857,19.007,0.0586,0.0016,4676.9,37750.9,3310.8,58.55,0.0234
42,aero_offset,59,5,0,4.738,31.144,0.0645,0.0051,4494.4,37043.4,3430.8,60.24,0.1161
42,aero_offset,60,3,0,4.657,19.719,0.0689,0.0002,4379.9,37072.0,3043.2,62.81,0.1018
42,aero_offset,61,3,0,5.305,18.841,0.0558,0.0083,4218.6,37347.3,3146.1,62.69,0.1427
42,aero_offset,62,3,0,2.903,12.609,0.0437,0.0017,4416.5,37951.6,3297.3,58.89,0.0437
42,aero_offset,63,5,0,17.055,23.459,0.0665,0.0665,4289.0,37301.7,3257.9,47.66,0.0000
42,aero_offset,64,3,0,2.478,17.453,0.0219,0.0016,4243.9,36509.1,3166.7,56.25,0.0252
42,aero_offset,65,3,0,4.391,3.223,0.0342,0.0011,4325.4,37612.7,3412.3,58.36,0.0211
42,aero_offset,66,5,0,6.167,12.811,0.0497,0.0497,4624.4,37712.4,3324.6,48.38,0.0000
42,aero_offset,67,3,0,4.407,12.466,0.0469,0.0021,4236.5,38507.6,4133.5,59.00,0.0710
42,aero_offset,68,5,0,2.374,29.746,0.0569,0.0049,4426.0,37826.0,3526.0,56.93,0.0927
42,aero_offset,69,5,0,6.075,5.811,0.0485,0.0485,4334.3,36920.3,3074.5,50.43,0.0000
42,aero_offset,70,5,0,7.374,19.929,0.0494,0.0494,4304.0,37628.4,3261.6,49.52,0.0000
42,aero_offset,71,3,0,4.228,9.214,0.0357,0.0012,4333.4,36952.5,3025.9,57.01,0.0172
42,aero_offset,72,5,0,2.258,28.819,0.0548,0.0018,4448.2,36915.6,3116.0,58.08,0.0384
42,aero_offset,73,5,0,8.673,37.004,0.0665,0.0665,4186.3,38393.8,4398.5,44.83,0.0000
42,aero_offset,74,5,0,7.029,20.419,0.0541,0.0541,4379.9,37261.7,3184.6,51.91,0.0000
42,aero_offset,75,3,0,4.462,6.385,0.0487,0.0036,4382.2,37602.3,3066.5,60.18,0.0540
42,aero_offset,76,3,0,2.998,23.235,0.0386,0.0006,4689.6,37809.5,3388.8,59.20,0.0091
42,aero_offset,77,5,0,4.851,38.085,0.0616,0.0056,4145.3,36570.6,2957.8,60.23,0.0911
42,aero_offset,78,3,0,4.042,10.317,0.0500,0.0014,4544.0,37455.2,3060.0,63.23,0.0549
42,aero_offset,79,5,0,6.475,27.410,0.0539,0.0539,4147.1,37155.3,3238.5,48.13,0.0000
42,aero_offset,80,2,0,3.425,8.254,0.0434,0.0016,4306.3,36477.7,3009.8,60.72,0.0251
42,aero_offset,81,3,0,3.312,13.964,0.0644,0.0018,4290.1,37787.9,3681.8,56.81,0.0463
42,aero_offset,82,3,0,4.202,14.879,0.0442,0.0012,4147.1,37531.9,3237.6,58.82,0.0377
