seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,3,0,3.109,17.010,0.0347,0.0011,4259.6,37116.0,3198.1,59.19,0.0259
42,aero_offset,2,3,0,2.469,22.245,0.0440,0.0045,4460.4,38009.5,3670.0,55.11,0.0885
42,aero_offset,3,3,0,2.727,12.256,0.0401,0.0004,4515.5,37152.2,2982.1,57.61,0.0211
42,aero_offset,4,5,0,5.527,31.271,0.0604,0.0068,4249.9,37223.0,4021.8,61.25,0.1635
42,aero_offset,5,3,0,5.182,24.156,0.0554,0.0041,4591.2,37658.4,3246.4,63.49,0.1487
42,aero_offset,6,3,0,2.278,16.074,0.0411,0.0002,4367.3,36609.2,2904.4,53.32,0.0000
42,aero_offset,7,3,0,1.958,24.283,0.0151,0.0003,4370.7,38311.3,3746.2,54.09,0.0000
42,aero_offset,8,5,0,8.449,13.426,0.0686,0.0686,4450.7,37786.3,3522.3,48.92,0.0000
42,aero_offset,9,3,0,3.467,11.545,0.0438,0.0023,4405.7,36618.5,3280.2,57.65,0.0373
42,aero_offset,10,3,0,4.021,15.413,0.0457,0.0031,4618.4,38263.2,3774.5,61.98,0.0497
42,aero_offset,11,3,0,3.187,21.911,0.0505,0.0022,4328.6,37540.4,3360.5,55.67,0.0303
42,aero_offset,12,3,0,2.114,24.925,0.0431,0.0031,4348.8,37314.9,2909.9,56.78,0.0483
42,aero_offset,13,5,0,16.971,22.643,0.0646,0.0646,4223.7,38107.4,4032.2,47.17,0.0000
42,aero_offset,14,3,0,5.827,21.772,0.0558,0.0141,4442.9,36875.9,3040.0,61.89,0.1826
42,aero_offset,15,5,0,8.297,13.889,0.0503,0.0503,4473.9,37602.8,3076.2,50.12,0.0000
42,aero_offset,16,3,0,5.201,18.891,0.0523,0.0007,4497.9,37599.8,3205.4,61.40,0.0836
42,aero_offset,17,3,0,3.517,12.612,0.0537,0.0019,4360.2,38092.9,3537.9,60.33,0.0299
