seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,5.379,121.723,0.0514,0.0024,4344.6,37116.0,3198.1,64.02,0.0793
42,aero_offset,2,5,0,7.103,102.981,0.0554,0.0554,4554.2,38009.5,3670.0,47.09,0.0000
42,aero_offset,3,5,0,6.222,113.904,0.0500,0.0500,4600.2,37152.2,2982.1,49.30,0.0000
42,aero_offset,4,5,0,6.648,145.027,0.0467,0.0467,4332.4,37223.0,4021.8,49.38,0.0000
42,aero_offset,5,5,0,6.902,137.430,0.0531,0.0531,4660.8,37658.4,3246.4,51.10,0.0000
42,aero_offset,6,5,0,6.097,101.202,0.0484,0.0484,4478.5,36609.2,2904.4,45.79,0.0000
42,aero_offset,7,5,0,7.040,101.734,0.0472,0.0472,4476.2,38311.3,3746.2,49.03,0.0000
42,aero_offset,8,5,0,7.066,312.641,0.0522,0.0522,4513.5,37786.3,3522.3,48.94,0.0000
42,aero_offset,9,5,0,6.629,85.352,0.0519,0.0519,4498.2,36618.5,3280.2,47.58,0.0000
42,aero_offset,10,5,0,8.301,187.048,0.0493,0.0493,4722.7,38263.2,3774.5,52.53,0.0000
42,aero_offset,11,5,0,6.222,86.878,0.0510,0.0510,4439.6,37540.4,3360.5,46.09,0.0000
42,aero_offset,12,5,0,6.788,111.874,0.0466,0.0466,4450.4,37314.9,2909.9,49.56,0.0000
42,aero_offset,13,5,0,7.616,419.508,0.0494,0.0494,4282.3,38107.4,4032.2,47.18,0.0000
42,aero_offset,14,5,0,5.543,54.078,0.0590,0.0049,4539.1,36875.9,3040.0,61.37,0.1372
42,aero_offset,15,5,0,6.921,82.330,0.0511,0.0511,4554.2,37602.8,3076.2,50.19,0.0000
42,aero_offset,16,5,0,7.266,156.485,0.0486,0.0486,4576.6,37599.8,3205.4,49.74,0.0000
42,aero_offset,17,5,0,6.355,95.759,0.0486,0.0486,4467.2,38092.9,3537.9,50.01,0.0000
42,aero_offset,18,5,0,8.671,537.595,0.0504,0.0504,4513.4,37157.4,3064.2,46.84,0.0000
42,aero_offset,19,5,0,7.262,222.243,0.0509,0.0509,4663.5,37780.5,3450.6,49.05,0.0000
42,aero_offset,20,5,0,5.935,99.400,0.0472,0.0042,4199.9,38550.8,4152.6,62.44,0.0658
42,aero_offset,21,5,0,6.917,314.270,0.0524,0.0524,4392.0,37891.7,3647.4,50.85,0.0000
