seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,5.137,114.480,0.0526,0.0016,4345.8,37124.6,3198.1,63.80,0.0688
42,aero_offset,2,5,0,6.556,128.957,0.0550,0.0550,4553.4,38002.8,3670.0,47.11,0.0000
42,aero_offset,3,5,0,5.814,128.617,0.0547,0.0055,4607.8,37138.4,2982.1,62.54,0.1084
42,aero_offset,4,5,0,6.252,138.943,0.0487,0.0487,4332.5,37232.1,4021.8,49.39,0.0000
42,aero_offset,5,5,0,6.432,166.489,0.0539,0.0539,4664.2,37657.0,3246.4,51.10,0.0000
42,aero_offset,6,5,0,5.599,97.431,0.0509,0.0037,4480.9,36616.6,2904.4,57.38,0.1320
42,aero_offset,7,5,0,6.601,95.452,0.0465,0.0465,4473.5,38313.5,3746.2,49.05,0.0000
42,aero_offset,8,5,0,6.554,338.103,0.0522,0.0522,4515.8,37787.2,3522.3,48.95,0.0000
42,aero_offset,9,5,0,6.561,70.545,0.0509,0.0509,4496.3,36611.0,3280.2,47.60,0.0000
42,aero_offset,10,5,0,7.911,222.706,0.0494,0.0494,4727.0,38265.4,3774.5,52.54,0.0000
42,aero_offset,11,5,0,5.805,108.094,0.0492,0.0091,4437.6,37528.0,3360.5,58.31,0.1374
42,aero_offset,12,5,0,6.501,104.790,0.0452,0.0452,4442.4,37308.4,2909.9,49.60,0.0000
42,aero_offset,13,5,0,6.692,450.002,0.0519,0.0519,4283.8,38113.1,4032.2,47.19,0.0000
42,aero_offset,14,5,0,5.664,76.765,0.0555,0.0072,4538.4,36867.8,3040.0,60.89,0.1408
42,aero_offset,15,5,0,6.777,97.335,0.0534,0.0534,4558.8,37595.8,3076.2,50.19,0.0000
42,aero_offset,16,5,0,6.788,193.312,0.0484,0.0484,4583.0,37596.3,3205.4,49.74,0.0000
42,aero_offset,17,5,0,5.833,75.934,0.0504,0.0066,4464.9,38086.0,3537.9,61.68,0.1667
42,aero_offset,18,5,0,8.352,555.169,0.0504,0.0504,4515.3,37162.0,3064.2,46.85,0.0000
42,aero_offset,19,5,0,7.118,252.064,0.0527,0.0527,4673.7,37773.3,3450.6,49.04,0.0000
42,aero_offset,20,5,0,5.780,91.517,0.0509,0.0047,4204.4,38552.7,4152.6,62.44,0.0796
42,aero_offset,21,5,0,6.524,342.524,0.0512,0.0512,4394.6,37895.6,3647.4,50.86,0.0000
42,aero_offset,22,5,0,6.190,82.728,0.0483,0.0483,4596.5,36368.6,2953.9,50.18,0.0000
42,aero_offset,23,5,0,6.656,109.030,0.0516,0.0516,4395.3,37609.5,3311.0,48.26,0.0000
42,aero_offset,24,5,0,7.345,280.633,0.0579,0.0579,4414.5,36805.9,2907.6,45.89,0.0000
42,aero_offset,25,5,0,6.515,101.930,0.0549,0.0549,4528.1,36703.6,3122.4,51.22,0.0000
42,aero_offset,26,5,0,6.544,263.748,0.0530,0.0530,4389.9,37364.4,3183.6,53.62,0.0000
42,aero_offset,27,5,0,5.430,121.097,0.0487,0.0055,4477.3,37794.3,3627.1,61.37,0.0940
42,aero_offset,28,5,0,6.928,93.340,0.0494,0.0494,4341.8,37537.5,3278.5,50.72,0.0000
42,aero_offset,29,5,0,5.731,99.727,0.0521,0.0061,4501.5,37276.0,3038.1,62.92,0.1225
42,aero_offset,30,5,0,6.334,86.891,0.0474,0.0474,4609.4,36383.1,3143.0,50.13,0.0000
42,aero_offset,31,5,0,8.613,451.660,0.0467,0.0467,4550.4,37173.5,3035.2,50.33,0.0000
42,aero_offset,32,5,0,6.311,236.993,0.0508,0.0508,4609.3,37992.6,3715.1,51.43,0.0000
42,aero_offset,33,5,0,6.710,109.209,0.0462,0.0462,4695.9,37825.2,3127.8,46.50,0.0000
42,aero_offset,34,5,0,5.637,120.430,0.0560,0.0062,4309.5,37815.3,3565.6,63.29,0.1362
42,aero_offset,35,5,0,5.764,87.011,0.0485,0.0062,4573.1,37022.9,3237.0,66.73,0.1041
42,aero_offset,36,5,0,6.311,115.774,0.0550,0.0550,4492.0,37857.0,3459.4,48.08,0.0000
42,aero_offset,37,5,0,6.195,196.806,0.0614,0.0614,4430.7,37677.6,3515.2,46.34,0.0000
42,aero_offset,38,5,0,6.677,140.354,0.0496,0.0496,4681.8,37381.1,3267.1,52.45,0.0000
42,aero_offset,39,5,0,8.592,402.603,0.0465,0.0465,4621.4,37269.1,3054.4,44.36,0.0000
42,aero_offset,40,5,0,5.276,86.129,0.0563,0.0063,4410.2,37128.6,2921.7,61.30,0.1300
42,aero_offset,41,5,0,6.761,105.641,0.0477,0.0477,4520.8,37080.5,3664.9,48.93,0.0000
42,aero_offset,42,5,0,6.817,373.245,0.0494,0.0494,4497.9,37362.2,3139.7,49.83,0.0000
42,aero_offset,43,5,0,6.373,102.851,0.0509,0.0509,4776.1,36688.9,3020.6,50.44,0.0000
42,aero_offset,44,5,0,6.418,97.818,0.0514,0.0514,4456.2,37746.5,3095.4,52.63,0.0000
42,aero_offset,45,5,0,7.532,365.535,0.0523,0.0523,4489.0,37561.6,3353.4,48.63,0.0000
42,aero_offset,46,5,0,6.245,68.920,0.0549,0.0549,4365.7,37350.1,4183.5,50.04,0.0000
42,aero_offset,47,5,0,6.371,202.914,0.0545,0.0545,4535.4,38210.5,3839.5,46.62,0.0000
42,aero_offset,48,5,0,4.971,88.552,0.0584,0.0060,4507.0,37362.7,3130.5,62.34,0.1083
42,aero_offset,49,5,0,6.386,100.825,0.0566,0.0566,4448.2,38107.6,3543.8,45.84,0.0000
42,aero_offset,50,5,0,7.182,366.669,0.0493,0.0493,4400.2,37597.2,3425.6,48.38,0.0000
42,aero_offset,51,5,0,6.288,87.694,0.0540,0.0540,4623.6,36708.9,2974.8,51.65,0.0000
42,aero_offset,52,5,0,7.511,201.073,0.0486,0.0486,4560.6,38178.5,3821.4,48.14,0.0000
42,aero_offset,53,5,0,5.593,149.513,0.0528,0.0051,4457.1,37589.2,3404.1,64.90,0.0876
42,aero_offset,54,5,0,6.695,122.145,0.0509,0.0509,4283.8,37682.9,3479.7,49.25,0.0000
42,aero_offset,55,5,0,6.406,493.838,0.0525,0.0525,4427.1,37953.6,3681.1,50.61,0.0000
42,aero_offset,56,5,0,6.084,125.235,0.0483,0.0483,4604.6,36705.8,3170.6,49.97,0.0000
42,aero_offset,57,5,0,6.127,82.779,0.0540,0.0540,4318.0,37803.2,3303.3,50.62,0.0000
42,aero_offset,58,5,0,5.568,123.912,0.0483,0.0041,4826.1,37867.9,3310.8,63.83,0.0696
42,aero_offset,59,5,0,6.704,147.383,0.0492,0.0492,4632.0,37179.1,3430.8,48.46,0.0000
42,aero_offset,60,5,0,6.921,309.756,0.0536,0.0536,4500.1,37191.8,3043.2,50.97,0.0000
42,aero_offset,61,5,0,5.282,136.493,0.0571,0.0077,4357.4,37487.0,3146.1,60.51,0.1222
42,aero_offset,62,5,0,6.567,110.331,0.0469,0.0469,4564.8,38077.9,3297.3,50.26,0.0000
42,aero_offset,63,5,0,6.401,455.556,0.0548,0.0548,4403.8,37409.7,3257.9,47.55,0.0000
42,aero_offset,64,5,0,6.488,64.058,0.0535,0.0535,4392.5,36620.9,3166.7,49.73,0.0000
42,aero_offset,65,5,0,7.899,201.242,0.0476,0.0476,4462.7,37707.4,3412.3,48.43,0.0000
42,aero_offset,66,5,0,5.545,116.502,0.0505,0.0075,4791.9,37839.9,3324.6,58.89,0.1295
42,aero_offset,67,5,0,6.716,109.422,0.0468,0.0468,4390.8,38565.3,4133.5,47.77,0.0000
42,aero_offset,68,5,0,5.508,154.886,0.0567,0.0113,4561.1,37925.1,3526.0,59.95,0.1498
42,aero_offset,69,5,0,5.726,95.865,0.0487,0.0044,4478.2,36973.8,3074.5,64.34,0.0759
42,aero_offset,70,5,0,6.584,135.786,0.0511,0.0511,4413.9,37748.5,3261.6,49.49,0.0000
42,aero_offset,71,5,0,6.406,213.341,0.0545,0.0545,4486.0,37060.6,3025.9,48.29,0.0000
42,aero_offset,72,5,0,6.510,111.787,0.0484,0.0484,4603.6,36983.5,3116.0,51.94,0.0000
42,aero_offset,73,5,0,8.125,443.143,0.0500,0.0500,4326.6,38491.6,4398.5,44.70,0.0000
42,aero_offset,74,5,0,5.187,120.101,0.0569,0.0052,4519.4,37374.4,3184.6,62.86,0.1332
