seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,7.082,4.546,0.0475,0.0475,1991.5,56512.9,13305.7,130.44,0.0000
42,entry,2,5,0,3.224,26.327,0.0565,0.0031,2763.4,52622.6,11176.3,124.19,0.0585
42,entry,3,5,0,6.435,3.287,0.0452,0.0452,2602.7,52627.3,11283.7,126.67,0.0000
42,entry,4,5,0,2.859,28.182,0.0708,0.0057,1937.7,56867.8,13392.1,136.07,0.0950
42,entry,5,5,0,6.753,29.664,0.0649,0.0649,1987.6,55492.5,12841.8,138.38,0.0000
42,entry,6,3,0,4.195,13.357,0.0247,0.0009,3340.6,51270.8,11669.8,112.63,0.0117
42,entry,7,3,0,3.350,13.401,0.0195,0.0004,2048.1,52079.5,11509.0,134.36,0.0000
42,entry,8,3,0,5.779,13.871,0.0560,0.0040,2083.4,54116.6,11975.3,144.18,0.0725
42,entry,9,5,0,2.564,25.566,0.0701,0.0090,2663.4,51661.5,10959.9,127.34,0.1293
42,entry,10,5,0,4.286,30.029,0.0693,0.0009,1956.7,60609.7,14825.2,153.95,0.0842
42,entry,11,3,0,4.146,10.059,0.0402,0.0006,2995.2,53100.9,11021.8,122.37,0.0149
42,entry,12,3,0,2.663,24.756,0.0543,0.0032,2474.7,51462.3,11047.7,132.87,0.0509
42,entry,13,3,0,3.860,18.261,0.0127,0.0003,2136.7,55701.3,11919.1,127.99,0.0000
42,entry,14,5,0,8.432,26.744,0.0601,0.0601,2248.3,51935.7,11275.7,130.80,0.0000
42,entry,15,3,0,3.370,23.092,0.0520,0.0024,2125.7,51703.7,11409.3,138.71,0.0476
42,entry,16,3,0,3.230,12.065,0.0319,0.0002,2091.1,54074.7,11902.6,141.26,0.0011
42,entry,17,5,0,6.458,20.193,0.0571,0.0571,1968.5,55246.3,12587.6,132.52,0.0000
42,entry,18,5,0,3.791,36.826,0.0621,0.0025,2974.8,54430.6,11059.1,124.60,0.0559
42,entry,19,5,0,3.057,27.668,0.0704,0.0060,2432.1,52704.7,11538.7,137.87,0.0910
42,entry,20,2,0,3.427,10.230,0.0329,0.0003,2076.6,52774.8,11831.6,131.74,0.0000
42,entry,21,3,0,4.551,5.812,0.0322,0.0015,1959.8,59902.6,14518.7,143.92,0.0212
42,entry,22,5,0,7.643,26.206,0.0622,0.0622,2269.7,51716.6,11243.2,132.22,0.0000
42,entry,23,3,0,4.340,12.047,0.0364,0.0002,2312.6,52689.1,11523.4,126.86,0.0000
42,entry,24,3,0,3.123,11.247,0.0331,0.0008,3196.0,53422.7,11470.6,116.96,0.0092
42,entry,25,5,0,4.243,30.049,0.0692,0.0006,2023.8,56281.3,12983.5,146.62,0.0763
42,entry,26,3,0,2.277,20.378,0.0661,0.0011,1872.1,64729.9,16433.1,146.85,0.0355
42,entry,27,2,0,3.447,9.099,0.0456,0.0034,2267.4,51972.2,11326.9,135.54,0.0630
42,entry,28,5,0,6.157,27.696,0.0658,0.0658,2013.9,56454.5,13258.9,131.73,0.0000
42,entry,29,5,0,5.477,30.120,0.0673,0.0090,2083.1,54433.6,12235.9,146.97,0.1354
42,entry,30,5,0,8.291,20.221,0.0569,0.0569,2054.6,53026.6,11728.8,133.33,0.0000
42,entry,31,5,0,7.445,27.502,0.0631,0.0631,2101.8,53418.5,11849.3,134.36,0.0000
42,entry,32,3,0,2.612,15.199,0.0667,0.0026,1986.7,58164.0,13905.4,144.91,0.0441
42,entry,33,5,1,128.092,162.285,0.0199,0.0199,0.0,51233.3,10939.1,163.87,0.0000
42,entry,34,3,0,3.838,13.662,0.0399,0.0011,1911.5,62062.3,15515.6,142.27,0.0137
42,entry,35,5,0,5.562,29.170,0.0671,0.0053,1949.3,59774.7,14445.7,151.07,0.1484
42,entry,36,5,0,3.112,29.965,0.0699,0.0013,2526.6,52437.9,11330.0,133.34,0.0648
42,entry,37,3,0,5.553,13.152,0.0363,0.0002,2812.1,54060.9,11220.2,124.67,0.0563
42,entry,38,5,0,3.761,29.145,0.0696,0.0012,1954.1,58841.0,13974.0,152.27,0.0668
42,entry,39,5,0,14.483,8.229,0.0566,0.0566,3790.0,53478.0,13710.7,102.52,0.0000
42,entry,40,3,0,4.528,7.668,0.0388,0.0017,2255.3,52039.5,11386.9,141.17,0.0342
42,entry,41,5,0,2.184,28.896,0.0622,0.0037,2095.1,51486.1,11415.8,137.45,0.0621
42,entry,42,5,0,6.039,28.274,0.0665,0.0665,2103.9,53826.6,12068.2,131.99,0.0000
42,entry,43,5,0,8.100,22.904,0.0586,0.0586,2382.9,51587.0,11020.3,135.09,0.0000
42,entry,44,5,0,4.697,30.317,0.0682,0.0023,1963.6,59161.8,14263.0,150.90,0.1014
42,entry,45,3,0,5.065,7.435,0.0416,0.0013,2293.6,53717.6,11804.9,136.71,0.0690
42,entry,46,3,0,2.494,19.684,0.0202,0.0005,1938.7,58634.7,14021.9,136.26,0.0000
42,entry,47,3,0,5.548,3.332,0.0343,0.0021,2785.7,54711.9,11269.4,127.88,0.0530
42,entry,48,3,0,3.426,19.065,0.0629,0.0032,2020.1,55587.7,12870.1,139.59,0.0609
42,entry,49,5,0,2.967,27.558,0.0570,0.0003,3082.7,52296.1,11127.9,117.63,0.0000
42,entry,50,3,0,3.597,23.215,0.0535,0.0022,2188.0,54511.5,11854.5,128.32,0.0432
42,entry,51,3,0,4.014,15.649,0.0344,0.0005,1988.7,55218.0,12432.9,148.45,0.0084
42,entry,52,3,0,5.484,4.123,0.0335,0.0016,2396.3,53584.5,11643.5,137.94,0.0456
42,entry,53,2,0,3.982,8.303,0.0159,0.0005,1963.3,58956.1,14129.4,144.60,0.0000
42,entry,54,5,0,6.436,21.578,0.0590,0.0590,2040.5,54487.7,12413.8,127.44,0.0000
42,entry,55,3,0,3.804,10.729,0.0262,0.0003,1928.3,58951.7,14212.9,141.95,0.0014
