seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,3.152,144.808,0.0387,0.0003,2114.7,56553.6,13300.8,139.19,0.0000
42,entry,2,5,0,2.849,183.423,0.0426,0.0012,2914.1,52757.3,11185.7,126.71,0.0156
42,entry,3,5,0,3.907,137.475,0.0455,0.0012,2732.4,53118.4,11356.5,137.09,0.0209
42,entry,4,5,0,3.608,145.429,0.0385,0.0017,2052.3,56889.7,13393.6,136.17,0.0255
42,entry,5,5,0,3.641,120.006,0.0398,0.0005,2124.5,56067.3,12889.5,148.54,0.0024
42,entry,6,5,0,4.651,174.977,0.0438,0.0006,3488.5,51276.1,11667.9,119.18,0.0526
42,entry,7,5,0,4.039,113.242,0.0482,0.0011,2228.2,52182.7,11525.1,140.86,0.0397
42,entry,8,5,0,3.693,130.515,0.0441,0.0027,2206.4,54708.4,11976.1,138.46,0.0415
42,entry,9,5,0,3.995,159.302,0.0426,0.0005,2780.3,51594.9,10961.5,130.16,0.0039
42,entry,10,5,0,3.350,148.266,0.0439,0.0018,2063.0,60749.0,14800.5,152.42,0.0269
42,entry,11,5,0,4.785,182.076,0.0407,0.0042,3107.1,52955.6,10991.0,123.02,0.0672
42,entry,12,5,0,3.573,146.970,0.0449,0.0028,2623.0,51420.1,11063.2,137.18,0.0479
42,entry,13,5,0,3.963,162.974,0.0380,0.0018,2214.2,55624.2,11914.2,130.37,0.0362
42,entry,14,5,0,3.200,157.690,0.0434,0.0007,2397.0,51811.6,11268.2,139.79,0.0189
42,entry,15,5,0,3.885,113.668,0.0470,0.0012,2269.6,51900.5,11407.1,144.06,0.0405
42,entry,16,5,0,3.856,123.637,0.0446,0.0028,2252.7,53810.5,11924.4,142.23,0.0442
42,entry,17,5,0,3.647,146.554,0.0369,0.0020,2107.0,55375.4,12589.6,141.99,0.0307
42,entry,18,5,0,3.915,290.929,0.0459,0.0018,3066.5,54441.8,11053.5,124.36,0.0296
42,entry,19,5,0,3.424,148.099,0.0432,0.0015,2553.6,52701.0,11485.4,137.73,0.0311
42,entry,20,5,0,3.457,130.872,0.0385,0.0002,2222.9,52872.3,11829.4,131.35,0.0000
42,entry,21,5,0,3.929,117.839,0.0450,0.0021,2095.7,59839.5,14596.9,142.56,0.0378
42,entry,22,5,0,3.666,165.246,0.0377,0.0016,2392.7,51647.1,11224.1,141.83,0.0348
42,entry,23,5,0,3.750,179.196,0.0353,0.0004,2477.9,53079.2,11501.9,132.73,0.0143
42,entry,24,5,0,5.028,299.122,0.0465,0.0022,3292.8,53402.7,11470.1,121.28,0.0506
42,entry,25,5,0,3.896,143.395,0.0410,0.0002,2138.3,56281.5,12985.4,145.02,0.0177
42,entry,26,5,0,3.234,179.658,0.0393,0.0007,1987.7,64286.6,16377.9,147.54,0.0187
42,entry,27,5,0,3.879,117.808,0.0427,0.0010,2407.5,52011.3,11342.6,135.81,0.0322
42,entry,28,5,0,3.721,152.598,0.0404,0.0004,2143.4,56515.3,13254.1,141.87,0.0006
42,entry,29,5,0,3.014,141.491,0.0439,0.0011,2204.8,54354.5,12301.2,143.54,0.0158
42,entry,30,5,0,3.584,177.680,0.0329,0.0002,2182.0,52993.2,11721.5,142.98,0.0053
42,entry,31,5,0,3.973,149.963,0.0429,0.0027,2224.0,53478.1,11916.9,144.48,0.0478
42,entry,32,5,0,3.444,143.855,0.0463,0.0015,2132.6,58152.0,13918.9,146.83,0.0333
42,entry,33,5,0,3.257,213.528,0.0444,0.0023,3675.4,51402.3,10933.7,121.29,0.0513
42,entry,34,5,0,3.441,138.120,0.0409,0.0003,2013.6,62150.8,15595.3,142.27,0.0000
42,entry,35,5,0,3.617,138.633,0.0449,0.0012,2072.9,59835.9,14448.4,147.97,0.0272
42,entry,36,5,0,3.925,142.704,0.0384,0.0022,2635.9,52344.7,11392.9,132.78,0.0356
42,entry,37,5,0,4.926,190.918,0.0471,0.0010,2916.6,54197.3,11240.1,125.77,0.0285
42,entry,38,5,0,3.702,164.583,0.0388,0.0007,2072.9,58865.5,13975.0,150.74,0.0140
42,entry,39,5,0,5.123,469.966,0.0458,0.0013,3861.5,53444.6,13699.3,114.94,0.0642
42,entry,40,5,0,3.485,111.050,0.0429,0.0006,2381.7,52116.2,11410.4,139.74,0.0256
