seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,2.878,31.709,0.0696,0.0027,2063.2,56512.9,13305.7,139.78,0.0747
42,entry,2,3,0,3.093,18.560,0.0321,0.0009,2822.6,52622.6,11176.3,126.70,0.0102
42,entry,3,3,0,5.733,3.735,0.0460,0.0056,2660.0,52627.3,11283.7,138.32,0.1062
42,entry,4,3,0,3.469,13.101,0.0266,0.0003,1981.7,56867.8,13392.1,136.31,0.0000
42,entry,5,5,0,2.673,31.964,0.0713,0.0080,2053.8,55492.5,12841.8,147.51,0.1085
42,entry,6,3,0,3.518,18.043,0.0235,0.0007,3399.5,51270.8,11669.8,116.97,0.0183
42,entry,7,5,0,3.087,31.468,0.0696,0.0028,2155.6,52079.5,11509.0,140.75,0.0741
42,entry,8,3,0,3.589,9.657,0.0466,0.0006,2133.7,54116.6,11975.3,138.72,0.0073
42,entry,9,5,0,2.880,29.360,0.0621,0.0044,2709.7,51661.5,10959.9,125.13,0.0867
42,entry,10,5,0,4.663,33.224,0.0686,0.0015,2017.9,60609.7,14825.2,155.15,0.1032
42,entry,11,5,0,7.312,14.273,0.0489,0.0489,3031.5,53100.9,11021.8,111.67,0.0000
42,entry,12,3,0,2.176,25.960,0.0350,0.0003,2515.2,51462.3,11047.7,131.36,0.0000
42,entry,13,3,0,3.454,17.863,0.0256,0.0003,2192.3,55701.3,11919.1,127.89,0.0000
42,entry,14,5,0,6.605,32.208,0.0632,0.0632,2315.0,51935.7,11275.7,130.66,0.0000
42,entry,15,3,0,2.199,24.233,0.0127,0.0003,2172.3,51703.7,11409.3,139.80,0.0000
42,entry,16,3,0,3.504,10.627,0.0362,0.0009,2156.1,54074.7,11902.6,141.65,0.0138
42,entry,17,3,0,3.524,12.711,0.0485,0.0010,2021.7,55246.3,12587.6,142.49,0.0140
42,entry,18,5,0,5.329,33.626,0.0565,0.0022,2980.6,54430.6,11059.1,126.21,0.0357
42,entry,19,5,0,2.625,31.415,0.0703,0.0083,2492.9,52704.7,11538.7,137.47,0.1113
42,entry,20,3,0,4.711,4.696,0.0378,0.0021,2147.5,52774.8,11831.6,133.61,0.0424
