seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,4.310,122.402,0.0373,0.0018,2121.3,56546.3,13300.9,141.99,0.0248
42,entry,2,5,0,4.087,175.213,0.0395,0.0004,2917.3,52844.4,11201.2,129.13,0.0055
42,entry,3,5,0,4.569,111.770,0.0436,0.0003,2728.0,53142.8,11359.8,138.45,0.0169
42,entry,4,5,0,3.822,173.783,0.0333,0.0002,2055.8,56928.7,13391.3,135.80,0.0158
42,entry,5,5,0,4.271,103.962,0.0442,0.0012,2128.8,56077.7,12890.3,148.75,0.0315
42,entry,6,5,0,5.017,174.693,0.0406,0.0008,3488.2,51286.1,11668.2,120.10,0.0628
42,entry,7,5,0,4.625,120.505,0.0469,0.0007,2223.5,52190.8,11525.9,141.60,0.0467
42,entry,8,5,0,4.455,133.163,0.0411,0.0001,2207.5,54773.8,11973.6,140.53,0.0000
42,entry,9,5,0,4.592,155.672,0.0401,0.0006,2769.5,51705.6,10960.2,131.27,0.0257
42,entry,10,5,0,4.143,138.779,0.0421,0.0005,2066.7,60772.7,14801.2,153.83,0.0000
42,entry,11,5,0,5.239,170.769,0.0421,0.0034,3109.1,52967.0,10990.6,123.23,0.0548
42,entry,12,5,0,3.909,141.783,0.0430,0.0017,2621.3,51400.9,11067.8,137.21,0.0292
42,entry,13,5,0,4.741,129.175,0.0380,0.0019,2219.5,55622.4,11913.5,132.19,0.0262
42,entry,14,5,0,4.374,167.215,0.0384,0.0020,2401.1,51804.1,11272.1,141.97,0.0290
42,entry,15,5,0,4.536,111.751,0.0439,0.0014,2267.7,51911.4,11408.7,145.06,0.0544
42,entry,16,5,0,4.375,107.983,0.0387,0.0009,2246.0,53827.9,11924.3,142.91,0.0268
42,entry,17,5,0,4.347,115.587,0.0353,0.0008,2112.0,55329.3,12584.1,143.65,0.0156
42,entry,18,5,0,4.703,260.643,0.0430,0.0011,3066.7,54446.1,11054.0,125.72,0.0236
42,entry,19,5,0,4.059,140.119,0.0397,0.0009,2554.4,52671.4,11482.2,138.41,0.0275
42,entry,20,5,0,4.058,105.719,0.0392,0.0005,2222.8,52889.2,11828.9,132.64,0.0031
42,entry,21,5,0,4.365,110.595,0.0429,0.0020,2089.9,59849.2,14600.3,143.12,0.0542
42,entry,22,5,0,4.215,163.416,0.0333,0.0012,2391.1,51633.8,11217.6,141.81,0.0188
42,entry,23,5,0,4.314,175.748,0.0324,0.0020,2482.3,53100.7,11507.8,132.92,0.0412
42,entry,24,5,0,5.502,281.549,0.0428,0.0025,3289.8,53403.4,11470.3,122.48,0.0480
42,entry,25,5,0,4.313,133.879,0.0387,0.0019,2135.2,56291.5,12985.8,146.18,0.0397
42,entry,26,5,0,4.290,177.583,0.0334,0.0013,1989.7,64278.1,16379.3,149.69,0.0157
42,entry,27,5,0,4.288,92.589,0.0426,0.0011,2411.5,52017.5,11341.1,136.75,0.0361
42,entry,28,5,0,4.383,148.458,0.0377,0.0001,2144.7,56519.5,13254.5,143.35,0.0131
42,entry,29,5,0,4.216,146.908,0.0415,0.0014,2206.8,54351.7,12303.3,146.00,0.0198
42,entry,30,5,0,4.023,170.355,0.0328,0.0004,2184.2,53020.5,11717.6,144.08,0.0000
42,entry,31,5,0,4.409,132.366,0.0439,0.0019,2223.5,53473.8,11918.7,144.09,0.0467
42,entry,32,5,0,4.324,143.157,0.0430,0.0012,2123.2,58156.9,13918.8,148.29,0.0260
42,entry,33,5,0,3.795,214.815,0.0422,0.0017,3664.5,51441.8,10934.3,121.19,0.0249
42,entry,34,5,0,3.702,116.823,0.0400,0.0004,2015.7,62157.9,15598.3,142.66,0.0000
42,entry,35,5,0,4.742,145.735,0.0432,0.0018,2077.3,59831.6,14448.2,148.65,0.0331
42,entry,36,5,0,4.383,136.730,0.0359,0.0013,2631.0,52363.0,11389.5,133.06,0.0259
42,entry,37,5,0,5.382,171.651,0.0425,0.0017,2912.6,54219.2,11238.7,126.88,0.0264
42,entry,38,5,0,4.248,157.705,0.0351,0.0001,2075.8,58861.9,13975.3,152.43,0.0122
42,entry,39,5,0,5.341,496.776,0.0431,0.0012,3871.6,53445.2,13699.5,115.58,0.0484
42,entry,40,5,0,3.842,79.658,0.0431,0.0019,2384.7,52119.5,11409.8,140.01,0.0490
42,entry,41,5,0,4.468,85.265,0.0464,0.0007,2238.5,51605.6,11412.9,140.00,0.0397
42,entry,42,5,0,4.049,95.429,0.0445,0.0032,2209.8,54315.5,12073.8,142.24,0.0569
42,entry,43,5,0,4.249,186.334,0.0333,0.0008,2512.6,51592.2,11022.6,145.94,0.0130
42,entry,44,5,0,4.021,163.647,0.0373,0.0005,2085.7,59250.7,14309.3,148.97,0.0134
42,entry,45,5,0,4.338,103.803,0.0413,0.0007,2411.9,53826.8,11699.9,136.36,0.0188
42,entry,46,5,0,4.159,121.699,0.0395,0.0012,2085.7,58629.2,14020.2,138.99,0.0387
42,entry,47,5,0,4.513,205.250,0.0437,0.0023,2820.2,54797.3,11294.1,127.95,0.0365
42,entry,48,5,0,3.743,124.437,0.0411,0.0014,2158.7,55670.7,12872.3,145.19,0.0304
42,entry,49,5,0,3.985,205.451,0.0330,0.0010,3240.4,52329.4,11127.6,121.56,0.0140
42,entry,50,5,0,4.577,145.216,0.0408,0.0003,2319.5,54934.5,11863.7,136.45,0.0082
42,entry,51,5,0,4.341,128.186,0.0435,0.0013,2129.3,55252.5,12437.7,148.97,0.0435
42,entry,52,5,0,4.486,156.045,0.0382,0.0023,2522.2,53743.4,11646.3,135.77,0.0272
42,entry,53,5,0,4.202,162.163,0.0357,0.0010,2109.1,58898.4,14139.5,145.33,0.0291
42,entry,54,5,0,4.010,185.353,0.0314,0.0004,2194.1,54452.3,12438.0,137.77,0.0000
42,entry,55,5,0,4.456,163.988,0.0393,0.0009,2091.9,59389.6,14235.1,142.50,0.0325
42,entry,56,5,0,4.227,179.726,0.0300,0.0015,2196.7,52035.1,11468.3,143.98,0.0184
