seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,5.124,1632.908,0.0505,0.0035,2042.6,56820.4,12712.2,141.97,0.0778
42,entry,2,5,0,5.126,375.920,0.0504,0.0031,2850.7,51064.4,10308.7,132.08,0.0650
42,entry,3,5,0,7.554,208.861,0.0557,0.0557,2628.3,51135.7,10367.0,127.66,0.0000
42,entry,4,5,0,4.404,1420.139,0.0403,0.0002,2006.9,58536.7,13331.4,137.00,0.0282
42,entry,5,5,0,12.002,99.219,0.0683,0.0683,2257.4,51860.0,11739.5,139.51,0.0000
42,entry,6,5,0,5.246,257.189,0.0427,0.0050,3394.5,51668.3,11666.5,119.77,0.0959
42,entry,7,5,0,6.178,1081.882,0.0533,0.0533,2114.8,53049.1,11332.1,130.86,0.0000
42,entry,8,5,0,3.024,109.347,0.0419,0.0003,2378.9,49825.4,10561.4,139.24,0.0208
42,entry,9,5,0,4.900,1003.788,0.0446,0.0010,2665.4,52313.2,10750.0,130.53,0.0541
42,entry,10,5,0,14.381,318.743,0.0627,0.0627,2092.0,59128.6,14235.7,143.56,0.0000
42,entry,11,5,0,5.136,170.500,0.0416,0.0053,3058.4,51398.2,10942.2,124.66,0.0897
42,entry,12,5,0,4.551,1337.413,0.0497,0.0009,2513.1,52291.6,10852.2,138.68,0.0487
42,entry,13,5,0,3.572,192.141,0.0404,0.0030,2413.0,48987.2,10309.5,131.66,0.0465
42,entry,14,5,0,5.719,1109.408,0.0521,0.0077,2251.7,52783.4,11106.2,143.14,0.1158
42,entry,15,5,0,9.149,1029.070,0.0543,0.0543,2150.7,52215.6,11037.7,135.32,0.0000
42,entry,16,5,0,6.309,64.225,0.0581,0.0581,2395.1,50733.2,10624.3,133.53,0.0000
42,entry,17,5,0,4.700,1759.595,0.0392,0.0009,2052.9,55922.6,12366.0,143.24,0.0422
42,entry,18,5,0,3.259,183.476,0.0451,0.0014,3239.8,49377.3,10372.4,124.34,0.0298
42,entry,19,5,0,8.949,871.877,0.0567,0.0567,2459.9,51662.2,10660.3,129.49,0.0000
42,entry,20,5,0,5.106,1114.908,0.0525,0.0002,2121.4,52265.9,11073.1,134.33,0.0708
42,entry,21,3,0,4.331,14.436,0.0621,0.0035,2275.0,55689.8,13139.9,145.20,0.0814
42,entry,22,5,0,5.039,1316.852,0.0480,0.0010,2270.4,52880.1,11136.5,143.84,0.0693
42,entry,23,5,0,6.372,324.558,0.0522,0.0522,2391.2,51454.7,10680.9,124.24,0.0000
42,entry,24,5,0,4.733,188.001,0.0396,0.0020,3308.1,50863.1,11470.9,121.35,0.0442
42,entry,25,5,0,5.254,1407.684,0.0389,0.0008,2022.6,57799.3,13025.5,146.40,0.0559
42,entry,26,5,0,7.555,104.866,0.0604,0.0604,2160.3,59421.1,15247.2,139.88,0.0000
42,entry,27,5,0,6.273,960.192,0.0517,0.0517,2288.4,52500.2,10997.6,126.97,0.0000
42,entry,28,5,0,6.630,849.292,0.0519,0.0519,2014.2,57920.0,13116.4,131.65,0.0000
42,entry,29,5,0,3.060,162.432,0.0375,0.0036,2288.2,51371.0,11137.2,143.74,0.0602
42,entry,30,5,0,4.763,1544.030,0.0428,0.0010,2089.5,53925.3,11605.1,144.06,0.0599
42,entry,31,5,0,13.539,196.520,0.0613,0.0613,2143.0,50599.4,10715.0,135.79,0.0000
42,entry,32,5,0,11.723,669.701,0.0596,0.0596,1989.2,58894.4,13459.4,137.68,0.0000
42,entry,33,5,0,4.050,875.795,0.0447,0.0016,3568.0,50871.2,10926.3,123.30,0.0510
42,entry,34,5,0,3.000,134.015,0.0356,0.0004,2045.1,58022.2,14336.2,142.38,0.0016
42,entry,35,5,0,5.849,1391.687,0.0541,0.0005,1949.0,61365.1,14363.1,150.54,0.1064
42,entry,36,5,0,6.652,489.881,0.0524,0.0524,2541.7,51559.5,10625.9,123.80,0.0000
42,entry,37,5,0,4.659,146.336,0.0437,0.0003,2900.6,50757.0,10542.1,126.44,0.0044
42,entry,38,5,0,4.838,1907.659,0.0411,0.0006,1968.0,60481.6,14035.0,151.60,0.0505
42,entry,39,5,0,3.631,200.190,0.0464,0.0008,4102.1,49706.8,13688.1,113.04,0.0376
42,entry,40,5,0,7.660,855.551,0.0543,0.0543,2231.6,52411.4,11001.4,131.17,0.0000
42,entry,41,5,0,5.782,1003.370,0.0531,0.0023,2108.2,52801.3,11230.0,140.73,0.1186
42,entry,42,5,0,4.693,36.070,0.0590,0.0053,2390.9,49217.3,10574.1,146.23,0.0850
42,entry,43,5,0,5.192,1095.700,0.0467,0.0035,2375.0,53195.3,11156.3,145.73,0.0815
42,entry,44,5,0,11.653,560.410,0.0604,0.0604,1965.1,59551.5,13785.7,139.39,0.0000
42,entry,45,5,0,9.205,263.200,0.0573,0.0573,2357.5,51431.2,10628.8,126.60,0.0000
42,entry,46,5,0,4.397,815.318,0.0444,0.0001,1937.7,61316.6,14330.4,139.13,0.0290
42,entry,47,5,0,3.810,128.930,0.0409,0.0004,3061.6,48445.6,10079.1,128.07,0.0000
42,entry,48,5,0,7.190,1386.440,0.0522,0.0522,2045.2,56421.9,12549.6,135.17,0.0000
42,entry,49,5,0,3.448,391.432,0.0441,0.0002,3161.5,50908.0,11127.4,121.46,0.0000
42,entry,50,5,0,3.610,141.966,0.0463,0.0011,2442.9,50608.6,10514.6,135.81,0.0255
42,entry,51,5,0,5.008,1631.150,0.0438,0.0008,2058.2,56124.0,12404.8,150.48,0.0562
42,entry,52,5,0,3.807,131.817,0.0497,0.0034,2557.5,50901.2,10443.8,136.55,0.0576
42,entry,53,5,0,10.169,708.791,0.0553,0.0553,1974.2,59909.5,13838.4,134.97,0.0000
42,entry,54,5,0,4.990,1197.822,0.0511,0.0003,2067.0,55719.7,12301.1,139.04,0.0639
42,entry,55,5,0,7.786,39.679,0.0646,0.0646,2280.4,54494.0,12725.1,133.74,0.0000
42,entry,56,5,0,5.296,1537.792,0.0477,0.0008,2104.7,53431.9,11428.8,145.32,0.0860
42,entry,57,5,0,8.324,504.098,0.0536,0.0536,2016.0,57692.9,13061.6,131.60,0.0000
42,entry,58,5,0,8.136,199.381,0.0574,0.0574,2132.4,52726.9,11117.5,141.61,0.0000
42,entry,59,5,0,4.585,1512.676,0.0397,0.0006,2528.0,52387.8,10857.8,136.31,0.0358
42,entry,60,5,0,9.020,53.980,0.0680,0.0680,2298.0,50984.2,11505.5,136.81,0.0000
42,entry,61,5,0,8.159,957.078,0.0551,0.0551,2046.3,56667.1,12637.8,131.82,0.0000
42,entry,62,5,0,6.724,1325.346,0.0511,0.0511,2087.9,54238.8,11751.9,135.50,0.0000
42,entry,63,5,0,4.072,155.331,0.0387,0.0018,2778.7,49327.8,10099.9,130.89,0.0370
42,entry,64,5,0,4.437,1255.189,0.0445,0.0012,2066.0,55315.6,12112.0,139.34,0.0472
42,entry,65,5,0,5.803,153.753,0.0538,0.0053,2436.1,51050.4,10562.7,140.50,0.0919
42,entry,66,5,0,5.969,356.496,0.0508,0.0050,2999.8,51531.1,10284.7,138.61,0.0800
42,entry,67,5,0,4.547,1065.655,0.0498,0.0012,2298.2,52513.5,11035.9,134.79,0.0586
42,entry,68,5,0,3.628,167.297,0.0366,0.0003,2607.1,48470.2,10327.9,136.99,0.0000
42,entry,69,5,0,5.823,955.247,0.0502,0.0021,2081.6,54799.8,11892.9,144.43,0.1156
42,entry,70,5,0,8.828,983.091,0.0565,0.0565,2120.6,52191.3,11103.5,130.66,0.0000
42,entry,71,5,0,4.268,136.515,0.0473,0.0002,2777.0,51164.1,10326.6,132.13,0.0474
42,entry,72,5,0,5.058,1885.260,0.0427,0.0013,2017.6,58215.8,13202.8,150.45,0.0584
42,entry,73,5,0,3.835,156.755,0.0458,0.0007,3111.7,49348.8,11981.8,119.98,0.0212
42,entry,74,5,0,9.336,843.216,0.0559,0.0559,2003.4,58857.1,13425.6,136.64,0.0000
42,entry,75,5,0,6.469,1537.673,0.0509,0.0509,2116.4,52770.5,11235.8,135.29,0.0000
42,entry,76,5,0,7.166,56.678,0.0546,0.0546,2281.7,52392.1,11853.8,143.55,0.0000
42,entry,77,5,0,4.747,1321.298,0.0460,0.0016,2109.8,53378.8,11419.6,138.06,0.0647
42,entry,78,5,0,10.829,442.504,0.0567,0.0567,2034.1,56491.4,12602.8,143.08,0.0000
42,entry,79,5,0,3.992,156.525,0.0476,0.0024,2264.4,51552.5,10669.0,132.60,0.0466
42,entry,80,5,0,4.884,1307.273,0.0398,0.0013,2068.4,55095.4,12025.5,143.49,0.0477
42,entry,81,5,0,3.958,79.676,0.0498,0.0009,2611.9,48537.1,10233.6,132.86,0.0443
42,entry,82,5,0,6.301,780.337,0.0535,0.0535,2349.7,52309.1,10905.5,122.83,0.0000
42,entry,83,5,0,6.953,941.944,0.0548,0.0548,2483.3,51753.7,10725.1,128.81,0.0000
42,entry,84,5,0,13.894,145.057,0.0631,0.0631,2139.8,56163.2,12936.8,140.04,0.0000
42,entry,85,5,0,4.489,1564.671,0.0398,0.0010,2091.2,54055.7,11663.1,141.62,0.0446
42,entry,86,5,0,17.003,416.263,0.0644,0.0644,2102.1,57716.9,13763.4,143.48,0.0000
42,entry,87,5,0,8.459,536.135,0.0541,0.0541,2629.4,51677.1,10553.0,127.03,0.0000
42,entry,88,5,0,4.128,593.362,0.0453,0.0020,3927.9,50592.1,12152.5,119.24,0.0386
42,entry,89,5,0,4.335,133.050,0.0512,0.0014,3719.0,48656.8,11161.8,123.61,0.0601
42,entry,90,5,0,5.147,668.702,0.0417,0.0021,3022.6,51861.7,10534.1,127.18,0.0481
42,entry,91,5,0,7.084,427.576,0.0526,0.0526,2087.9,54428.6,11864.9,126.25,0.0000
42,entry,92,5,0,4.502,147.564,0.0445,0.0003,3058.9,50726.3,10313.4,127.69,0.0108
42,entry,93,5,0,5.247,1599.212,0.0392,0.0014,2009.8,58114.7,13150.7,147.72,0.0579
42,entry,94,5,0,11.396,166.432,0.0613,0.0613,2393.2,48878.2,10394.1,130.98,0.0000
42,entry,95,5,0,8.382,1031.714,0.0538,0.0538,2027.5,57345.6,12897.1,134.13,0.0000
42,entry,96,5,0,5.581,855.808,0.0533,0.0035,2656.1,51572.7,10562.7,132.43,0.1112
42,entry,97,5,0,2.450,116.626,0.0336,0.0005,2303.7,50318.6,10870.7,138.36,0.0000
42,entry,98,5,0,4.297,1129.913,0.0468,0.0002,2018.5,57594.0,12938.7,140.59,0.0365
42,entry,99,5,0,3.801,136.061,0.0480,0.0002,2359.2,51436.6,10712.6,135.44,0.0067
42,entry,100,5,0,13.360,384.331,0.0584,0.0584,2025.3,57464.0,12934.4,135.89,0.0000
