seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,3.394,141.666,0.0451,0.0022,2134.8,56553.6,13300.8,139.89,0.0455
42,entry,2,5,0,2.972,179.169,0.0420,0.0014,2933.3,52757.3,11185.7,126.78,0.0245
42,entry,3,5,0,4.029,97.280,0.0518,0.0017,2751.0,53118.4,11356.5,136.76,0.0387
42,entry,4,5,0,3.498,134.982,0.0403,0.0010,2064.4,56889.7,13393.6,135.83,0.0232
42,entry,5,5,0,3.638,109.982,0.0461,0.0021,2141.3,56067.3,12889.5,148.24,0.0437
42,entry,6,5,0,4.561,166.568,0.0441,0.0017,3499.1,51276.1,11667.9,118.65,0.0563
42,entry,7,5,0,4.166,125.044,0.0497,0.0012,2234.9,52182.7,11525.1,141.11,0.0435
42,entry,8,5,0,3.497,120.388,0.0455,0.0023,2217.6,54708.4,11976.1,138.32,0.0345
42,entry,9,5,0,4.014,150.397,0.0416,0.0004,2784.5,51594.9,10961.5,130.07,0.0000
42,entry,10,5,0,3.523,154.921,0.0448,0.0004,2088.0,60749.0,14800.5,152.88,0.0000
42,entry,11,5,0,4.471,153.468,0.0433,0.0009,3123.1,52955.6,10991.0,123.17,0.0228
42,entry,12,5,0,3.425,165.232,0.0445,0.0010,2641.4,51420.1,11063.2,136.68,0.0320
42,entry,13,5,0,3.724,141.247,0.0455,0.0011,2237.3,55624.2,11914.2,130.20,0.0147
42,entry,14,5,0,3.157,172.071,0.0425,0.0008,2402.4,51811.6,11268.2,139.76,0.0208
42,entry,15,5,0,3.832,110.411,0.0485,0.0012,2282.4,51900.5,11407.1,144.15,0.0427
42,entry,16,5,0,3.622,89.704,0.0512,0.0005,2274.5,53810.5,11924.4,141.64,0.0346
42,entry,17,5,0,3.248,160.500,0.0380,0.0009,2104.5,55375.4,12589.6,141.34,0.0110
42,entry,18,5,0,4.051,251.992,0.0470,0.0011,3069.9,54441.8,11053.5,124.64,0.0255
42,entry,19,5,0,3.150,133.099,0.0457,0.0010,2563.0,52701.0,11485.4,137.49,0.0124
42,entry,20,5,0,3.415,126.049,0.0381,0.0003,2226.1,52872.3,11829.4,130.94,0.0000
42,entry,21,5,0,3.841,111.487,0.0466,0.0015,2110.3,59839.5,14596.9,141.66,0.0398
42,entry,22,5,0,3.473,200.411,0.0349,0.0012,2409.7,51647.1,11224.1,141.38,0.0277
42,entry,23,5,0,3.332,180.292,0.0386,0.0016,2493.5,53079.2,11501.9,132.37,0.0240
42,entry,24,5,0,5.105,256.864,0.0465,0.0021,3303.7,53402.7,11470.1,121.63,0.0471
42,entry,25,5,0,3.590,153.243,0.0416,0.0024,2141.4,56281.5,12985.4,144.70,0.0368
42,entry,26,5,0,3.222,173.379,0.0370,0.0003,1989.3,64286.6,16377.9,147.85,0.0000
42,entry,27,5,0,3.660,113.511,0.0442,0.0015,2424.8,52011.3,11342.6,136.08,0.0266
42,entry,28,5,0,3.690,178.020,0.0390,0.0011,2153.5,56515.3,13254.1,141.91,0.0162
42,entry,29,5,0,2.963,153.015,0.0438,0.0006,2208.7,54354.5,12301.2,143.49,0.0054
42,entry,30,5,0,3.588,195.011,0.0326,0.0004,2205.7,52993.2,11721.5,143.15,0.0000
42,entry,31,5,0,4.011,166.684,0.0389,0.0010,2241.0,53478.1,11916.9,144.01,0.0287
42,entry,32,5,0,3.466,148.761,0.0462,0.0027,2137.2,58152.0,13918.9,147.05,0.0430
42,entry,33,5,0,3.332,188.220,0.0466,0.0011,3688.8,51402.3,10933.7,121.85,0.0419
42,entry,34,5,0,4.160,105.909,0.0525,0.0006,2060.6,62150.8,15595.3,142.94,0.0390
42,entry,35,5,0,3.826,140.123,0.0477,0.0028,2088.1,59835.9,14448.4,148.85,0.0458
42,entry,36,5,0,3.867,144.818,0.0392,0.0013,2642.2,52344.7,11392.9,132.15,0.0329
42,entry,37,5,0,5.024,165.207,0.0460,0.0004,2928.2,54197.3,11240.1,126.01,0.0237
42,entry,38,5,0,4.078,156.472,0.0383,0.0018,2091.9,58865.5,13975.0,151.57,0.0425
42,entry,39,5,0,5.294,442.650,0.0461,0.0023,3876.4,53444.6,13699.3,115.24,0.0712
42,entry,40,5,0,3.718,101.040,0.0422,0.0022,2395.9,52116.2,11410.4,140.32,0.0432
42,entry,41,5,0,3.874,91.370,0.0504,0.0011,2254.3,51613.2,11412.4,139.35,0.0299
42,entry,42,5,0,4.366,110.223,0.0502,0.0013,2235.1,54294.6,12073.0,143.73,0.0412
42,entry,43,5,0,3.739,205.544,0.0344,0.0005,2538.4,51601.5,11024.3,145.30,0.0004
42,entry,44,5,0,3.948,179.038,0.0357,0.0022,2117.9,59270.7,14308.1,149.02,0.0334
42,entry,45,5,0,3.646,91.679,0.0466,0.0003,2426.3,53814.7,11703.0,135.40,0.0000
42,entry,46,5,0,3.932,120.385,0.0416,0.0026,2101.6,58626.8,14020.9,139.24,0.0552
42,entry,47,5,0,3.890,195.327,0.0482,0.0023,2832.0,54798.6,11294.5,126.25,0.0416
42,entry,48,5,0,3.310,135.383,0.0433,0.0020,2166.6,55664.0,12874.3,144.28,0.0347
42,entry,49,5,0,3.342,200.326,0.0434,0.0035,3262.9,52335.1,11127.4,120.09,0.0628
42,entry,50,5,0,3.961,141.941,0.0467,0.0009,2345.2,54879.9,11864.0,135.46,0.0215
42,entry,51,5,0,3.882,132.404,0.0488,0.0012,2144.8,55226.3,12436.1,148.59,0.0334
42,entry,52,5,0,3.588,186.580,0.0368,0.0011,2532.8,53737.4,11646.1,134.32,0.0150
42,entry,53,5,0,3.691,166.040,0.0400,0.0022,2136.3,58927.9,14138.9,144.18,0.0420
42,entry,54,5,0,3.095,196.276,0.0370,0.0003,2198.0,54444.2,12431.4,135.97,0.0000
42,entry,55,5,0,3.759,159.741,0.0452,0.0016,2107.5,59362.3,14232.1,142.08,0.0328
42,entry,56,5,0,3.408,198.563,0.0328,0.0003,2215.0,52063.8,11473.6,142.98,0.0069
42,entry,57,5,0,4.229,94.772,0.0455,0.0020,2182.7,56998.7,13392.7,141.79,0.0549
42,entry,58,5,0,3.488,139.082,0.0459,0.0022,2208.1,53538.0,11845.8,150.73,0.0437
42,entry,59,5,0,3.646,112.291,0.0483,0.0004,2652.8,51699.3,11024.3,135.86,0.0104
42,entry,60,5,0,3.453,168.915,0.0381,0.0003,2156.2,55547.0,12818.5,145.12,0.0000
42,entry,61,5,0,3.368,108.135,0.0430,0.0004,2173.7,56248.7,13057.3,140.99,0.0248
42,entry,62,5,0,3.929,188.226,0.0386,0.0019,2215.7,52813.7,11845.7,146.05,0.0290
42,entry,63,5,0,4.291,162.320,0.0431,0.0036,2558.8,55095.7,11537.1,129.31,0.0623
42,entry,64,5,0,3.793,95.491,0.0521,0.0015,2167.3,53740.6,12106.3,138.73,0.0461
42,entry,65,5,0,3.341,170.646,0.0399,0.0010,2470.2,53637.5,11676.4,133.84,0.0127
42,entry,66,5,0,4.222,127.085,0.0468,0.0017,3112.0,52187.6,10908.6,133.40,0.0407
42,entry,67,5,0,3.597,136.365,0.0387,0.0003,2337.9,51761.1,11308.4,133.92,0.0027
