seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,3.982,143.875,0.0343,0.0004,2116.7,56553.6,13300.8,141.07,0.0000
42,entry,2,5,0,3.707,182.297,0.0355,0.0002,2916.6,52757.3,11185.7,128.32,0.0061
42,entry,3,5,0,4.575,136.429,0.0414,0.0006,2732.8,53118.4,11356.5,138.43,0.0157
42,entry,4,5,0,4.413,144.368,0.0327,0.0018,2056.6,56889.7,13393.6,136.78,0.0438
42,entry,5,5,0,4.276,119.407,0.0387,0.0019,2127.6,56067.3,12889.5,149.91,0.0271
42,entry,6,5,0,5.208,174.605,0.0402,0.0013,3484.2,51276.1,11667.9,119.37,0.0589
42,entry,7,5,0,4.544,112.507,0.0465,0.0005,2228.1,52182.7,11525.1,141.27,0.0389
42,entry,8,5,0,4.304,129.302,0.0389,0.0031,2203.9,54708.4,11976.1,139.25,0.0516
42,entry,9,5,0,4.749,158.000,0.0369,0.0008,2779.1,51594.9,10961.5,131.39,0.0214
42,entry,10,5,0,3.803,147.343,0.0405,0.0006,2058.8,60749.0,14800.5,153.11,0.0177
42,entry,11,5,0,5.515,181.177,0.0362,0.0027,3109.4,52955.6,10991.0,124.93,0.0505
42,entry,12,5,0,4.059,146.223,0.0421,0.0021,2621.1,51420.1,11063.2,137.19,0.0347
42,entry,13,5,0,4.669,161.928,0.0327,0.0007,2216.8,55624.2,11914.2,132.18,0.0122
42,entry,14,5,0,4.314,156.344,0.0365,0.0016,2399.7,51811.6,11268.2,142.32,0.0224
42,entry,15,5,0,4.313,112.704,0.0411,0.0002,2268.5,51900.5,11407.1,144.85,0.0327
42,entry,16,5,0,4.514,122.708,0.0382,0.0015,2250.7,53810.5,11924.4,142.71,0.0226
42,entry,17,5,0,4.327,145.533,0.0303,0.0003,2108.4,55375.4,12589.6,143.41,0.0109
42,entry,18,5,0,4.690,289.711,0.0423,0.0013,3067.6,54441.8,11053.5,125.61,0.0267
42,entry,19,5,0,3.933,147.122,0.0378,0.0014,2552.4,52701.0,11485.4,138.79,0.0338
42,entry,20,5,0,4.230,129.724,0.0320,0.0004,2218.8,52872.3,11829.4,132.53,0.0008
42,entry,21,5,0,4.643,116.666,0.0394,0.0001,2098.6,59839.5,14596.9,142.80,0.0340
42,entry,22,5,0,4.259,164.272,0.0309,0.0011,2390.9,51647.1,11224.1,142.95,0.0133
42,entry,23,5,0,4.705,178.195,0.0282,0.0022,2481.4,53079.2,11501.9,134.26,0.0254
