seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,3.557,171.779,0.0387,0.0011,1985.7,57911.6,12997.1,139.39,0.0146
42,entry,2,5,0,3.371,129.782,0.0431,0.0027,2913.3,51374.9,10764.6,127.19,0.0538
42,entry,3,5,0,3.658,174.102,0.0408,0.0003,2837.2,51490.7,10858.9,135.91,0.0003
42,entry,4,5,0,3.108,144.178,0.0424,0.0008,2025.5,59483.7,13593.9,134.88,0.0092
42,entry,5,5,0,3.533,96.058,0.0451,0.0012,2208.6,53962.1,11971.5,147.88,0.0275
42,entry,6,5,0,4.747,147.261,0.0440,0.0039,3466.0,51029.1,11669.3,118.73,0.0793
42,entry,7,5,0,3.806,77.191,0.0495,0.0019,2132.3,53956.7,11569.8,140.60,0.0395
42,entry,8,5,0,3.482,141.811,0.0449,0.0023,2327.5,50856.2,11203.2,138.24,0.0353
42,entry,9,5,0,4.111,158.776,0.0451,0.0017,2680.7,53168.7,10981.8,128.62,0.0330
42,entry,10,5,0,3.948,142.057,0.0469,0.0007,2107.7,59880.2,14382.0,153.18,0.0161
42,entry,11,5,0,4.873,113.518,0.0450,0.0011,3207.1,51263.9,10942.7,124.29,0.0441
42,entry,12,5,0,3.420,185.060,0.0379,0.0004,2470.4,53307.5,11117.9,136.06,0.0000
42,entry,13,5,0,3.783,83.420,0.0510,0.0009,2393.5,52008.9,11293.4,129.74,0.0297
42,entry,14,5,0,3.308,142.468,0.0434,0.0002,2236.7,53750.5,11357.8,138.77,0.0072
42,entry,15,5,0,3.991,157.765,0.0407,0.0010,2270.9,53441.7,11351.0,143.70,0.0301
42,entry,16,5,0,3.850,145.473,0.0421,0.0024,2314.8,51174.7,11013.4,141.30,0.0470
42,entry,17,5,0,3.690,136.783,0.0429,0.0009,2001.9,56761.2,12581.6,140.97,0.0221
42,entry,18,5,0,3.064,137.453,0.0465,0.0003,3228.5,51382.0,10543.8,122.62,0.0000
42,entry,19,5,0,3.749,143.764,0.0473,0.0006,2570.4,52317.7,11170.3,138.49,0.0224
42,entry,20,5,0,3.140,214.193,0.0360,0.0024,2151.7,53499.2,11441.4,130.25,0.0470
42,entry,21,5,0,3.956,148.158,0.0413,0.0021,2073.2,57633.0,13699.7,142.35,0.0455
42,entry,22,5,0,3.913,142.612,0.0418,0.0014,2250.3,53785.3,11371.5,141.86,0.0202
42,entry,23,5,0,3.373,188.266,0.0354,0.0006,2466.5,51911.7,11152.3,132.09,0.0064
42,entry,24,5,0,4.831,158.719,0.0452,0.0027,3414.5,50893.2,11469.7,119.98,0.0424
42,entry,25,5,0,4.419,166.936,0.0381,0.0022,1970.1,58306.0,13156.4,143.89,0.0393
42,entry,26,5,0,3.639,128.612,0.0399,0.0006,2039.6,62460.3,15465.2,148.50,0.0061
42,entry,27,5,0,3.612,83.940,0.0467,0.0028,2326.3,53722.0,11327.8,135.46,0.0483
