seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,3,0,4.323,16.371,0.0551,0.0040,4446.1,35378.9,3166.5,62.56,0.0729
42,aero_offset,2,5,0,9.775,23.016,0.0465,0.0465,4518.3,38031.5,3694.7,47.08,0.0000
42,aero_offset,3,5,0,2.242,82.326,0.0259,0.0004,4591.7,36762.8,2940.3,55.53,0.0000
42,aero_offset,4,3,0,1.976,17.513,0.0273,0.0018,4363.7,36001.6,4028.6,55.09,0.0378
42,aero_offset,5,5,0,2.021,71.183,0.0145,0.0002,4645.9,37244.6,3181.6,56.07,0.0009
42,aero_offset,6,3,0,5.505,19.435,0.0509,0.0070,4507.5,35631.0,2911.1,58.24,0.1569
42,aero_offset,7,3,0,1.605,22.268,0.0229,0.0003,4563.4,36428.6,3758.9,53.59,0.0000
42,aero_offset,8,5,0,8.169,7.368,0.0707,0.0707,4517.2,37204.0,3470.8,49.04,0.0000
42,aero_offset,9,3,0,4.082,11.601,0.0547,0.0005,4515.4,35820.5,3283.3,57.94,0.0580
42,aero_offset,10,5,0,2.410,60.106,0.0135,0.0004,4686.0,38029.9,3769.1,57.47,0.0000
42,aero_offset,11,3,0,2.208,16.812,0.0640,0.0021,4391.6,37617.0,3397.3,54.73,0.0634
42,aero_offset,12,3,0,5.915,16.210,0.0487,0.0048,4586.9,35224.0,2888.8,62.01,0.1595
42,aero_offset,13,5,0,11.732,26.363,0.0715,0.0715,4270.1,37646.8,4005.3,47.25,0.0000
42,aero_offset,14,3,0,5.889,13.408,0.0550,0.0054,4561.8,36124.7,3039.1,61.65,0.1473
42,aero_offset,15,5,0,6.752,25.035,0.0667,0.0667,4573.7,36802.0,3079.3,50.16,0.0000
42,aero_offset,16,5,0,1.852,85.772,0.0338,0.0003,4526.1,37544.3,3217.6,56.25,0.0000
42,aero_offset,17,5,0,12.063,16.762,0.0655,0.0655,4610.7,35810.1,3548.7,50.15,0.0000
42,aero_offset,18,5,0,16.161,72.454,0.0716,0.0716,4485.3,37020.1,3069.3,46.81,0.0000
42,aero_offset,19,5,0,1.920,81.239,0.0148,0.0005,4636.1,37839.2,3488.6,53.71,0.0109
