seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,5.559,116.908,0.0485,0.0039,4495.5,35189.1,3165.9,65.02,0.0719
42,aero_offset,2,5,0,5.152,80.007,0.0556,0.0069,4551.4,37959.1,3673.2,58.64,0.1279
42,aero_offset,3,5,0,6.366,156.005,0.0525,0.0525,4620.0,36998.8,2948.0,49.34,0.0000
42,aero_offset,4,5,0,5.461,93.973,0.0533,0.0071,4497.1,35161.1,4028.4,61.29,0.1194
42,aero_offset,5,5,0,6.433,205.694,0.0520,0.0520,4671.6,37513.5,3212.8,51.18,0.0000
42,aero_offset,6,5,0,4.916,70.125,0.0523,0.0019,4571.4,35331.8,2909.7,56.75,0.0800
42,aero_offset,7,5,0,6.272,137.290,0.0482,0.0482,4624.9,36377.0,3746.9,49.22,0.0000
42,aero_offset,8,5,0,6.306,366.537,0.0500,0.0500,4516.3,37740.6,3485.1,49.01,0.0000
42,aero_offset,9,5,0,6.776,124.610,0.0502,0.0502,4615.8,34981.5,3283.8,47.83,0.0000
42,aero_offset,10,5,0,7.713,259.377,0.0495,0.0495,4731.0,38134.3,3768.7,52.57,0.0000
42,aero_offset,11,5,0,4.402,115.817,0.0505,0.0015,4438.2,37242.3,3388.3,57.34,0.0336
42,aero_offset,12,5,0,6.083,122.510,0.0517,0.0517,4609.3,35480.9,2875.5,49.61,0.0000
42,aero_offset,13,5,0,5.894,478.504,0.0532,0.0093,4288.6,38030.3,4004.3,58.42,0.1519
42,aero_offset,14,5,0,5.576,71.719,0.0585,0.0040,4631.3,35651.8,2995.6,61.53,0.1484
42,aero_offset,15,5,0,6.173,92.083,0.0534,0.0534,4625.3,36617.2,3082.0,50.21,0.0000
42,aero_offset,16,5,0,6.968,206.397,0.0494,0.0494,4584.8,37533.0,3218.0,49.73,0.0000
42,aero_offset,17,5,0,5.250,125.692,0.0517,0.0039,4708.5,35066.4,3549.6,61.92,0.1152
42,aero_offset,18,5,0,8.293,595.836,0.0501,0.0501,4523.5,37109.2,3069.3,46.84,0.0000
42,aero_offset,19,5,0,7.587,232.655,0.0551,0.0551,4672.5,37820.1,3490.5,48.98,0.0000
42,aero_offset,20,5,0,6.495,149.748,0.0452,0.0452,4379.8,36365.7,4154.7,47.52,0.0000
42,aero_offset,21,5,0,6.195,356.088,0.0519,0.0519,4389.9,37875.6,3652.6,50.87,0.0000
42,aero_offset,22,5,0,6.226,121.876,0.0477,0.0477,4679.6,35179.8,2930.6,50.31,0.0000
42,aero_offset,23,5,0,5.179,75.755,0.0530,0.0023,4390.6,37469.6,3307.5,61.02,0.0429
42,aero_offset,24,5,0,7.927,296.892,0.0585,0.0585,4412.9,36814.0,2911.4,45.90,0.0000
42,aero_offset,25,5,0,6.513,108.650,0.0488,0.0488,4624.8,35373.2,3100.4,51.49,0.0000
42,aero_offset,26,5,0,5.675,289.276,0.0548,0.0053,4390.9,37309.8,3176.4,67.52,0.1611
42,aero_offset,27,5,0,5.216,148.580,0.0500,0.0075,4599.3,36068.7,3621.4,60.55,0.1150
42,aero_offset,28,5,0,6.833,105.930,0.0499,0.0499,4369.4,37089.7,3286.6,50.76,0.0000
42,aero_offset,29,5,0,4.706,42.424,0.0544,0.0070,4503.5,37177.8,3043.7,61.69,0.1140
42,aero_offset,30,5,0,5.351,112.238,0.0480,0.0034,4678.0,35290.3,3151.0,63.04,0.0488
42,aero_offset,31,5,0,8.738,467.869,0.0485,0.0485,4554.4,37179.6,3039.3,50.30,0.0000
42,aero_offset,32,5,0,6.521,209.007,0.0545,0.0545,4608.6,38070.0,3753.3,51.36,0.0000
