kvel,scenario,seed,runs,landed,rate_pct,perfect,good,hard,tipped,crashed,offpad,too_hard,fuel_out,other,note
0.9,terminal,42,200,194,97.0,15,167,12,0,6,6,0,0,0,GATE_exact_194
0.9,entry,42,100,69,69.0,0,3,66,0,31,5,23,1,2,validate
0.9,entry,7,100,76,76.0,0,3,73,0,24,4,15,2,3,validate
0.9,entry,99,100,60,60.0,0,3,57,0,40,7,28,2,3,validate
0.9,aero_offset,42,300,215,71.7,0,26,189,0,85,40,40,1,4,validate
0.9,aero_offset,7,300,221,73.7,0,31,190,0,79,38,38,1,2,validate
0.7,terminal,42,200,194,97.0,15,167,12,0,6,6,0,0,0,GATE_exact_194
0.7,entry,42,100,64,64.0,1,4,59,0,36,3,30,0,3,refine
0.7,aero_offset,42,300,262,87.3,0,47,215,0,38,27,9,0,2,refine
0.8,terminal,42,200,194,97.0,15,167,12,0,6,6,0,0,0,GATE_exact_194
0.8,entry,42,100,64,64.0,0,5,59,0,36,2,30,3,1,refine
0.8,aero_offset,42,300,236,78.7,1,36,199,0,64,32,25,0,7,refine
1.0,terminal,42,200,194,97.0,15,167,12,0,6,6,0,0,0,GATE_exact_194
1.0,entry,42,100,46,46.0,0,3,43,0,54,30,17,3,4,refine
1.0,aero_offset,42,300,210,70.0,0,29,181,0,90,38,47,5,0,refine
0.7,entry,7,100,74,74.0,0,3,71,0,26,3,23,0,0,crossseed_best
0.7,aero_offset,7,300,261,87.0,0,56,205,0,39,27,8,0,4,crossseed_best
0.9,aero_offset_MPPI,42,60,39,65.0,1,11,27,0,21,16,4,0,1,mppi_validate
