tag,ki_wind,wfade,ign,kvel,selftest,term,entry_pct,aero_pct,score,E_offpad_hard_fuel_other,A_offpad_hard_fuel_other,E_tdv,E_lat,A_tdv,A_lat
B,0.004,OFF,150,1.2,PASS,194,50.0,60.3,110.3,38/10/2/0,73/40/2/4,3.67,15.27,3.40,15.56
C01,0.004,OFF,150,1.2,PASS,194,50.0,60.3,110.3,38/10/2/0,73/40/2/4,3.67,15.27,3.40,15.56
C02,0.004,OFF,150,0.9,PASS,194,69.0,71.7,140.7,5/23/1/2,40/40/1/4,3.62,15.57,3.79,13.21
C03,0.004,OFF,190,1.2,PASS,194,49.0,63.3,112.3,38/10/3/0,65/38/5/2,3.83,14.14,3.48,15.32
C04,0.004,OFF,190,0.9,PASS,194,66.0,68.3,134.3,7/24/2/1,43/48/1/3,3.54,15.13,3.75,12.76
C05,0.004,ON,150,1.2,PASS,194,49.0,61.3,110.3,38/10/3/0,69/39/2/6,3.58,15.09,3.28,15.54
C06,0.004,ON,150,0.9,PASS,194,72.0,72.3,144.3,4/21/3/0,42/34/2/5,3.36,15.50,3.53,13.12
C07,0.004,ON,190,1.2,PASS,194,51.0,64.0,115,39/9/1/0,64/38/2/4,3.62,14.51,3.34,15.24
C08,0.004,ON,190,0.9,PASS,194,68.0,69.7,137.7,6/23/2/1,46/41/1/3,3.21,14.74,3.51,12.73
C09,0.012,OFF,150,1.2,PASS,194,51.0,57.7,108.7,29/14/2/4,73/46/5/3,3.74,14.75,3.53,15.10
C10,0.012,OFF,150,0.9,PASS,194,73.0,67.0,140,6/20/1/0,50/45/0/4,3.90,13.61,3.87,13.51
C11,0.012,OFF,190,1.2,PASS,194,49.0,57.0,106,33/14/3/1,77/47/3/2,3.88,14.10,3.59,14.74
C12,0.012,OFF,190,0.9,PASS,194,71.0,64.0,135,6/18/3/2,54/50/0/4,3.85,13.35,3.86,13.73
C13,0.012,ON,150,1.2,PASS,194,50.0,59.3,109.3,29/14/4/3,70/42/6/4,3.49,14.79,3.25,15.07
C14,0.012,ON,150,0.9,PASS,194,80.0,69.3,149.3,5/15/0/0,52/36/3/1,3.46,13.30,3.41,13.32
C15,0.012,ON,190,1.2,PASS,194,49.0,58.3,107.3,33/13/4/1,73/45/5/2,3.62,13.96,3.36,14.80
C16,0.012,ON,190,0.9,PASS,194,78.0,66.7,144.7,5/12/3/2,55/40/1/4,3.47,12.48,3.41,13.52
