step,t_si,Fx,Fy,Fz,CA,CN
500,0.194502,0,0,0,0,0
1000,0.389004,0.0176935,3.94836e-05,-0.000280397,0.0144777,-3.23073e-05
1500,0.583507,0.0889154,-0.000296083,-0.00130709,0.0727547,0.000242269
2000,0.778009,0.203839,-0.00201925,-0.00306206,0.166791,0.00165224
2500,0.972511,0.312151,-0.00451486,-0.00698406,0.255417,0.00369427
3000,1.16701,0.43554,-0.00549609,-0.0117328,0.35638,0.00449716
3500,1.36152,0.551308,-0.00700084,-0.0147559,0.451106,0.00572841
4000,1.55602,0.584637,-0.00891806,-0.0134148,0.478377,0.00729717
4500,1.75052,0.878958,-0.00728359,-0.000771588,0.719205,0.00595977
5000,1.94502,1.27219,-0.000274317,0.00432719,1.04097,0.000224459
5500,2.13952,1.60458,-0.00092115,0.0075747,1.31294,0.000753728
6000,2.33403,2.02928,0.00317403,0.0125631,1.66045,-0.00259714
6500,2.52853,2.29709,0.00223187,0.00967444,1.87959,-0.00182622
7000,2.72303,2.39094,0.000210292,0.000659857,1.95638,-0.000172071
7500,2.91753,2.47806,0.00922409,-0.00832292,2.02766,-0.00754758
8000,3.11204,2.5335,0.00123338,-0.00645408,2.07303,-0.00100921
8500,3.30654,2.65534,0.00377285,0.00397143,2.17272,-0.00308713
9000,3.50104,2.81213,-0.00161056,0.00804889,2.30102,0.00131784
9500,3.69554,2.88632,-0.018056,-0.00858789,2.36172,0.0147743
10000,3.89004,2.84818,-0.00288378,0.00830563,2.33052,0.00235964
10500,4.08455,2.68911,-0.00272934,-0.00516319,2.20036,0.00223328
11000,4.27905,2.54419,0.00546857,0.00353519,2.08178,-0.00447464
11500,4.47355,2.3019,-0.00839053,-0.012824,1.88352,0.00686552
12000,4.66805,2.11737,0.00278909,0.00283341,1.73253,-0.00228217
12500,4.86256,2.00681,0.00585505,0.0297449,1.64207,-0.00479088
13000,5.05706,1.95035,-0.0120624,0.00206832,1.59587,0.00987006
13500,5.25156,1.94967,0.0199443,0.0231755,1.59531,-0.0163193
14000,5.44606,1.95481,0.0106456,0.00356389,1.59952,-0.00871072
14500,5.64056,1.92309,-0.0374639,-0.0210235,1.57356,0.0306547
15000,5.83507,1.92333,-0.104283,-0.0289393,1.57376,0.0853293
15500,6.02957,1.95344,0.109564,0.00377761,1.5984,-0.0896502
