seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
7,entry,1,5,0,14.453,43.743,0.0429,0.0429,2358.8,52618.7,11489.6,118.67,0.0000
7,entry,2,5,4,0.000,0.000,0.0000,0.1230,3692.6,51370.3,10267.2,112.25,0.0000
7,entry,3,2,0,2.751,9.430,0.0305,0.0051,2308.5,54791.9,11735.9,131.17,0.0831
7,entry,4,5,1,106.479,74.168,0.1315,0.1315,0.0,53050.4,10907.8,161.99,0.0000
7,entry,5,3,0,5.078,3.830,0.0392,0.0024,3516.2,48030.3,9323.3,123.67,0.0407
7,entry,6,3,0,4.104,7.105,0.0271,0.0017,2183.2,54567.6,11482.9,134.53,0.0356
7,entry,7,5,0,4.316,39.300,0.0818,0.0029,3274.2,52487.0,10856.9,114.35,0.1287
7,entry,8,3,0,1.825,15.444,0.0160,0.0002,1946.2,58231.7,13878.4,145.59,0.0000
7,entry,9,5,0,7.715,37.175,0.1720,0.1720,2466.9,55084.3,11306.2,120.93,0.0000
7,entry,10,5,4,0.000,0.000,0.0000,0.0728,3222.4,51202.7,10305.6,109.60,0.0000
7,entry,11,3,0,4.739,18.917,0.0564,0.0033,2493.0,55311.6,11432.8,131.07,0.0559
7,entry,12,3,0,3.772,12.477,0.0741,0.0048,3030.3,52074.7,10440.2,130.02,0.0782
7,entry,13,3,0,5.151,13.642,0.2018,0.0008,4391.8,50399.9,19451.1,101.47,0.1321
7,entry,14,5,4,0.000,0.000,0.0000,0.0913,3160.0,51271.8,10753.2,111.34,0.0000
7,entry,15,5,0,19.017,26.792,0.2611,0.2611,2903.7,51996.3,10398.3,121.77,0.0000
7,entry,16,2,0,3.317,2.863,0.0612,0.0065,2093.5,55262.5,11854.1,136.33,0.1392
7,entry,17,3,0,3.013,15.290,0.0956,0.0133,2884.6,54647.9,11039.0,124.51,0.1871
7,entry,18,2,0,3.166,7.692,0.0495,0.0003,2300.9,51873.5,10641.1,136.95,0.0000
7,entry,19,2,0,3.394,6.100,0.0496,0.0026,2528.7,54776.8,11266.7,128.82,0.0563
7,entry,20,5,0,17.971,81.986,0.0087,0.0087,3628.8,51371.1,10266.6,106.77,0.0000
7,entry,21,3,0,5.570,6.222,0.0970,0.0098,1972.6,57461.8,12785.3,131.92,0.3014
7,entry,22,5,0,5.519,32.061,0.0840,0.0107,2053.9,56079.7,11830.6,139.56,0.1642
7,entry,23,5,4,0.000,0.000,0.0000,0.0589,3073.1,51572.2,10663.7,118.23,0.0000
7,entry,24,3,0,2.348,22.961,0.0517,0.0022,1876.6,59069.5,13332.0,138.24,0.0408
7,entry,25,3,0,3.960,11.822,0.0525,0.0005,3110.9,52069.7,10364.8,120.68,0.0333
7,entry,26,3,0,3.873,9.748,0.0400,0.0019,3805.7,49623.8,10644.5,113.90,0.0265
7,entry,27,2,0,2.808,6.526,0.0561,0.0040,2679.2,53650.8,10863.6,125.92,0.1076
7,entry,28,5,0,13.334,38.784,0.0168,0.0168,3270.3,52356.4,10272.5,110.81,0.0000
7,entry,29,5,0,4.543,34.855,0.0669,0.0004,1873.0,57077.4,12347.9,136.58,0.0000
7,entry,30,5,0,10.029,56.758,0.0362,0.0362,2648.2,55156.4,11241.0,116.05,0.0000
7,entry,31,5,0,15.454,25.818,0.0088,0.0088,3202.9,50888.6,10133.8,113.72,0.0000
7,entry,32,5,0,6.989,2.761,0.1543,0.1543,1918.7,57951.5,12685.9,131.61,0.0000
7,entry,33,5,0,26.982,72.555,0.0479,0.0479,2459.6,52395.5,10835.5,121.88,0.0000
