seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
7,entry,1,3,0,4.331,11.193,0.1301,0.0105,2319.3,54548.7,11717.2,126.22,0.1734
7,entry,2,3,0,5.593,12.532,0.0847,0.0024,3018.8,51580.3,10311.1,127.71,0.1420
7,entry,3,5,0,2.914,44.225,0.0194,0.0011,2178.2,55349.1,11722.0,133.36,0.0151
7,entry,4,2,0,1.740,7.548,0.0270,0.0004,2625.2,53180.0,11072.0,129.16,0.0000
7,entry,5,2,0,3.087,3.063,0.0378,0.0009,3551.1,52041.4,10588.3,119.61,0.0213
7,entry,6,2,0,3.069,8.226,0.0437,0.0061,2237.3,55256.0,11640.8,131.83,0.1066
7,entry,7,3,0,4.432,13.600,0.0152,0.0003,3232.8,51549.6,10461.4,117.76,0.0000
7,entry,8,2,0,2.737,8.231,0.0503,0.0020,1759.2,61752.4,14109.3,148.59,0.0446
7,entry,9,3,0,4.480,9.168,0.0539,0.0053,2456.4,54760.2,11293.7,131.25,0.0858
7,entry,10,3,0,3.747,11.859,0.1142,0.0093,3015.8,54410.0,10841.1,118.68,0.3019
7,entry,11,5,0,10.080,41.012,0.0464,0.0464,2583.8,52548.1,10723.9,122.04,0.0000
7,entry,12,2,0,1.285,5.325,0.0266,0.0004,3027.5,51981.8,10413.2,126.17,0.0000
7,entry,13,3,0,5.714,7.456,0.0550,0.0052,4430.4,50055.3,19451.1,101.74,0.1329
7,entry,14,3,0,4.053,6.794,0.0759,0.0022,2783.1,52174.3,10522.8,124.01,0.0551
7,entry,15,2,0,2.293,3.084,0.0480,0.0017,3031.8,51611.3,10299.5,129.22,0.0240
7,entry,16,2,0,2.402,6.560,0.0374,0.0032,1967.1,56338.7,12015.7,133.21,0.0520
7,entry,17,3,0,4.064,2.232,0.1420,0.0090,3035.9,50441.4,10700.5,124.93,0.1724
7,entry,18,3,0,3.645,14.829,0.0460,0.0016,2271.8,51775.1,10540.1,141.69,0.0397
7,entry,19,5,0,8.174,5.269,0.1509,0.1509,2443.1,55162.5,11393.1,119.52,0.0000
7,entry,20,5,0,10.685,14.966,0.1822,0.1822,3578.1,51516.2,10311.1,106.57,0.0000
7,entry,21,3,0,4.704,17.783,0.1799,0.0317,2056.1,55477.5,12572.1,135.92,0.3998
7,entry,22,5,0,3.698,48.554,0.0800,0.0009,2245.0,53197.0,11207.1,137.86,0.0221
7,entry,23,3,0,4.049,11.488,0.1574,0.0069,2694.9,52091.7,10536.2,130.78,0.1294
7,entry,24,2,0,3.042,10.091,0.0465,0.0019,1960.3,59163.5,13369.4,136.64,0.0315
7,entry,25,3,0,4.721,11.954,0.0787,0.0043,3187.0,52020.1,10358.6,120.99,0.0826
7,entry,26,3,0,4.827,17.523,0.0749,0.0048,3629.8,50757.5,10654.7,108.31,0.1133
7,entry,27,2,0,1.739,5.206,0.0254,0.0004,2729.6,52469.9,10621.4,124.33,0.0000
7,entry,28,3,0,4.329,23.731,0.0505,0.0004,3303.4,52093.3,10243.3,120.98,0.0068
7,entry,29,5,0,4.601,42.473,0.0599,0.0107,2086.4,55223.0,12176.7,138.51,0.1391
7,entry,30,3,0,4.719,5.731,0.0444,0.0065,2683.9,54987.9,11201.4,126.30,0.1042
7,entry,31,3,0,3.066,15.011,0.0622,0.0065,3169.3,51583.5,10425.9,123.22,0.0987
7,entry,32,2,0,3.254,7.989,0.0520,0.0108,1952.3,56698.9,12538.3,139.71,0.1424
7,entry,33,2,0,2.331,8.497,0.0239,0.0005,2402.5,53822.5,11237.1,126.80,0.0153
7,entry,34,5,0,20.950,57.244,0.3040,0.3040,3038.2,50573.5,10375.8,113.37,0.0000
7,entry,35,2,0,3.487,5.155,0.0658,0.0035,3692.5,50834.7,11543.2,113.68,0.1345
7,entry,36,5,0,5.903,24.588,0.0454,0.0011,3286.5,52283.2,10319.5,123.40,0.0318
7,entry,37,3,0,3.865,10.269,0.0579,0.0001,2645.3,55550.8,11406.2,128.56,0.0469
7,entry,38,3,0,3.057,20.408,0.0709,0.0018,2031.9,53884.1,11550.4,145.86,0.0371
7,entry,39,3,0,5.450,20.687,0.1388,0.0082,3417.8,53903.2,10663.0,119.41,0.1739
7,entry,40,2,0,3.209,5.092,0.0644,0.0046,2887.6,51984.8,10386.7,120.36,0.0843
7,entry,41,3,0,3.577,12.211,0.0609,0.0044,1992.6,53441.5,11400.8,138.66,0.1015
7,entry,42,3,0,4.358,11.071,0.0766,0.0084,2217.9,56030.1,11731.0,130.07,0.1309
7,entry,43,2,0,3.067,5.115,0.0492,0.0024,2931.7,52357.8,10536.1,126.76,0.0494
7,entry,44,5,0,11.601,20.371,0.1770,0.1770,2602.0,52697.7,11275.1,117.95,0.0000
7,entry,45,3,0,2.901,13.111,0.0550,0.0047,2762.4,54978.5,11260.5,122.16,0.1043
7,entry,46,3,0,3.798,12.329,0.0439,0.0011,2740.6,51623.5,10809.6,130.94,0.0294
7,entry,47,5,0,6.142,10.796,0.1960,0.1960,2861.0,51614.2,10758.4,119.44,0.0000
7,entry,48,2,0,2.144,4.742,0.0395,0.0009,1930.8,55213.5,12107.8,145.61,0.0154
7,entry,49,3,0,4.722,18.466,0.0577,0.0023,3018.3,52355.4,10473.8,122.33,0.0336
7,entry,50,2,0,2.501,9.032,0.0463,0.0004,2675.4,51281.1,10072.5,123.52,0.0000
7,entry,51,2,0,2.126,7.503,0.0411,0.0005,2388.0,53236.3,11012.1,131.34,0.0000
7,entry,52,2,0,3.524,7.768,0.0600,0.0079,3131.7,53850.6,10841.4,119.23,0.1141
7,entry,53,2,0,2.731,8.533,0.0582,0.0083,2281.7,52387.5,11400.9,135.33,0.1108
7,entry,54,3,0,4.077,15.607,0.0532,0.0049,3149.4,52092.0,10889.9,120.05,0.0806
7,entry,55,2,0,2.018,6.980,0.0249,0.0007,2120.4,51472.1,11183.7,130.52,0.0149
7,entry,56,2,0,2.702,7.799,0.0533,0.0037,1987.6,54422.1,11643.1,135.78,0.1109
7,entry,57,2,0,2.199,2.743,0.0492,0.0021,2617.7,52017.4,10626.9,134.70,0.0311
7,entry,58,5,0,9.203,25.811,0.1107,0.1107,1706.4,65501.5,15705.6,136.87,0.0000
7,entry,59,2,0,3.471,2.554,0.0623,0.0039,2144.1,52792.5,11631.2,139.67,0.1250
7,entry,60,3,0,2.876,10.866,0.0419,0.0022,3581.4,51989.3,10501.0,121.87,0.0454
