seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
99,entry,1,2,0,3.355,2.350,0.0339,0.0010,2775.3,54394.2,11232.2,131.82,0.0094
99,entry,2,2,0,3.205,1.761,0.0827,0.0014,3195.4,50978.0,9990.2,120.20,0.0226
99,entry,3,2,0,3.434,7.919,0.0890,0.0032,2393.4,54712.8,11485.4,137.39,0.0590
99,entry,4,2,0,3.159,4.287,0.0125,0.0003,2872.5,52025.1,10448.1,119.53,0.0000
99,entry,5,2,0,2.192,5.666,0.0371,0.0003,2441.1,51111.7,10217.7,127.69,0.0000
99,entry,6,2,0,2.255,1.799,0.0572,0.0004,2144.4,55456.2,11757.5,130.72,0.0000
99,entry,7,5,0,24.896,51.014,0.0774,0.0774,2450.2,52124.1,10812.6,120.40,0.0000
99,entry,8,2,0,2.958,7.442,0.0481,0.0015,2593.9,55284.9,11331.9,123.98,0.0586
99,entry,9,3,0,5.406,10.432,0.0619,0.0102,2579.2,51722.8,11371.4,127.99,0.1439
99,entry,10,2,0,2.672,3.720,0.0350,0.0047,3369.7,53350.1,10656.8,108.56,0.1082
99,entry,11,3,0,2.803,13.699,0.0198,0.0008,2814.9,53672.5,10895.1,125.03,0.0207
99,entry,12,3,0,4.825,5.103,0.0513,0.0041,3485.6,52085.4,10210.7,124.92,0.1430
99,entry,13,2,0,3.174,4.123,0.0807,0.0028,4078.7,54125.5,21816.3,96.31,0.1135
99,entry,14,3,0,4.732,22.865,0.0649,0.0011,1905.8,63469.5,16411.2,141.29,0.0338
99,entry,15,2,0,2.062,3.164,0.0195,0.0005,2445.4,52156.3,10725.4,119.01,0.0029
99,entry,16,3,0,4.761,20.839,0.0884,0.0262,2911.9,55023.6,11086.1,120.53,0.2904
99,entry,17,2,0,2.558,7.999,0.0786,0.0033,2362.0,54273.4,11432.9,133.32,0.0509
99,entry,18,2,0,3.613,3.869,0.0385,0.0029,2974.3,50471.4,10053.0,119.78,0.0497
99,entry,19,2,0,3.666,5.421,0.0417,0.0075,2049.0,55990.6,11896.0,138.61,0.1114
99,entry,20,2,0,3.068,5.849,0.0613,0.0026,3223.3,51600.1,10149.8,116.80,0.0458
99,entry,21,2,0,2.583,3.000,0.0574,0.0002,1894.4,60386.8,14692.3,151.02,0.0270
99,entry,22,3,0,4.704,6.486,0.0501,0.0029,1995.6,56456.8,13799.4,146.50,0.0473
99,entry,23,2,0,1.705,3.200,0.0158,0.0001,2778.3,51269.6,10279.2,119.57,0.0000
99,entry,24,2,0,2.687,9.065,0.0674,0.0030,2501.3,54701.1,11330.0,132.38,0.0490
99,entry,25,2,0,2.630,7.138,0.0466,0.0037,2603.9,52581.4,10779.1,117.95,0.0700
99,entry,26,2,0,2.352,2.720,0.0433,0.0022,3419.8,49746.5,9818.8,112.09,0.0338
99,entry,27,3,0,3.348,11.183,0.0584,0.0141,3299.0,54157.1,10553.7,116.83,0.2236
99,entry,28,2,0,2.449,2.807,0.0444,0.0038,2343.3,52766.6,10957.7,127.14,0.0685
99,entry,29,3,0,4.020,4.633,0.0529,0.0003,2258.7,54251.0,11224.1,131.95,0.0030
99,entry,30,2,0,2.914,7.167,0.0482,0.0007,3326.3,49144.5,10326.7,117.45,0.0254
99,entry,31,2,0,2.962,1.136,0.0759,0.0019,3240.3,51208.6,10153.3,118.29,0.0469
99,entry,32,3,0,3.153,12.695,0.0279,0.0010,1862.0,63116.4,15907.0,151.43,0.0227
99,entry,33,2,0,3.411,8.212,0.0399,0.0027,2576.1,52752.2,10881.9,130.31,0.0432
99,entry,34,2,0,1.812,9.289,0.0552,0.0004,3321.6,46433.2,12861.9,106.10,0.0000
99,entry,35,5,0,5.214,50.301,0.1283,0.0320,3054.2,54810.4,10988.2,116.65,0.3212
99,entry,36,2,0,2.512,8.484,0.0553,0.0016,3358.6,50559.7,9820.9,113.19,0.0363
