seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
7,entry,1,3,0,5.706,1.579,0.0903,0.0224,2409.5,52074.4,11263.4,129.23,0.2869
7,entry,2,3,0,5.335,2.677,0.0584,0.0014,3029.8,51839.8,10376.6,126.99,0.0284
7,entry,3,2,0,2.429,3.189,0.0288,0.0015,2154.5,54450.6,11862.6,133.90,0.0195
7,entry,4,3,0,4.876,6.850,0.0522,0.0067,2607.4,52813.6,10846.5,125.70,0.1087
7,entry,5,2,0,3.305,3.088,0.0578,0.0101,3525.9,49294.4,9572.6,119.78,0.1578
7,entry,6,3,0,5.556,8.150,0.0673,0.0078,2418.4,52206.2,11348.2,135.53,0.1238
7,entry,7,2,0,2.395,2.692,0.0177,0.0004,3206.9,51555.6,10198.7,114.46,0.0000
7,entry,8,3,0,3.789,9.127,0.0564,0.0003,2070.7,56588.7,13172.0,150.41,0.0019
7,entry,9,3,0,3.461,25.160,0.0571,0.0111,2591.4,49172.8,10639.4,130.89,0.1588
7,entry,10,3,0,2.457,12.244,0.0593,0.0005,3013.3,51198.7,10020.7,118.67,0.0152
7,entry,11,3,0,4.280,2.040,0.0840,0.0003,2480.1,54288.5,11255.0,128.49,0.0018
7,entry,12,2,0,3.851,6.489,0.0552,0.0017,3096.0,51001.7,10456.2,130.81,0.0295
7,entry,13,5,0,4.509,41.309,0.1643,0.0209,4464.1,47686.0,19707.7,100.23,0.3421
7,entry,14,3,0,4.037,13.686,0.1976,0.0028,2903.2,51309.3,10797.8,123.25,0.3044
7,entry,15,2,0,3.569,4.133,0.0343,0.0016,2977.6,51797.8,10347.7,131.36,0.0339
7,entry,16,2,0,2.273,4.817,0.0324,0.0011,2102.4,55351.7,12143.9,132.59,0.0154
7,entry,17,2,0,2.061,1.236,0.0492,0.0018,3090.7,47639.8,10076.7,123.54,0.0253
7,entry,18,3,0,4.351,6.568,0.0370,0.0002,2382.5,51066.9,10708.0,139.54,0.0000
7,entry,19,2,0,1.332,6.053,0.0491,0.0015,2520.2,54346.5,11355.6,127.86,0.0245
7,entry,20,3,0,2.301,21.993,0.0271,0.0008,3537.4,52014.0,9983.1,111.96,0.0150
7,entry,21,3,0,4.747,0.578,0.0920,0.0077,1971.5,57795.3,12815.4,131.69,0.1090
7,entry,22,2,0,2.545,1.861,0.0343,0.0003,2078.1,56195.8,11869.8,136.95,0.0000
7,entry,23,2,0,3.983,3.597,0.1303,0.0120,2668.8,51723.7,10490.5,128.85,0.1708
7,entry,24,2,0,3.761,6.597,0.0933,0.0113,1899.5,59061.1,13316.7,140.02,0.1544
7,entry,25,1,0,1.873,2.111,0.0624,0.0002,3041.1,52138.7,10391.7,116.73,0.0000
7,entry,26,2,0,2.823,6.192,0.1458,0.0002,3641.0,49745.6,10654.7,110.77,0.0000
7,entry,27,3,0,4.027,2.002,0.0590,0.0032,2654.1,54151.9,10942.7,129.19,0.0750
7,entry,28,2,0,3.740,3.940,0.2174,0.0143,3254.7,51833.8,10208.6,121.30,0.2998
7,entry,29,5,0,5.466,27.074,0.0925,0.0056,1972.0,55747.5,12077.2,142.76,0.0982
7,entry,30,3,0,5.165,13.735,0.0718,0.0032,2881.5,50766.2,10506.0,130.17,0.0934
7,entry,31,2,0,3.713,2.764,0.0327,0.0005,3166.7,50427.2,10336.4,122.85,0.0217
7,entry,32,3,0,4.643,10.689,0.1703,0.0094,1892.6,58076.5,12969.5,144.95,0.2327
7,entry,33,3,0,4.150,4.139,0.0557,0.0017,2471.5,52739.2,11255.9,132.54,0.0641
7,entry,34,2,0,2.315,0.997,0.0462,0.0037,3150.4,48031.5,9688.6,120.92,0.0630
7,entry,35,3,0,4.441,11.472,0.0971,0.0044,3664.2,52882.9,11543.2,114.97,0.0714
7,entry,36,2,0,3.357,4.376,0.0253,0.0003,3219.2,51293.2,10081.2,121.51,0.0042
7,entry,37,2,0,3.559,6.210,0.0626,0.0056,2822.0,53120.3,11310.5,125.01,0.0957
7,entry,38,3,0,4.461,2.775,0.0803,0.0085,2036.9,53881.2,11549.9,147.73,0.1244
7,entry,39,3,0,5.229,0.945,0.0420,0.0016,3516.3,52171.3,10519.4,124.37,0.0432
7,entry,40,2,0,2.797,3.568,0.0345,0.0044,2894.9,52663.3,10689.9,118.98,0.1084
7,entry,41,2,0,3.184,0.777,0.0241,0.0004,1922.2,53503.5,11413.4,139.60,0.0000
7,entry,42,2,0,2.722,8.784,0.0325,0.0012,2231.4,55120.7,11795.7,131.25,0.0166
7,entry,43,3,0,1.776,11.653,0.0630,0.0008,2984.7,49573.9,10474.2,126.06,0.0124
7,entry,44,3,0,4.616,10.361,0.0410,0.0010,2575.0,52057.0,10619.5,121.32,0.0157
