seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
7,entry,1,3,0,5.675,21.311,0.0361,0.0005,2385.5,52514.0,11464.4,128.12,0.0211
7,entry,2,5,0,7.158,13.389,0.2059,0.2059,3001.6,51148.2,10218.0,115.03,0.0000
7,entry,3,2,0,3.379,2.645,0.0926,0.0092,2232.5,55166.0,11727.0,136.72,0.1364
7,entry,4,2,0,3.243,5.880,0.0551,0.0020,2665.5,52327.3,11030.0,131.78,0.0382
7,entry,5,3,0,4.450,7.509,0.1053,0.0076,3557.8,48581.7,9436.6,121.11,0.1146
7,entry,6,2,0,1.816,6.210,0.0465,0.0003,2347.5,52554.3,11459.9,132.55,0.0000
7,entry,7,3,0,4.400,8.042,0.0551,0.0017,3254.7,51984.4,10349.6,117.88,0.0777
7,entry,8,2,0,2.512,6.972,0.0212,0.0008,2063.8,58997.2,13944.1,145.86,0.0093
7,entry,9,3,0,5.574,8.423,0.0569,0.0102,2614.5,51669.2,10941.8,132.87,0.1726
7,entry,10,3,0,4.786,6.459,0.1562,0.0056,3081.8,50823.8,10003.6,120.42,0.0899
7,entry,11,2,0,3.940,7.686,0.0621,0.0056,2633.1,52394.2,11227.6,128.85,0.1394
7,entry,12,3,0,2.928,19.310,0.0328,0.0004,2942.4,51977.8,10429.4,130.09,0.0000
7,entry,13,2,0,3.711,0.401,0.0604,0.0001,4464.9,49182.9,19451.6,100.24,0.0802
7,entry,14,3,0,5.204,9.257,0.1202,0.0071,2782.1,52643.1,10646.2,116.68,0.1021
7,entry,15,3,0,4.016,5.869,0.0669,0.0058,3001.5,51652.5,10311.0,132.70,0.1064
7,entry,16,2,0,1.739,7.280,0.0296,0.0004,2151.1,54522.1,11930.9,133.01,0.0000
7,entry,17,2,0,3.408,1.912,0.0550,0.0105,3024.4,50189.4,10345.9,123.81,0.1716
7,entry,18,2,0,3.313,4.617,0.0394,0.0005,2256.3,52341.9,10570.6,139.70,0.0000
7,entry,19,3,0,4.512,1.325,0.0320,0.0014,2564.4,54012.2,11269.6,131.27,0.0488
7,entry,20,3,0,5.036,14.297,0.1140,0.0158,3723.7,50199.2,9906.6,113.76,0.3126
7,entry,21,2,0,2.390,2.893,0.0873,0.0003,1967.2,57771.2,12808.7,134.80,0.0000
7,entry,22,5,0,5.565,39.775,0.0701,0.0027,2212.6,53190.1,11204.6,143.14,0.0555
7,entry,23,3,0,4.381,7.644,0.1286,0.0028,2629.6,51677.1,10472.1,129.88,0.0578
7,entry,24,3,0,5.641,18.363,0.0515,0.0037,1959.5,58986.8,13309.3,141.90,0.1601
7,entry,25,3,0,4.351,6.965,0.0645,0.0067,3101.6,52082.4,10465.9,119.70,0.1010
7,entry,26,3,0,4.658,4.125,0.0964,0.0077,3670.5,49807.0,10654.7,114.95,0.1110
7,entry,27,2,0,2.786,2.651,0.0281,0.0004,2799.8,52125.2,10835.9,127.37,0.0112
7,entry,28,3,0,5.609,7.621,0.0431,0.0010,3264.7,52137.6,10291.6,121.32,0.0508
7,entry,29,3,0,5.745,28.234,0.0730,0.0019,2011.3,55747.5,12077.2,147.95,0.0505
7,entry,30,2,0,3.301,5.011,0.0382,0.0005,2726.4,52359.4,10634.8,124.00,0.0110
7,entry,31,2,0,3.067,3.081,0.1019,0.0015,3135.5,50841.0,10063.0,123.22,0.0712
7,entry,32,2,0,3.876,2.509,0.2423,0.0125,1904.4,58119.0,13122.9,142.58,0.1699
7,entry,33,2,0,3.395,8.358,0.0966,0.0110,2544.2,55574.9,11528.0,130.27,0.1946
7,entry,34,3,0,4.823,7.728,0.1232,0.0096,3029.2,53563.0,11106.5,124.27,0.3681
7,entry,35,3,0,1.614,12.876,0.0354,0.0010,3685.4,51115.6,11543.2,110.27,0.0243
7,entry,36,3,0,4.353,6.072,0.0963,0.0079,3174.6,51322.5,10080.7,122.90,0.1084
7,entry,37,2,0,3.369,6.754,0.0603,0.0002,2825.8,53377.6,11330.4,123.85,0.0081
7,entry,38,2,0,3.647,6.486,0.0812,0.0104,2062.1,53904.3,11556.7,144.32,0.1868
7,entry,39,2,0,2.681,7.653,0.0425,0.0031,3511.5,50947.6,10109.4,118.67,0.0487
7,entry,40,3,0,4.637,3.637,0.0387,0.0024,2881.8,51726.0,10796.7,123.76,0.0353
7,entry,41,2,0,3.874,2.534,0.0376,0.0005,2036.8,53521.7,11416.9,138.62,0.0000
7,entry,42,5,0,4.324,28.121,0.0906,0.0051,2358.8,55608.9,11768.3,130.56,0.2163
7,entry,43,2,0,3.097,9.939,0.0512,0.0006,2829.4,54568.9,11114.6,124.01,0.0169
7,entry,44,3,0,4.634,16.919,0.0184,0.0004,2590.7,52117.7,10620.6,129.10,0.0000
7,entry,45,3,0,2.870,12.157,0.0710,0.0060,2854.8,53855.9,11127.0,123.28,0.1240
7,entry,46,2,0,3.305,4.253,0.0490,0.0049,2617.4,52481.9,10688.2,128.95,0.1027
7,entry,47,2,0,2.484,5.514,0.0309,0.0003,2752.0,47968.4,10024.8,127.15,0.0000
7,entry,48,3,0,5.983,5.587,0.0408,0.0018,2166.0,52291.4,11675.0,148.02,0.0274
7,entry,49,2,0,3.932,5.282,0.0475,0.0017,2986.1,52138.2,10409.7,121.63,0.0602
7,entry,50,3,0,3.755,12.815,0.0515,0.0025,2742.4,53098.8,11128.7,128.33,0.0476
7,entry,51,3,0,4.540,3.842,0.1341,0.0289,2456.2,51657.9,11278.0,135.65,0.3373
7,entry,52,2,0,3.699,10.422,0.0453,0.0005,3076.5,54385.7,10968.9,116.04,0.0005
7,entry,53,2,0,3.963,8.863,0.0481,0.0017,2200.1,52622.5,11533.0,136.61,0.0333
7,entry,54,2,0,3.586,3.763,0.0539,0.0036,3124.8,52095.5,10889.9,118.63,0.0744
7,entry,55,2,0,3.799,7.308,0.0815,0.0091,2023.2,52146.2,10813.0,133.45,0.1814
7,entry,56,2,0,3.542,2.615,0.0683,0.0080,2060.9,52414.8,11458.8,134.85,0.1126
7,entry,57,5,0,3.224,26.926,0.1396,0.0107,2599.7,52017.4,10626.9,137.30,0.1992
7,entry,58,3,0,2.611,15.835,0.0772,0.0020,1729.3,65413.0,15701.2,145.53,0.0401
7,entry,59,3,0,5.311,0.991,0.0381,0.0028,2200.7,52307.6,11693.7,140.99,0.0778
7,entry,60,3,0,3.583,15.184,0.0575,0.0054,3660.3,52386.3,10343.2,120.79,0.0843
