seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,3,0,5.404,0.730,0.0525,0.0035,2195.9,53030.0,11854.0,137.56,0.0613
42,entry,2,2,0,2.665,2.794,0.0370,0.0027,3362.5,50890.1,10030.4,112.72,0.0422
42,entry,3,5,0,5.227,34.868,0.0928,0.0025,2801.8,54229.0,11084.5,132.61,0.1208
42,entry,4,3,0,5.113,2.507,0.1238,0.0098,1997.7,54798.6,11571.0,129.48,0.2078
42,entry,5,3,0,6.000,5.787,0.0314,0.0026,3116.0,50405.4,10109.9,131.46,0.0809
42,entry,6,2,0,2.835,1.522,0.0370,0.0003,3453.6,52800.4,11669.8,112.54,0.0015
42,entry,7,2,0,2.929,2.498,0.0745,0.0058,2817.1,51935.1,10473.5,124.19,0.1311
42,entry,8,5,0,23.024,186.921,0.0467,0.0467,2371.4,54859.1,11561.1,123.63,0.0000
42,entry,9,2,0,1.970,3.746,0.0683,0.0006,3182.4,48258.3,10048.5,120.49,0.0140
42,entry,10,2,0,1.943,2.651,0.0491,0.0002,2449.0,52339.7,10567.2,137.81,0.0061
42,entry,11,2,0,2.566,5.474,0.0356,0.0017,3074.0,53890.1,10942.2,114.45,0.0308
42,entry,12,3,0,5.470,4.392,0.0760,0.0017,3054.2,51896.3,10337.9,127.02,0.1236
42,entry,13,3,0,4.135,10.669,0.0361,0.0007,3096.2,50837.5,11298.5,114.03,0.0189
42,entry,14,2,0,3.553,8.052,0.0337,0.0027,2682.0,54597.1,11214.9,130.64,0.0544
42,entry,15,2,0,3.698,1.848,0.0507,0.0085,3121.4,50866.9,10047.9,126.40,0.1210
42,entry,16,5,0,15.071,76.832,0.0960,0.0960,2489.8,54780.7,11477.3,125.29,0.0000
42,entry,17,3,0,4.208,4.892,0.0578,0.0014,2383.1,55911.5,11590.8,132.34,0.0194
42,entry,18,2,0,3.795,5.393,0.0728,0.0094,3752.8,47525.0,12045.8,110.51,0.1824
42,entry,19,2,0,3.472,2.186,0.0600,0.0083,2754.4,54050.1,11147.9,127.78,0.1269
42,entry,20,2,0,2.622,1.370,0.0110,0.0005,2601.9,52357.7,10712.4,115.96,0.0000
42,entry,21,5,0,2.295,25.256,0.2409,0.0112,1975.6,56907.2,13388.8,143.01,0.1621
42,entry,22,3,0,5.474,6.018,0.0975,0.0250,2728.4,54874.1,11201.5,126.57,0.3250
42,entry,23,3,0,3.407,9.414,0.0412,0.0015,3036.8,50516.5,9975.1,117.98,0.0327
42,entry,24,3,0,4.602,3.150,0.0808,0.0034,3344.7,53649.7,11470.6,118.04,0.1105
42,entry,25,5,0,6.241,10.863,0.0408,0.0408,2215.0,53483.5,11199.7,124.80,0.0000
42,entry,26,3,0,4.183,6.159,0.0392,0.0052,2101.5,48992.0,10557.6,139.23,0.0912
42,entry,27,3,0,5.494,12.409,0.0141,0.0007,2641.0,52814.6,11061.7,126.93,0.0196
42,entry,28,3,0,4.674,7.462,0.0688,0.0090,2368.3,52832.6,10989.5,130.34,0.1432
42,entry,29,3,0,5.136,5.425,0.0221,0.0017,2280.1,53066.0,11777.2,138.17,0.0349
