seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
7,entry,1,3,0,3.238,10.066,0.0444,0.0011,2068.4,56290.2,11769.3,127.51,0.0382
7,entry,2,3,0,2.911,16.121,0.1035,0.0063,2854.2,51108.6,10200.3,126.36,0.1430
7,entry,3,2,0,3.436,1.338,0.0606,0.0023,2235.3,55080.3,11718.2,137.60,0.0405
7,entry,4,3,0,4.266,10.049,0.0215,0.0002,2639.4,52936.3,10898.0,133.47,0.0000
7,entry,5,3,0,4.405,10.258,0.0341,0.0028,3567.2,50667.0,9883.5,123.67,0.0574
7,entry,6,5,0,4.758,70.805,0.0862,0.0004,2257.5,53553.2,11379.2,138.07,0.0918
7,entry,7,3,0,5.674,4.904,0.0614,0.0050,3219.7,51482.2,10120.2,114.87,0.0830
7,entry,8,5,4,0.000,0.000,0.0000,0.1991,1919.8,60587.9,13892.3,140.07,0.0000
7,entry,9,3,0,5.192,4.710,0.0540,0.0065,2526.3,53085.8,11113.3,133.50,0.1232
7,entry,10,2,0,3.240,6.782,0.0541,0.0013,3135.8,52191.7,10781.1,118.12,0.0226
7,entry,11,3,0,4.567,6.123,0.0373,0.0029,2603.1,53582.5,11315.7,132.37,0.0682
7,entry,12,2,0,1.441,3.449,0.0318,0.0003,2962.4,52579.6,10644.3,126.70,0.0040
7,entry,13,5,0,2.875,32.911,0.0810,0.0026,4357.9,47545.1,19717.0,99.08,0.0489
7,entry,14,2,0,3.360,5.290,0.0453,0.0054,2690.3,55368.9,11204.1,119.25,0.0866
7,entry,15,2,0,2.781,1.789,0.0578,0.0003,2948.6,51725.9,10348.2,129.48,0.0000
7,entry,16,2,0,3.852,1.353,0.1054,0.0086,2102.2,55197.4,11835.0,132.68,0.1570
7,entry,17,2,0,3.771,2.521,0.0486,0.0039,2954.9,51326.0,10768.6,126.52,0.0640
7,entry,18,2,0,3.797,3.068,0.0411,0.0032,2238.2,50537.8,10635.0,135.68,0.0586
7,entry,19,2,0,3.460,3.443,0.0737,0.0003,2532.2,52400.3,11219.3,130.96,0.0045
7,entry,20,2,0,2.614,3.929,0.0611,0.0019,3558.9,51142.8,9885.6,113.70,0.0298
7,entry,21,2,0,2.935,6.142,0.0364,0.0012,1976.3,54923.8,12377.4,132.47,0.0201
7,entry,22,2,0,1.736,6.825,0.0420,0.0003,2060.7,54865.2,11659.3,136.80,0.0000
7,entry,23,2,0,2.538,1.375,0.0413,0.0002,2605.1,51749.6,10512.1,127.98,0.0192
7,entry,24,5,0,22.488,570.026,0.0618,0.0618,1907.3,58872.7,13270.3,130.55,0.0000
7,entry,25,3,0,5.297,9.476,0.0662,0.0091,3086.8,51606.1,10239.9,121.98,0.1357
7,entry,26,3,0,5.193,24.894,0.1185,0.0050,3798.5,46209.3,10947.0,116.31,0.0658
7,entry,27,3,0,5.537,2.470,0.0667,0.0049,2769.3,52250.0,10919.2,131.86,0.1273
7,entry,28,2,0,2.891,1.356,0.0609,0.0005,3234.2,51327.1,10094.0,118.38,0.0000
7,entry,29,2,0,3.131,4.488,0.0788,0.0039,2000.0,55703.3,12064.2,142.65,0.0706
7,entry,30,3,0,4.954,7.222,0.0968,0.0120,2589.8,55653.2,11200.8,130.28,0.1655
7,entry,31,3,0,4.615,16.785,0.0469,0.0028,3142.3,49857.9,10230.5,123.74,0.0425
7,entry,32,3,0,4.110,4.529,0.1327,0.0333,1970.0,57957.4,13105.5,139.96,0.3953
7,entry,33,2,0,2.902,4.471,0.0369,0.0040,2365.1,52567.1,10871.3,130.16,0.0751
7,entry,34,3,0,4.514,2.921,0.0508,0.0062,3005.8,53563.0,11106.5,124.28,0.1128
7,entry,35,2,0,2.366,7.175,0.0582,0.0032,3724.0,50044.4,11538.3,112.46,0.0538
7,entry,36,3,0,4.476,3.543,0.0444,0.0040,3182.4,51301.0,10080.5,121.59,0.0622
7,entry,37,2,0,1.732,6.653,0.0344,0.0004,2819.6,53613.8,11189.6,123.48,0.0000
7,entry,38,3,0,5.366,3.674,0.0665,0.0032,1978.1,53911.0,11569.6,150.06,0.0703
7,entry,39,3,0,5.309,0.883,0.1730,0.0104,3474.8,48639.1,9333.9,119.78,0.2768
7,entry,40,5,0,38.244,265.997,0.0473,0.0473,2909.8,53131.4,10656.2,112.17,0.0000
7,entry,41,2,0,1.907,2.972,0.0302,0.0003,1853.0,53573.9,11467.6,136.25,0.0000
7,entry,42,3,0,5.906,21.001,0.0375,0.0003,2272.3,55223.0,11693.6,137.07,0.0036
7,entry,43,2,0,3.522,9.009,0.0312,0.0021,3003.6,50251.7,10519.7,126.14,0.0471
7,entry,44,2,0,3.975,1.706,0.0357,0.0016,2560.2,51415.7,10988.1,128.52,0.0336
7,entry,45,2,0,3.870,6.484,0.1627,0.0075,2664.6,54234.8,11116.2,126.83,0.1199
7,entry,46,5,0,4.624,74.954,0.1216,0.0032,2747.6,52723.0,10782.4,132.59,0.0544
7,entry,47,2,0,2.821,4.919,0.0242,0.0038,2805.1,48135.8,9983.6,126.63,0.0692
7,entry,48,5,0,39.459,54.765,0.2562,0.2562,1903.9,52092.2,11753.0,141.81,0.0000
7,entry,49,1,0,1.977,2.512,0.0760,0.0012,3006.4,50872.2,10090.1,122.78,0.0187
7,entry,50,2,0,3.641,9.352,0.0557,0.0003,2853.0,51204.1,10695.4,123.80,0.0000
7,entry,51,3,0,5.724,2.379,0.1286,0.0108,2423.5,50549.9,11046.9,136.51,0.2428
7,entry,52,2,0,3.607,0.934,0.0489,0.0105,3158.6,51661.4,10579.2,117.15,0.1224
7,entry,53,2,0,3.720,3.145,0.0563,0.0040,2161.0,52538.6,11520.5,137.23,0.0696
7,entry,54,2,0,2.837,2.875,0.0271,0.0012,3037.8,51829.5,10329.3,116.08,0.0190
7,entry,55,2,0,3.669,5.395,0.0580,0.0025,2059.4,55373.6,11970.3,129.94,0.0385
7,entry,56,2,0,2.913,7.768,0.0533,0.0041,1918.6,55638.7,11765.0,135.20,0.0736
7,entry,57,5,0,41.727,442.174,0.2460,0.2460,2515.6,51616.9,10540.8,126.83,0.0000
7,entry,58,3,0,4.716,12.921,0.0757,0.0041,1719.0,65057.8,15584.0,148.30,0.1187
7,entry,59,2,0,2.965,1.074,0.0935,0.0082,2019.9,53513.7,11449.3,141.34,0.1073
7,entry,60,2,0,3.144,1.986,0.0789,0.0117,3689.2,47709.7,9219.6,123.39,0.1557
