seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
7,entry,1,2,0,2.749,2.240,0.0327,0.0009,2347.7,53478.4,11834.6,125.74,0.0180
7,entry,2,3,0,4.070,1.553,0.0580,0.0043,2981.0,51369.0,10256.8,126.24,0.0912
7,entry,3,2,0,2.546,2.143,0.0227,0.0003,2246.1,55077.5,11959.6,135.10,0.0004
7,entry,4,2,0,2.789,1.332,0.0516,0.0010,2652.5,52861.3,10893.9,132.39,0.0137
7,entry,5,3,0,5.340,3.587,0.2276,0.0279,3537.5,47216.7,9062.7,122.95,0.3731
7,entry,6,2,0,2.966,2.960,0.0486,0.0019,2133.5,55414.3,11692.4,134.59,0.0502
7,entry,7,2,0,3.746,0.894,0.0528,0.0111,3243.2,51061.1,10066.7,117.50,0.1570
7,entry,8,2,0,3.132,0.385,0.0608,0.0003,2019.1,58095.7,13792.8,146.09,0.0000
7,entry,9,2,0,3.557,1.389,0.0491,0.0003,2572.6,50312.7,10851.8,129.78,0.0006
7,entry,10,2,0,3.209,3.208,0.0343,0.0018,3047.7,54096.4,11033.0,118.26,0.0255
7,entry,11,3,0,4.029,4.173,0.0669,0.0038,2605.7,53212.3,11347.6,132.56,0.0708
7,entry,12,2,0,2.063,2.268,0.0561,0.0006,3008.7,51754.6,10342.7,129.57,0.0272
7,entry,13,2,0,3.825,0.302,0.0470,0.0054,4533.0,47042.7,19518.5,101.40,0.0888
7,entry,14,2,0,3.534,5.468,0.1248,0.0057,2827.6,53531.5,11186.6,122.63,0.0901
7,entry,15,1,0,1.517,0.167,0.0500,0.0003,3040.3,51310.6,10227.3,130.76,0.0000
7,entry,16,2,0,2.093,0.919,0.0291,0.0019,2095.5,52528.7,10968.4,133.67,0.0299
7,entry,17,2,0,2.128,0.479,0.0430,0.0012,3004.2,51229.4,10791.8,122.86,0.0160
7,entry,18,3,0,4.235,0.877,0.0611,0.0114,2458.4,50167.4,10604.5,140.11,0.1642
7,entry,19,2,0,2.797,3.803,0.1786,0.0056,2587.9,52486.6,11305.1,130.39,0.0739
7,entry,20,2,0,2.847,2.257,0.0669,0.0032,3580.0,51093.7,9860.4,118.04,0.0642
7,entry,21,3,0,4.891,2.707,0.0984,0.0295,1988.5,57690.5,12779.5,133.46,0.2989
7,entry,22,2,0,2.687,5.238,0.0077,0.0003,2017.6,56350.7,11825.8,137.42,0.0000
7,entry,23,2,0,2.449,0.087,0.0489,0.0051,2746.7,51080.5,10310.1,126.50,0.0873
7,entry,24,5,1,83.222,1.268,0.4363,0.4363,0.0,58985.6,13308.4,159.06,0.0000
7,entry,25,2,0,3.536,3.976,0.0741,0.0038,3133.7,51618.1,10241.0,120.03,0.0642
7,entry,26,2,0,2.464,3.929,0.0608,0.0007,3672.7,49116.4,10654.7,113.30,0.0156
7,entry,27,2,0,2.186,0.775,0.0332,0.0003,2596.5,51813.3,10947.9,127.49,0.0000
7,entry,28,2,0,3.350,1.865,0.0709,0.0057,3315.0,50253.9,10274.4,121.93,0.1277
7,entry,29,3,0,4.882,0.190,0.0389,0.0048,1903.7,55757.3,12080.0,145.40,0.1029
7,entry,30,2,0,3.091,7.711,0.0228,0.0009,2603.9,55686.0,11227.4,124.62,0.0199
7,entry,31,2,0,1.102,4.417,0.0222,0.0003,3046.7,51734.0,10121.4,119.59,0.0000
7,entry,32,3,0,4.396,3.121,0.0575,0.0083,2007.4,56619.4,12509.8,142.83,0.1460
7,entry,33,2,0,2.214,4.404,0.0276,0.0001,2618.1,51333.5,10944.5,128.89,0.0000
7,entry,34,2,0,2.230,0.410,0.0552,0.0033,3187.8,48032.6,9688.6,120.87,0.0595
7,entry,35,2,0,1.550,7.141,0.0255,0.0006,3455.4,54343.7,11538.1,109.69,0.0067
7,entry,36,2,0,3.649,1.515,0.1439,0.0003,3084.9,51762.6,10208.0,123.69,0.0018
7,entry,37,2,0,2.314,5.137,0.0536,0.0003,2731.2,53223.2,11193.6,124.09,0.0000
7,entry,38,2,0,2.955,1.444,0.0559,0.0003,1973.9,53825.8,11549.6,146.40,0.0303
7,entry,39,3,0,4.438,1.743,0.0521,0.0017,3482.7,51641.2,10391.3,122.73,0.0531
7,entry,40,1,0,1.756,1.980,0.0531,0.0004,2878.7,54429.7,10953.4,118.56,0.0000
7,entry,41,2,0,2.454,1.576,0.0540,0.0001,2017.8,53891.2,11499.4,139.02,0.0158
7,entry,42,2,0,3.467,1.906,0.1551,0.0020,2303.2,54857.0,11689.4,132.98,0.0271
7,entry,43,2,0,2.176,0.251,0.0423,0.0018,3151.6,48797.9,10278.3,123.74,0.0364
7,entry,44,2,0,1.448,2.181,0.0017,0.0005,2556.8,50925.7,10405.6,121.88,0.0000
7,entry,45,2,0,3.095,1.698,0.0747,0.0044,2678.5,54247.2,11121.4,125.87,0.0881
7,entry,46,2,0,1.540,3.833,0.0463,0.0004,2661.4,52562.3,10757.1,128.59,0.0000
7,entry,47,2,0,1.570,4.929,0.0191,0.0003,2805.7,48235.3,9917.1,126.86,0.0000
