seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
7,entry,1,2,0,3.795,1.448,0.0578,0.0060,2292.4,51184.1,11201.7,128.29,0.1037
7,entry,2,3,0,1.356,20.819,0.0332,0.0003,2852.1,51324.3,10253.8,121.69,0.0000
7,entry,3,3,0,3.696,12.892,0.0667,0.0011,2203.6,55109.8,11726.1,137.61,0.0543
7,entry,4,3,0,4.058,5.847,0.0373,0.0087,2596.5,53034.2,10917.2,131.17,0.1286
7,entry,5,3,0,1.671,14.175,0.0443,0.0016,3427.1,50168.2,9910.5,117.40,0.0238
7,entry,6,5,0,7.137,13.124,0.1852,0.1852,2196.0,53663.8,11317.6,126.21,0.0000
7,entry,7,2,0,2.395,2.692,0.0177,0.0004,3206.9,51555.6,10198.7,114.46,0.0000
7,entry,8,3,0,4.741,5.686,0.0957,0.0021,1943.2,60872.7,13982.7,148.17,0.1088
7,entry,9,3,0,3.356,19.812,0.0420,0.0079,2649.5,49198.7,10547.1,130.73,0.1168
7,entry,10,2,0,2.784,7.325,0.0363,0.0049,3071.1,53589.7,11042.6,117.01,0.1030
7,entry,11,3,0,3.615,14.433,0.0518,0.0037,2576.6,53729.8,11302.0,130.76,0.0664
7,entry,12,2,0,3.079,3.999,0.0548,0.0052,3015.5,51865.3,10356.8,129.26,0.1207
7,entry,13,3,0,4.320,9.727,0.0645,0.0032,4438.3,49811.9,19497.1,95.07,0.0492
7,entry,14,2,0,3.284,7.192,0.0397,0.0025,2767.0,51310.5,10751.6,121.66,0.0412
7,entry,15,2,0,3.536,4.222,0.0344,0.0016,2977.6,51797.8,10347.7,131.30,0.0339
7,entry,16,2,0,2.639,6.871,0.0254,0.0037,2134.1,51313.9,11079.8,132.17,0.0632
7,entry,17,2,0,2.360,3.733,0.0150,0.0003,2858.7,49385.4,10301.8,122.38,0.0000
7,entry,18,3,0,5.964,10.803,0.0597,0.0053,2291.5,50979.2,10673.0,141.49,0.0944
7,entry,19,2,0,2.969,3.518,0.0707,0.0040,2558.8,53349.7,11161.9,130.74,0.0783
7,entry,20,2,0,3.922,3.053,0.0431,0.0006,3607.4,51946.4,10480.5,112.11,0.0179
7,entry,21,3,0,5.054,2.935,0.1033,0.0042,1971.5,57795.3,12815.4,131.63,0.0892
7,entry,22,3,0,4.075,6.540,0.0310,0.0039,2351.5,51344.6,11148.4,139.55,0.0792
7,entry,23,3,0,4.011,4.762,0.0984,0.0039,2819.5,51320.6,10613.3,129.64,0.0560
7,entry,24,5,0,13.894,35.692,0.0955,0.0955,1863.8,58916.8,13281.0,130.26,0.0000
