seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,3,0,4.529,8.422,0.0559,0.0058,2241.0,51383.6,11153.1,136.56,0.0965
42,entry,2,2,0,2.847,0.922,0.0511,0.0041,3360.8,50884.1,10030.4,113.03,0.0788
42,entry,3,2,0,2.264,5.132,0.0613,0.0024,2763.6,54384.5,11134.0,127.63,0.0402
42,entry,4,3,0,3.496,11.838,0.0444,0.0037,1998.0,54542.4,11591.7,127.28,0.0707
42,entry,5,3,0,6.000,5.787,0.0314,0.0026,3116.0,50405.4,10109.9,131.46,0.0809
42,entry,6,2,0,2.582,2.256,0.0710,0.0005,3489.2,51625.4,11669.8,112.36,0.0126
42,entry,7,2,0,3.106,1.481,0.0767,0.0002,2822.2,51954.4,10479.2,122.78,0.0000
42,entry,8,2,0,2.977,0.571,0.0244,0.0009,2424.1,50064.8,10444.7,133.54,0.0207
42,entry,9,3,0,4.447,5.575,0.1125,0.0044,2992.9,50621.9,10726.3,121.32,0.2165
42,entry,10,2,0,3.923,2.520,0.0580,0.0029,2408.7,52132.1,10443.3,140.14,0.0617
42,entry,11,1,0,1.719,1.628,0.0080,0.0003,3044.8,54220.4,10942.2,112.09,0.0000
42,entry,12,3,0,2.788,13.085,0.0676,0.0034,2968.5,51880.0,10330.3,125.01,0.0569
42,entry,13,2,0,3.577,2.467,0.0570,0.0040,3097.3,48524.7,11529.9,108.74,0.1167
42,entry,14,2,0,2.726,5.815,0.0341,0.0004,2618.0,54073.1,11219.4,129.50,0.0000
42,entry,15,2,0,3.050,8.166,0.0150,0.0003,3040.1,51347.8,10177.8,123.18,0.0000
42,entry,16,2,0,1.688,4.708,0.0944,0.0037,2339.9,54940.6,11520.5,135.34,0.0671
42,entry,17,2,0,2.810,2.573,0.0339,0.0002,2321.2,54920.9,11560.1,128.56,0.0000
42,entry,18,2,0,3.738,2.811,0.1105,0.0104,3754.1,46875.3,12136.9,108.99,0.2181
42,entry,19,2,0,1.890,4.272,0.0359,0.0003,2703.3,54321.9,11173.3,125.33,0.0000
42,entry,20,2,0,2.729,0.996,0.0345,0.0002,2613.6,52357.6,10712.4,114.65,0.0000
42,entry,21,2,0,2.605,1.919,0.0712,0.0004,1895.2,59137.5,13929.4,137.83,0.0000
42,entry,22,2,0,2.887,7.537,0.0880,0.0038,2794.2,52498.1,10652.6,130.01,0.0637
42,entry,23,2,0,2.210,0.798,0.0269,0.0019,3029.8,50603.3,9988.8,113.00,0.0282
42,entry,24,3,0,1.947,12.914,0.0430,0.0002,3295.3,53803.0,11470.6,112.59,0.0000
42,entry,25,3,0,2.764,14.037,0.0645,0.0024,2340.3,53336.1,11152.6,133.40,0.1025
42,entry,26,2,0,3.141,1.535,0.0770,0.0069,2205.6,48718.7,10557.5,139.32,0.1444
42,entry,27,3,0,3.954,9.771,0.1692,0.0099,2565.9,52744.8,11053.9,128.72,0.1479
42,entry,28,2,0,3.249,5.637,0.0541,0.0012,2370.9,52852.2,10990.4,127.93,0.0275
42,entry,29,3,0,5.114,3.229,0.0909,0.0041,2221.7,55037.7,11703.1,142.65,0.0803
42,entry,30,2,0,2.191,2.479,0.0401,0.0015,2802.2,49796.2,10869.5,127.65,0.0308
42,entry,31,3,0,4.405,6.543,0.0374,0.0015,3061.5,54646.9,11056.0,119.35,0.0312
42,entry,32,2,0,1.833,7.745,0.0485,0.0002,1815.8,58393.6,12858.5,139.92,0.0000
42,entry,33,3,0,2.086,19.628,0.0236,0.0010,3924.5,50838.5,10939.1,110.01,0.0104
42,entry,34,3,0,4.333,2.477,0.0329,0.0004,2302.9,52684.7,11505.4,125.94,0.0000
42,entry,35,2,0,3.336,1.412,0.0748,0.0078,1768.4,58459.3,12763.6,143.95,0.1124
42,entry,36,2,0,3.310,1.409,0.0487,0.0080,3238.9,51584.4,10575.1,117.76,0.1191
42,entry,37,2,0,2.900,0.944,0.0734,0.0044,2878.9,54148.7,10989.4,120.39,0.0804
42,entry,38,2,0,2.771,7.445,0.0431,0.0030,2119.7,53657.5,11382.0,142.67,0.0548
42,entry,39,3,0,4.607,7.600,0.0577,0.0019,4350.0,50835.6,16837.4,101.74,0.0930
42,entry,40,2,0,3.552,5.538,0.1001,0.0045,2620.2,51970.6,11118.9,133.06,0.0810
42,entry,41,2,0,2.518,2.208,0.0433,0.0026,2755.8,52496.2,10634.0,120.82,0.0416
42,entry,42,2,0,3.217,5.092,0.0570,0.0102,2212.6,54752.7,11830.8,133.20,0.1321
42,entry,43,2,0,3.888,3.059,0.0649,0.0017,3040.9,49392.6,10130.3,132.09,0.0622
42,entry,44,2,0,2.834,1.951,0.0431,0.0020,2350.9,52961.8,10872.9,133.39,0.0308
42,entry,45,3,0,5.987,8.357,0.1156,0.0045,2514.8,54541.6,11331.5,132.10,0.1112
42,entry,46,2,0,2.967,2.674,0.0643,0.0003,1968.0,53916.3,11549.9,131.76,0.0000
42,entry,47,2,0,3.286,3.461,0.0873,0.0002,3677.1,48774.8,12968.9,108.53,0.0000
42,entry,48,2,0,2.620,0.365,0.0416,0.0018,2311.8,52284.3,11364.4,135.91,0.0244
42,entry,49,2,0,1.815,3.518,0.0306,0.0002,3563.0,52307.7,11124.2,106.91,0.0000
42,entry,50,3,0,2.810,10.324,0.0548,0.0050,2452.0,52841.9,11415.2,127.08,0.0818
42,entry,51,2,0,2.731,1.744,0.0650,0.0033,2774.0,48484.8,10576.2,137.57,0.0667
42,entry,52,3,0,4.148,8.471,0.0399,0.0010,3217.7,53892.0,10934.2,118.55,0.0257
42,entry,53,3,0,4.255,1.756,0.0814,0.0030,1779.9,58766.3,13083.8,142.30,0.0597
42,entry,54,2,0,3.156,4.384,0.0699,0.0016,2342.4,52991.6,11012.7,125.24,0.0514
42,entry,55,2,0,2.215,7.096,0.0655,0.0022,1893.5,57685.4,13488.6,138.29,0.0388
42,entry,56,1,0,1.326,0.989,0.0211,0.0003,2707.6,50379.2,10748.4,127.61,0.0000
42,entry,57,3,0,4.162,0.465,0.0494,0.0002,2404.7,52197.2,10760.9,129.98,0.0556
