seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,3,0,4.222,3.508,0.0497,0.0015,2123.2,52734.0,11551.5,131.20,0.0322
42,entry,2,2,0,2.258,0.620,0.0426,0.0006,3341.8,50768.5,10030.4,110.48,0.0000
42,entry,3,2,0,1.964,2.539,0.0172,0.0004,2731.2,54576.1,11195.7,126.09,0.0000
42,entry,4,3,0,4.815,2.654,0.0520,0.0009,2179.5,51828.2,11292.3,133.22,0.0191
42,entry,5,2,0,2.904,5.923,0.3186,0.0056,3124.1,50405.4,10109.9,129.98,0.1667
42,entry,6,2,0,2.378,7.750,0.0466,0.0006,3446.6,52661.9,11669.8,111.06,0.0056
42,entry,7,2,0,2.185,1.264,0.0608,0.0010,2793.4,51950.2,10478.2,123.14,0.0137
42,entry,8,3,0,4.849,1.451,0.0864,0.0088,2416.2,55113.1,11634.6,128.56,0.1566
42,entry,9,2,0,2.280,0.600,0.0630,0.0036,3212.3,48325.0,10076.2,119.62,0.0621
42,entry,10,2,0,3.014,1.329,0.0528,0.0005,2490.7,52164.3,10505.7,137.89,0.0337
42,entry,11,2,0,2.744,1.462,0.0477,0.0050,3113.1,53891.6,10942.2,115.78,0.0892
42,entry,12,2,0,2.954,1.086,0.0436,0.0020,3029.1,52275.8,10461.4,123.98,0.0281
42,entry,13,1,0,1.545,1.186,0.0469,0.0003,2982.7,51195.7,11298.5,111.28,0.0000
42,entry,14,2,0,2.148,2.002,0.0352,0.0010,2531.8,55180.9,11222.9,127.10,0.0150
42,entry,15,2,0,2.724,2.145,0.0791,0.0071,3035.4,51322.8,10164.4,126.12,0.1017
42,entry,16,2,0,3.018,1.247,0.0875,0.0089,2423.8,54845.8,11498.9,135.72,0.1465
42,entry,17,2,0,3.817,2.594,0.0495,0.0036,2401.3,54891.6,11587.3,128.86,0.0648
42,entry,18,2,0,2.641,0.640,0.0583,0.0041,3759.5,46730.3,12045.8,106.56,0.0791
42,entry,19,2,0,2.154,2.145,0.0427,0.0003,2703.7,53898.4,11139.5,126.35,0.0026
42,entry,20,1,0,1.591,0.626,0.0603,0.0004,2626.4,53149.5,10840.6,117.15,0.0000
42,entry,21,2,0,3.820,5.941,0.0331,0.0017,1963.6,56553.2,13194.4,140.97,0.0255
42,entry,22,2,0,2.843,2.704,0.0412,0.0004,2729.4,54322.8,11081.6,129.62,0.0000
42,entry,23,3,0,4.399,1.126,0.0661,0.0043,3152.2,51640.4,10481.4,118.13,0.1008
42,entry,24,3,0,1.553,12.303,0.0955,0.0003,3309.0,53799.6,11470.6,115.67,0.0000
42,entry,25,1,0,1.774,2.120,0.1237,0.0006,2265.9,54268.8,11539.8,135.53,0.0182
42,entry,26,3,0,4.434,3.305,0.0424,0.0010,2242.1,48962.6,10580.1,138.26,0.0730
42,entry,27,3,0,5.308,3.664,0.0542,0.0016,2685.6,54518.1,11410.3,129.42,0.0345
42,entry,28,2,0,3.213,0.734,0.0319,0.0025,2415.2,52352.6,10850.5,129.69,0.0497
42,entry,29,2,0,3.052,1.382,0.0621,0.0011,2116.1,55154.5,11737.2,137.93,0.0240
42,entry,30,2,0,3.269,0.753,0.2134,0.0021,2615.8,52504.3,11118.9,131.80,0.0411
42,entry,31,2,0,2.943,1.739,0.0674,0.0020,3126.4,50719.0,9861.2,124.40,0.0379
42,entry,32,3,0,4.981,2.045,0.1300,0.0110,1838.1,57417.3,12675.6,142.96,0.2275
42,entry,33,2,0,2.455,1.942,0.0697,0.0004,3845.2,51098.4,10939.1,111.80,0.0000
42,entry,34,2,0,2.920,2.237,0.0441,0.0003,2282.7,54868.4,11817.0,127.62,0.0068
42,entry,35,2,0,2.034,6.046,0.0483,0.0004,1990.5,54325.4,12462.2,141.69,0.0000
42,entry,36,2,0,2.063,2.936,0.0439,0.0007,3146.4,51558.8,10168.0,116.09,0.0097
42,entry,37,2,0,2.272,4.215,0.0774,0.0019,2882.7,54551.4,11011.6,117.64,0.0277
42,entry,38,5,0,18.152,100.866,0.0989,0.0989,2047.2,53532.8,11341.1,133.43,0.0000
42,entry,39,2,0,3.885,1.324,0.0697,0.0068,4165.1,53362.2,16671.9,101.68,0.1211
42,entry,40,2,0,3.871,1.745,0.1181,0.0033,2533.8,53083.3,11238.7,132.05,0.0626
42,entry,41,2,0,1.868,3.541,0.0477,0.0004,2724.2,54665.7,11057.6,120.89,0.0010
42,entry,42,5,4,0.000,0.000,0.0000,0.0882,2208.6,54783.8,11587.8,126.77,0.0000
42,entry,43,2,0,3.965,0.998,0.0888,0.0042,3040.1,48992.7,10163.1,132.97,0.0770
42,entry,44,1,0,1.723,1.880,0.0214,0.0006,2311.2,54227.4,11262.8,129.78,0.0058
42,entry,45,2,0,3.417,3.188,0.0482,0.0056,2565.1,52862.4,11365.8,128.01,0.0904
42,entry,46,1,0,1.255,1.261,0.0275,0.0003,1922.1,53929.2,11552.7,128.47,0.0000
42,entry,47,2,0,3.280,3.027,0.1057,0.0110,3548.5,53868.0,12394.0,109.21,0.1805
42,entry,48,1,0,1.921,1.160,0.0335,0.0003,2270.9,51857.0,11297.4,135.24,0.0000
42,entry,49,2,0,2.974,0.840,0.0605,0.0002,3555.6,52221.2,11124.2,108.45,0.0000
42,entry,50,3,0,4.498,1.995,0.0882,0.0053,2387.3,53371.9,11577.7,132.63,0.1054
42,entry,51,1,0,1.996,0.284,0.0580,0.0013,2558.6,49106.7,10663.6,135.10,0.0168
42,entry,52,3,0,4.406,2.447,0.0548,0.0003,3284.4,51471.0,10488.4,118.22,0.0620
42,entry,53,2,0,2.386,3.118,0.0579,0.0017,1771.5,58717.6,13079.2,140.38,0.0280
42,entry,54,2,0,2.348,2.963,0.0665,0.0003,2355.2,52822.6,10951.0,123.49,0.0000
42,entry,55,3,0,5.771,3.583,0.0625,0.0011,1862.1,59538.9,13472.7,142.19,0.0348
42,entry,56,1,0,1.163,0.988,0.0208,0.0003,2704.3,50379.2,10748.4,127.65,0.0000
42,entry,57,2,0,2.806,2.149,0.0516,0.0021,2515.2,51908.0,10686.3,125.49,0.0438
42,entry,58,2,0,3.413,0.281,0.1397,0.0054,2481.5,54684.8,11370.5,140.61,0.0986
42,entry,59,3,0,4.140,1.703,0.0162,0.0004,3125.1,51672.0,10679.4,122.54,0.0000
42,entry,60,2,0,3.069,4.157,0.0718,0.0062,3053.9,48611.8,9798.2,123.83,0.1375
