seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
99,entry,1,2,0,3.783,2.480,0.0671,0.0078,2631.8,55381.0,11245.9,130.32,0.2472
99,entry,2,2,0,3.040,5.989,0.0202,0.0007,3163.7,54810.1,10909.2,116.46,0.0144
99,entry,3,2,0,2.511,6.748,0.0789,0.0027,2325.1,54806.7,11507.8,136.06,0.0648
99,entry,4,2,0,3.471,10.189,0.0224,0.0026,3205.6,50800.6,10602.7,118.78,0.0396
99,entry,5,2,0,1.799,5.750,0.0406,0.0005,2404.0,51249.3,10853.7,128.12,0.0074
99,entry,6,2,0,1.949,5.049,0.0932,0.0011,2084.1,55264.0,11633.5,131.67,0.0146
99,entry,7,2,0,2.310,2.899,0.0410,0.0004,2262.4,52159.3,10808.9,128.50,0.0000
99,entry,8,2,0,3.221,2.029,0.0976,0.0150,2865.7,50927.5,9911.3,125.10,0.1947
99,entry,9,3,0,5.251,1.221,0.1181,0.0049,2526.6,51588.8,11090.8,128.46,0.2081
99,entry,10,2,0,2.705,0.653,0.0386,0.0027,3381.6,50515.6,10837.1,107.89,0.0536
99,entry,11,3,0,4.935,4.516,0.0469,0.0031,2908.5,53842.6,10901.4,129.71,0.0652
99,entry,12,3,0,2.330,12.862,0.0507,0.0037,3414.4,51855.8,10080.6,122.18,0.0704
99,entry,13,2,0,2.617,3.423,0.0231,0.0004,4426.9,46947.0,22248.0,92.57,0.0044
99,entry,14,3,0,4.437,3.591,0.2338,0.0174,1787.4,65644.9,16730.4,140.73,0.3357
99,entry,15,2,0,2.942,0.673,0.0561,0.0038,2443.2,53294.2,11022.3,119.98,0.0681
99,entry,16,2,0,3.404,2.812,0.0747,0.0064,2982.6,54473.8,11070.9,123.05,0.1372
99,entry,17,2,0,2.839,6.300,0.0563,0.0002,2484.1,50644.1,11163.9,133.16,0.0108
99,entry,18,2,0,3.633,5.035,0.0835,0.0008,2934.0,51327.3,10417.6,123.01,0.0222
99,entry,19,3,0,5.147,1.108,0.0613,0.0066,2164.5,53104.5,11610.7,141.08,0.1117
99,entry,20,3,0,5.362,3.107,0.0534,0.0045,3261.1,51595.8,10150.2,118.91,0.0922
99,entry,21,2,0,3.028,5.566,0.0540,0.0018,1732.1,66302.2,16073.2,148.42,0.0317
99,entry,22,2,0,2.560,2.754,0.0570,0.0009,1918.6,63061.4,14806.2,141.55,0.0090
99,entry,23,2,0,3.015,4.289,0.0408,0.0054,2810.0,52321.3,10472.0,123.04,0.0909
99,entry,24,3,0,3.206,10.119,0.0792,0.0025,2528.1,54464.1,11301.8,135.35,0.0890
99,entry,25,1,0,1.538,1.121,0.0135,0.0002,2597.0,52642.1,10797.4,116.49,0.0000
99,entry,26,2,0,1.522,4.540,0.0179,0.0005,3467.1,49661.2,9876.8,110.54,0.0000
99,entry,27,3,0,3.575,19.165,0.1290,0.0149,3285.1,54204.1,10566.6,118.08,0.1977
99,entry,28,2,0,3.297,1.637,0.0502,0.0006,2309.3,55047.3,11388.8,126.78,0.0115
99,entry,29,2,0,3.118,8.055,0.0480,0.0015,2382.2,55163.0,11603.5,133.59,0.0440
99,entry,30,3,0,5.052,2.658,0.1517,0.0059,3150.5,53353.1,10942.0,118.04,0.2693
99,entry,31,3,0,5.445,1.666,0.0854,0.0066,3210.1,50725.8,9904.9,121.40,0.1376
99,entry,32,2,0,2.477,4.287,0.0732,0.0003,1660.8,65897.8,16331.8,150.37,0.0000
99,entry,33,3,0,4.812,1.390,0.0716,0.0098,2488.5,53035.3,10961.1,133.76,0.1249
99,entry,34,2,0,3.942,3.506,0.0482,0.0050,3389.9,46976.8,12739.3,108.67,0.0806
99,entry,35,2,0,3.879,5.242,0.0354,0.0017,3224.2,52448.0,10733.3,121.03,0.0375
99,entry,36,3,0,2.685,20.397,0.0735,0.0022,3419.2,49900.0,9651.3,116.25,0.1050
99,entry,37,2,0,3.503,3.587,0.0478,0.0090,1871.0,61018.1,14027.2,148.11,0.1179
99,entry,38,2,0,1.490,2.842,0.0294,0.0003,2166.6,53510.0,11410.2,130.20,0.0000
99,entry,39,2,0,3.994,4.819,0.0575,0.0034,2703.3,48844.1,10123.0,131.30,0.0473
99,entry,40,3,0,3.909,11.173,0.0716,0.0003,3107.7,54256.9,10768.8,117.41,0.0000
99,entry,41,3,0,5.019,6.980,0.1047,0.0070,3026.7,52134.8,10387.5,120.99,0.1005
99,entry,42,2,0,3.492,1.218,0.0486,0.0010,2386.3,52977.7,10608.8,123.17,0.0236
99,entry,43,2,0,2.151,5.409,0.0209,0.0002,2642.9,52817.3,10896.6,123.41,0.0000
99,entry,44,2,0,2.311,2.441,0.0572,0.0020,1953.5,54704.0,11688.2,138.36,0.0332
99,entry,45,2,0,1.903,2.044,0.0125,0.0004,2543.1,54205.7,11161.9,122.13,0.0000
99,entry,46,2,0,1.640,2.565,0.0487,0.0004,2238.1,53882.1,11482.5,133.11,0.0000
99,entry,47,2,0,3.265,6.641,0.0635,0.0081,3372.6,49975.8,10801.2,114.14,0.1235
99,entry,48,2,0,1.925,5.828,0.0426,0.0004,3001.3,54588.8,11048.3,117.08,0.0112
99,entry,49,3,0,4.104,1.599,0.0474,0.0024,2575.7,52118.2,10670.2,132.45,0.0631
99,entry,50,2,0,2.866,1.861,0.0577,0.0027,2573.1,52104.3,10392.0,124.25,0.0526
99,entry,51,3,0,4.022,6.709,0.0168,0.0007,2894.7,55394.4,10946.0,115.91,0.0085
99,entry,52,2,0,3.260,7.058,0.0437,0.0118,2094.3,51965.5,10799.5,125.39,0.1718
99,entry,53,3,0,5.666,7.731,0.0813,0.0129,2130.0,53808.7,11630.1,143.29,0.1999
99,entry,54,2,0,2.951,3.296,0.0412,0.0006,2656.3,52807.4,10777.0,130.99,0.0000
99,entry,55,3,0,5.109,3.259,0.0381,0.0048,2393.6,54969.2,11504.7,135.90,0.0765
99,entry,56,2,0,1.584,4.931,0.0076,0.0003,2701.2,54155.6,11011.2,123.77,0.0000
99,entry,57,3,0,4.092,5.421,0.0338,0.0002,3322.6,50997.8,9920.1,118.98,0.0448
99,entry,58,2,0,2.260,6.604,0.0265,0.0002,2622.4,55280.4,11392.9,132.82,0.0000
99,entry,59,3,0,5.429,13.736,0.0457,0.0005,3533.7,51442.6,9950.5,121.30,0.0118
99,entry,60,2,0,2.326,3.082,0.0512,0.0006,2565.6,49979.1,10240.6,125.78,0.0162
