seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,5.062,3800.866,0.0504,0.0056,1950.7,57735.3,12788.0,140.95,0.0888
42,entry,2,5,0,10.902,1767.362,0.0590,0.0590,2737.5,51452.1,10242.7,118.34,0.0000
42,entry,3,5,0,16.046,1850.861,0.0607,0.0607,2580.3,51625.5,10351.5,126.50,0.0000
42,entry,4,5,0,4.000,3426.273,0.0363,0.0012,1912.4,59691.2,13476.4,135.06,0.0197
42,entry,5,5,0,21.161,2048.109,0.0688,0.0688,2034.0,54453.4,11770.8,137.37,0.0000
42,entry,6,5,0,6.312,1583.960,0.0539,0.0539,3283.6,51724.1,11669.0,108.48,0.0000
42,entry,7,5,0,6.569,2876.805,0.0543,0.0543,2032.2,53971.6,11394.6,129.30,0.0000
42,entry,8,5,0,24.327,1413.763,0.0610,0.0610,2264.2,51208.2,10568.4,129.47,0.0000
42,entry,9,5,0,4.488,2687.797,0.0422,0.0020,2545.7,53084.0,10776.7,129.07,0.0528
42,entry,10,5,0,17.552,2206.976,0.0667,0.0667,1887.8,61562.8,14318.0,141.47,0.0000
42,entry,11,5,0,11.319,1068.153,0.0583,0.0583,2986.9,51401.0,10942.5,111.91,0.0000
42,entry,12,5,0,4.460,3347.730,0.0484,0.0032,2399.1,52893.7,10823.1,137.08,0.0600
42,entry,13,5,0,25.797,1012.627,0.0609,0.0609,2373.8,49305.4,10319.7,121.43,0.0000
42,entry,14,5,0,6.075,2869.203,0.0523,0.0523,2158.0,53509.1,11120.0,129.79,0.0000
42,entry,15,5,0,10.049,2882.280,0.0556,0.0556,2066.4,52883.5,11025.8,133.85,0.0000
42,entry,16,5,0,22.135,1637.292,0.0624,0.0624,2217.5,51791.4,10629.0,132.04,0.0000
42,entry,17,5,0,3.845,3867.044,0.0379,0.0006,1967.5,56853.9,12429.4,140.75,0.0131
42,entry,18,5,0,18.518,921.989,0.0642,0.0642,3054.8,49355.2,10372.4,114.82,0.0000
42,entry,19,5,0,10.972,2686.738,0.0590,0.0590,2355.9,52040.4,10602.0,128.48,0.0000
42,entry,20,5,0,5.619,2882.319,0.0524,0.0074,2039.7,53257.6,11163.9,133.67,0.1323
42,entry,21,5,0,24.261,2017.775,0.0705,0.0705,2125.1,57771.2,13294.5,131.83,0.0000
42,entry,22,5,0,4.716,3368.341,0.0483,0.0035,2171.4,53480.5,11108.3,143.06,0.0766
42,entry,23,5,0,11.953,1964.142,0.0604,0.0604,2292.6,51988.7,10651.0,123.24,0.0000
42,entry,24,5,0,13.556,1006.301,0.0611,0.0611,3249.9,49996.9,11471.1,109.45,0.0000
42,entry,25,5,0,4.254,3531.259,0.0384,0.0009,1934.5,58688.0,13083.4,143.00,0.0376
42,entry,26,5,0,23.424,2331.218,0.0637,0.0637,1998.2,62602.7,15397.5,137.66,0.0000
42,entry,27,5,0,7.267,2616.813,0.0542,0.0542,2192.4,53172.1,11006.2,125.78,0.0000
42,entry,28,5,0,7.788,2743.409,0.0547,0.0547,1921.7,58834.4,13193.2,130.07,0.0000
42,entry,29,5,0,23.290,1407.986,0.0589,0.0589,2186.0,52994.7,11162.4,134.10,0.0000
42,entry,30,5,0,3.994,3397.841,0.0421,0.0004,2010.4,54808.6,11649.1,141.55,0.0229
42,entry,31,5,0,18.975,2151.442,0.0640,0.0640,2067.5,51603.3,10713.8,134.10,0.0000
42,entry,32,5,0,13.794,2872.648,0.0599,0.0599,1919.1,59523.3,13478.6,136.00,0.0000
42,entry,33,5,0,4.165,2228.822,0.0478,0.0032,3445.1,51661.3,10934.7,123.25,0.0718
42,entry,34,5,0,25.145,1563.034,0.0574,0.0574,2110.8,60158.4,14547.5,132.22,0.0000
42,entry,35,5,0,5.929,3847.789,0.0505,0.0054,1863.4,62163.1,14410.3,150.33,0.1216
42,entry,36,5,0,9.932,2126.104,0.0587,0.0587,2422.3,52072.0,10585.6,122.95,0.0000
42,entry,37,5,0,15.684,1081.415,0.0583,0.0583,2832.1,50776.1,10542.2,113.95,0.0000
42,entry,38,5,0,4.245,4042.816,0.0401,0.0005,1882.2,61388.2,14094.0,149.47,0.0295
42,entry,39,5,0,4.309,98.032,0.0535,0.0014,3946.3,48465.2,13695.4,114.98,0.0300
42,entry,40,5,0,9.399,2810.418,0.0565,0.0565,2136.1,52874.3,10955.2,129.94,0.0000
42,entry,41,5,0,6.032,2624.244,0.0529,0.0529,2025.4,53789.5,11308.0,128.33,0.0000
42,entry,42,5,0,24.616,1680.165,0.0707,0.0707,2241.7,50628.6,10615.3,132.09,0.0000
42,entry,43,5,0,4.675,2742.012,0.0457,0.0037,2288.2,54006.8,11185.6,145.03,0.0801
42,entry,44,5,0,14.063,2561.190,0.0619,0.0619,1893.0,60488.6,13858.1,137.68,0.0000
42,entry,45,5,0,15.276,2007.635,0.0640,0.0640,2265.7,51717.2,10568.9,125.75,0.0000
42,entry,46,5,0,3.744,2545.078,0.0447,0.0007,1846.0,62552.8,14511.4,137.12,0.0196
42,entry,47,5,0,22.617,550.623,0.0620,0.0620,3015.9,48938.7,10082.1,117.11,0.0000
42,entry,48,5,0,7.352,3718.565,0.0518,0.0518,1959.5,57127.5,12567.8,133.54,0.0000
42,entry,49,5,0,7.176,1759.769,0.0524,0.0524,3054.7,51324.1,11127.7,111.38,0.0000
42,entry,50,5,0,22.547,1379.742,0.0653,0.0653,2272.3,51363.6,10506.5,124.98,0.0000
42,entry,51,5,0,4.764,3903.824,0.0370,0.0005,1973.4,56858.6,12401.4,148.36,0.0342
42,entry,52,5,0,17.875,1265.675,0.0670,0.0670,2380.4,51369.2,10445.7,124.93,0.0000
42,entry,53,5,0,11.701,3024.705,0.0567,0.0567,1893.1,60621.4,13890.1,133.32,0.0000
42,entry,54,5,0,4.988,3021.026,0.0498,0.0056,1973.5,56808.8,12416.5,138.13,0.0937
42,entry,55,5,0,24.315,2270.525,0.0685,0.0685,2141.2,56545.0,12845.1,131.84,0.0000
42,entry,56,5,0,4.862,3335.305,0.0482,0.0038,2025.1,54287.1,11466.8,142.39,0.0609
42,entry,57,5,0,10.586,2437.091,0.0582,0.0582,1929.3,58655.3,13156.1,129.99,0.0000
42,entry,58,5,0,17.761,1559.139,0.0666,0.0666,2028.6,53251.7,11093.2,139.72,0.0000
42,entry,59,5,0,3.976,3052.037,0.0400,0.0014,2418.3,53283.0,10909.1,134.53,0.0306
42,entry,60,5,0,21.937,2151.694,0.0637,0.0637,2140.4,53201.1,11526.9,134.90,0.0000
42,entry,61,5,0,9.186,3181.604,0.0555,0.0555,1958.7,57410.4,12683.4,130.26,0.0000
42,entry,62,5,0,6.830,3105.409,0.0511,0.0511,2007.1,55090.5,11787.6,133.84,0.0000
42,entry,63,5,0,24.067,1097.628,0.0676,0.0676,2659.6,50331.9,10059.6,119.59,0.0000
42,entry,64,5,0,3.914,3201.738,0.0434,0.0002,1979.5,56285.5,12193.1,136.65,0.0267
42,entry,65,5,0,15.487,1651.190,0.0646,0.0646,2315.2,51538.8,10526.9,124.72,0.0000
42,entry,66,5,0,11.263,1618.311,0.0587,0.0587,2916.0,52152.2,10290.0,122.64,0.0000
42,entry,67,5,0,4.461,2807.746,0.0496,0.0033,2181.2,53256.9,11047.0,134.62,0.0728
42,entry,68,5,0,21.102,976.409,0.0696,0.0696,2546.8,49973.8,10381.6,125.80,0.0000
42,entry,69,5,0,5.936,2744.443,0.0516,0.0061,1993.7,55650.6,11940.7,145.53,0.1276
42,entry,70,5,0,9.791,2982.522,0.0582,0.0582,2043.8,53020.6,11145.9,129.15,0.0000
42,entry,71,5,0,18.678,1289.163,0.0650,0.0650,2594.0,51237.2,10222.0,121.55,0.0000
42,entry,72,5,0,4.766,4246.193,0.0347,0.0015,1933.2,59039.6,13230.2,147.62,0.0484
42,entry,73,5,0,17.446,352.080,0.0678,0.0678,2926.7,49508.8,11984.3,108.77,0.0000
