seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,18.820,1009.869,0.0671,0.0671,2046.9,56582.7,12872.7,131.08,0.0000
42,entry,2,5,0,8.717,2388.497,0.0553,0.0553,2739.1,54697.7,11105.6,118.42,0.0000
42,entry,3,5,0,7.794,2153.695,0.0532,0.0532,2546.3,55152.2,11354.8,126.73,0.0000
42,entry,4,5,0,25.957,734.022,0.0674,0.0674,2203.7,56197.4,13081.5,127.97,0.0000
42,entry,5,5,0,4.591,2934.175,0.0468,0.0048,1915.9,58754.5,12983.3,149.62,0.0801
42,entry,6,5,0,14.244,1794.511,0.0601,0.0601,3310.9,53421.5,11645.9,108.72,0.0000
42,entry,7,5,0,17.152,1263.377,0.0665,0.0665,2043.6,54891.7,11816.9,130.90,0.0000
42,entry,8,5,0,4.537,3221.463,0.0448,0.0028,2080.1,55829.6,11850.0,139.39,0.0583
42,entry,9,5,0,24.570,657.925,0.0698,0.0698,2873.6,50336.9,10531.6,120.24,0.0000
42,entry,10,5,0,5.588,2502.760,0.0518,0.0015,1783.3,65350.0,15492.5,155.02,0.1010
42,entry,11,5,0,8.570,2398.108,0.0567,0.0567,2982.1,54335.2,10927.8,111.91,0.0000
42,entry,12,5,0,20.606,1369.765,0.0634,0.0634,2466.9,53032.4,11231.4,127.86,0.0000
42,entry,13,5,0,4.105,3759.484,0.0401,0.0009,2163.8,55554.0,11710.7,130.10,0.0365
42,entry,14,5,0,16.943,797.386,0.0653,0.0653,2227.6,54237.3,11488.6,130.83,0.0000
42,entry,15,5,0,10.903,1712.919,0.0613,0.0613,2051.4,55644.9,11802.6,134.57,0.0000
42,entry,16,5,0,4.965,2560.776,0.0516,0.0052,2118.9,55859.9,11838.6,144.27,0.0871
42,entry,17,5,0,24.752,1321.236,0.0612,0.0612,2207.5,53691.6,12121.2,133.72,0.0000
42,entry,18,5,0,5.388,4106.245,0.0524,0.0054,3044.7,54314.6,10826.9,125.66,0.1089
42,entry,19,5,0,10.104,2918.146,0.0565,0.0565,2361.1,55074.4,11448.2,128.83,0.0000
42,entry,20,5,0,17.575,1549.364,0.0643,0.0643,2078.3,54733.5,11611.6,122.22,0.0000
42,entry,21,5,0,4.013,3196.316,0.0423,0.0008,1826.7,63183.3,14652.2,142.37,0.0200
42,entry,22,5,0,19.501,1280.628,0.0707,0.0707,2302.8,51942.3,11065.2,133.04,0.0000
