seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,5,0,5.936,21415.058,0.0506,0.0074,2159.3,52260.6,12862.1,140.55,0.1223
42,entry,2,5,0,13.931,14878.178,0.0619,0.0619,2278.9,42189.5,9703.0,125.45,0.0000
42,entry,3,5,0,17.226,16835.323,0.0621,0.0621,2254.1,44105.7,9785.1,131.90,0.0000
42,entry,4,5,0,3.630,18974.977,0.0358,0.0009,2103.3,54199.2,13213.7,133.72,0.0112
42,entry,5,5,0,21.754,18124.655,0.0672,0.0672,2142.3,49871.1,12353.8,136.06,0.0000
42,entry,6,5,0,9.866,11385.979,0.0550,0.0550,2934.1,42152.3,11668.8,114.47,0.0000
42,entry,7,5,0,6.969,16988.430,0.0525,0.0525,2171.6,49037.7,11130.3,128.31,0.0000
42,entry,8,5,0,24.203,16277.469,0.0693,0.0693,2194.9,47176.4,11401.3,128.74,0.0000
42,entry,9,5,0,4.171,14985.538,0.0404,0.0011,2235.8,44634.8,9428.3,134.49,0.0269
42,entry,10,5,0,19.336,17088.450,0.0713,0.0713,2023.3,55853.2,14091.1,139.79,0.0000
42,entry,11,5,0,16.706,12015.024,0.0677,0.0677,2520.2,42037.8,10942.5,118.67,0.0000
42,entry,12,5,0,4.760,18638.404,0.0475,0.0010,2230.7,45422.9,9818.3,142.63,0.0240
42,entry,13,5,0,25.544,15377.312,0.0739,0.0739,2215.4,50588.2,12645.0,120.93,0.0000
42,entry,14,5,0,7.200,16386.230,0.0525,0.0525,2180.2,48052.3,10513.3,130.09,0.0000
42,entry,15,5,0,11.679,17588.663,0.0563,0.0563,2194.5,47606.6,10843.3,132.85,0.0000
42,entry,16,5,0,21.517,16146.109,0.0698,0.0698,2175.8,47458.2,11406.5,131.62,0.0000
42,entry,17,5,0,3.459,20301.780,0.0399,0.0009,2148.9,51754.8,12369.7,139.19,0.0193
42,entry,18,5,0,21.008,15467.414,0.0704,0.0704,2328.5,39738.0,10372.0,126.63,0.0000
42,entry,19,5,0,14.108,18483.347,0.0616,0.0616,2249.2,45674.7,10519.3,131.25,0.0000
42,entry,20,5,0,6.811,17252.241,0.0522,0.0522,2198.1,48283.2,11322.2,120.85,0.0000
42,entry,21,5,0,24.620,18824.617,0.0670,0.0670,2108.8,54684.1,14619.0,130.54,0.0000
42,entry,22,5,0,5.162,18554.197,0.0486,0.0066,2191.8,47418.4,10410.4,144.11,0.1114
42,entry,23,5,0,14.233,16007.874,0.0626,0.0626,2233.4,45867.7,10609.7,125.26,0.0000
42,entry,24,5,0,17.800,13336.832,0.0689,0.0689,2585.8,41418.3,11471.4,118.72,0.0000
42,entry,25,5,0,3.815,18101.489,0.0411,0.0027,2098.5,53225.1,12279.4,142.02,0.0440
42,entry,26,5,0,24.105,19587.596,0.0658,0.0658,2034.2,58742.0,16106.9,136.16,0.0000
42,entry,27,5,0,9.430,15670.209,0.0563,0.0563,2199.2,47379.1,10545.5,126.52,0.0000
42,entry,28,5,0,10.020,16610.352,0.0558,0.0558,2085.5,53219.5,12754.6,129.03,0.0000
42,entry,29,5,0,22.801,14629.664,0.0677,0.0677,2150.0,48795.5,11573.1,132.38,0.0000
42,entry,30,5,0,3.635,17625.961,0.0423,0.0007,2152.8,49822.7,11028.4,140.00,0.0204
