seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,2,0,2.459,6.282,0.0183,0.0010,4452.6,35424.5,3167.7,56.32,0.0112
42,aero_offset,2,2,0,2.299,4.249,0.0198,0.0002,4521.0,37887.0,3694.4,53.08,0.0000
42,aero_offset,3,3,0,2.393,15.419,0.0348,0.0034,4594.9,36791.0,2944.7,56.36,0.0565
42,aero_offset,4,2,0,2.626,5.543,0.0265,0.0018,4440.0,35624.8,4028.2,56.46,0.0250
42,aero_offset,5,3,0,1.848,24.897,0.0311,0.0004,4649.5,37264.4,3187.0,55.87,0.0000
42,aero_offset,6,3,0,2.728,18.074,0.0503,0.0052,4488.2,36106.6,2918.6,54.82,0.0865
42,aero_offset,7,3,0,3.699,23.754,0.0553,0.0030,4578.0,36482.0,3761.4,59.24,0.0730
42,aero_offset,8,5,0,5.122,88.495,0.0676,0.0044,4531.4,37246.5,3471.5,60.17,0.1493
42,aero_offset,9,3,0,3.497,23.004,0.0488,0.0002,4531.2,35495.5,3283.2,57.99,0.0039
42,aero_offset,10,3,0,1.403,23.902,0.0135,0.0003,4670.8,38108.6,3769.1,55.67,0.0000
42,aero_offset,11,3,0,3.052,22.996,0.0597,0.0016,4386.6,37573.1,3397.4,54.82,0.0523
42,aero_offset,12,5,0,7.065,1.351,0.0641,0.0641,4580.2,35651.7,2881.3,49.52,0.0000
42,aero_offset,13,5,0,6.190,126.322,0.0682,0.0682,4299.2,37672.8,4005.0,47.25,0.0000
42,aero_offset,14,3,0,3.546,16.377,0.0543,0.0016,4575.8,35775.1,3027.7,59.05,0.0582
42,aero_offset,15,3,0,2.363,21.113,0.0608,0.0037,4571.5,36796.6,3082.9,58.98,0.0754
42,aero_offset,16,2,0,2.323,0.902,0.0608,0.0049,4566.5,37585.5,3217.5,57.11,0.1099
42,aero_offset,17,3,0,2.538,10.288,0.0408,0.0042,4628.8,35601.2,3548.4,57.96,0.0825
42,aero_offset,18,5,0,8.230,192.620,0.0694,0.0694,4500.9,37066.4,3069.1,46.82,0.0000
42,aero_offset,19,3,0,5.042,16.025,0.0495,0.0069,4651.4,37854.4,3488.5,59.29,0.1204
42,aero_offset,20,5,0,9.237,8.591,0.0611,0.0611,4340.0,36602.2,4169.7,47.43,0.0000
42,aero_offset,21,5,0,4.597,64.452,0.0674,0.0067,4397.8,37501.7,3648.6,61.86,0.1149
42,aero_offset,22,3,0,2.238,16.420,0.0533,0.0058,4642.0,35200.1,2953.0,58.31,0.0975
