seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,5.327,88.166,0.0031,0.0003,4484.3,35207.4,3186.6,54.86,0.0000
42,aero_offset,2,5,0,6.026,157.905,0.0035,0.0035,4536.8,37956.6,3676.3,47.22,0.0000
42,aero_offset,3,5,0,7.081,122.475,0.0011,0.0011,4608.0,37056.5,2965.5,49.40,0.0000
42,aero_offset,4,5,0,5.373,160.504,0.0038,0.0004,4483.8,35108.1,4027.7,58.11,0.0000
42,aero_offset,5,5,0,6.461,198.741,0.0007,0.0007,4660.0,37562.6,3226.5,51.25,0.0000
42,aero_offset,6,5,0,7.663,100.910,0.0029,0.0029,4542.2,35485.8,2913.3,45.99,0.0000
42,aero_offset,7,5,0,5.778,96.069,0.0032,0.0004,4641.1,36180.2,3753.3,57.64,0.0000
42,aero_offset,8,5,0,4.770,370.422,0.0014,0.0002,4503.6,37752.0,3492.5,56.86,0.0000
42,aero_offset,9,5,0,6.195,81.547,0.0031,0.0031,4640.7,34625.2,3283.8,47.95,0.0000
42,aero_offset,10,5,0,7.809,260.305,0.0044,0.0044,4720.5,38171.9,3768.7,52.65,0.0000
42,aero_offset,11,5,0,5.203,154.268,0.0053,0.0004,4419.8,37585.0,3382.9,52.66,0.0000
42,aero_offset,12,5,0,6.012,62.967,0.0035,0.0035,4560.4,35811.0,2909.6,49.66,0.0000
42,aero_offset,13,5,0,5.639,481.956,0.0013,0.0002,4279.9,38043.8,4006.4,56.46,0.0000
42,aero_offset,14,5,0,7.700,57.473,0.0022,0.0022,4599.3,35880.0,3014.2,49.91,0.0000
42,aero_offset,15,5,0,8.288,68.966,0.0029,0.0029,4603.0,36900.9,3085.1,50.27,0.0000
42,aero_offset,16,5,0,6.885,207.769,0.0020,0.0020,4572.8,37552.3,3215.9,49.82,0.0000
42,aero_offset,17,5,0,4.240,134.126,0.0036,0.0004,4699.2,35051.7,3549.7,56.64,0.0000
42,aero_offset,18,5,0,7.608,597.008,0.0016,0.0016,4509.3,37122.6,3066.2,46.94,0.0000
42,aero_offset,19,5,0,11.977,234.335,0.0035,0.0035,4671.5,37817.1,3490.5,49.05,0.0000
42,aero_offset,20,5,0,6.194,122.852,0.0043,0.0043,4385.2,36229.7,4158.9,47.60,0.0000
42,aero_offset,21,5,0,4.618,365.247,0.0012,0.0002,4379.2,37875.0,3650.3,58.59,0.0000
42,aero_offset,22,5,0,6.865,69.101,0.0009,0.0009,4697.9,35107.4,2910.8,50.31,0.0000
42,aero_offset,23,5,0,7.383,161.901,0.0051,0.0051,4387.9,37411.2,3317.4,48.36,0.0000
42,aero_offset,24,5,0,8.173,304.483,0.0045,0.0045,4399.6,36807.5,2910.4,46.01,0.0000
42,aero_offset,25,5,0,6.461,69.595,0.0024,0.0024,4649.8,35061.5,3095.6,51.54,0.0000
42,aero_offset,26,5,0,5.976,299.610,0.0011,0.0002,4379.1,37306.9,3177.2,62.85,0.0000
42,aero_offset,27,5,0,7.345,124.311,0.0019,0.0019,4601.6,36084.6,3627.4,48.78,0.0000
42,aero_offset,28,5,0,6.207,43.959,0.0016,0.0016,4363.2,37108.3,3286.6,50.80,0.0000
42,aero_offset,29,5,0,4.419,123.445,0.0019,0.0002,4491.5,37171.9,3042.7,58.24,0.0000
42,aero_offset,30,5,0,7.544,81.117,0.0028,0.0028,4717.6,35122.9,3146.2,50.29,0.0000
42,aero_offset,31,5,0,8.283,470.629,0.0038,0.0038,4545.1,37143.1,3039.3,50.40,0.0000
42,aero_offset,32,5,0,9.917,215.564,0.0035,0.0035,4605.4,38045.3,3753.4,51.43,0.0000
42,aero_offset,33,5,0,7.824,94.981,0.0026,0.0026,4881.1,35494.8,3126.2,46.71,0.0000
42,aero_offset,34,5,0,4.336,131.150,0.0009,0.0003,4301.0,37670.5,3551.0,57.68,0.0000
42,aero_offset,35,5,0,5.897,77.874,0.0013,0.0004,4699.5,35283.4,3239.7,61.02,0.0000
42,aero_offset,36,5,0,7.568,136.726,0.0049,0.0049,4501.7,37444.5,3474.6,48.19,0.0000
42,aero_offset,37,5,0,6.415,230.458,0.0022,0.0022,4420.3,37589.0,3508.6,46.51,0.0000
42,aero_offset,38,5,0,5.281,168.220,0.0032,0.0004,4820.2,35465.7,3255.9,59.19,0.0000
42,aero_offset,39,5,0,8.892,420.133,0.0023,0.0023,4619.0,37268.6,3061.4,44.41,0.0000
42,aero_offset,40,5,0,7.812,149.463,0.0013,0.0013,4452.5,36227.3,2942.8,50.00,0.0000
42,aero_offset,41,5,0,8.015,86.698,0.0025,0.0025,4596.8,36190.6,3660.1,49.14,0.0000
42,aero_offset,42,5,0,6.477,430.013,0.0025,0.0025,4492.6,37307.0,3133.1,49.94,0.0000
42,aero_offset,43,5,0,7.123,22.424,0.0025,0.0025,4828.1,36116.3,2983.9,50.57,0.0000
42,aero_offset,44,5,0,6.262,148.025,0.0049,0.0049,4545.0,36381.5,3090.2,52.81,0.0000
42,aero_offset,45,5,0,8.867,374.389,0.0027,0.0027,4473.0,37606.6,3385.0,48.68,0.0000
42,aero_offset,46,5,0,7.483,82.043,0.0052,0.0052,4479.9,35968.8,4160.6,50.28,0.0000
42,aero_offset,47,5,0,5.953,216.907,0.0017,0.0003,4523.8,38140.3,3841.4,56.29,0.0000
42,aero_offset,48,5,0,5.564,110.909,0.0013,0.0003,4524.8,36890.5,3151.0,60.50,0.0000
42,aero_offset,49,5,0,8.083,88.877,0.0025,0.0025,4523.3,37020.3,3549.5,45.95,0.0000
