seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,3,0,2.674,13.668,0.0517,0.0039,4450.9,35441.4,3169.2,58.76,0.0828
42,aero_offset,2,2,0,2.374,9.840,0.0425,0.0027,4516.6,37939.3,3694.8,52.37,0.0496
42,aero_offset,3,3,0,2.019,17.803,0.0291,0.0010,4588.2,36785.9,2945.7,54.90,0.0201
42,aero_offset,4,3,0,2.732,21.587,0.0598,0.0020,4444.3,35501.8,4028.4,58.68,0.0659
42,aero_offset,5,3,0,1.860,25.354,0.0225,0.0003,4647.7,37277.0,3187.4,55.43,0.0000
42,aero_offset,6,5,0,4.339,28.245,0.0563,0.0008,4474.2,36103.3,2919.1,56.50,0.0935
42,aero_offset,7,3,0,2.827,19.030,0.0532,0.0023,4563.5,36533.2,3762.4,58.54,0.0441
42,aero_offset,8,5,0,5.197,90.439,0.0672,0.0121,4531.7,37248.1,3471.3,60.36,0.1529
42,aero_offset,9,3,0,3.899,24.890,0.0485,0.0006,4528.4,35527.7,3283.3,58.76,0.0151
42,aero_offset,10,3,0,2.161,25.509,0.0240,0.0027,4704.5,38096.7,3769.1,57.92,0.0539
42,aero_offset,11,3,0,2.553,21.433,0.0606,0.0050,4389.0,37583.8,3397.6,54.71,0.0940
42,aero_offset,12,5,0,8.686,3.531,0.0627,0.0627,4569.9,35637.6,2881.0,49.52,0.0000
42,aero_offset,13,5,0,6.021,132.196,0.0686,0.0686,4298.3,37658.3,4005.1,47.25,0.0000
42,aero_offset,14,3,0,4.633,17.482,0.0514,0.0042,4586.7,35795.8,3030.3,61.29,0.0860
42,aero_offset,15,3,0,2.701,20.558,0.0592,0.0050,4581.3,36717.6,3082.9,59.44,0.0852
42,aero_offset,16,2,0,2.284,1.367,0.0597,0.0057,4562.3,37605.0,3217.6,56.61,0.0884
42,aero_offset,17,2,0,2.190,8.382,0.0256,0.0012,4628.5,35550.7,3548.4,56.49,0.0173
42,aero_offset,18,5,0,8.273,192.919,0.0694,0.0694,4500.7,37065.5,3069.0,46.82,0.0000
42,aero_offset,19,3,0,5.350,15.370,0.0480,0.0088,4650.2,37854.4,3488.5,58.83,0.1375
42,aero_offset,20,5,0,9.804,8.809,0.0606,0.0606,4337.9,36644.9,4168.9,47.42,0.0000
42,aero_offset,21,5,0,4.435,66.522,0.0669,0.0041,4393.6,37498.9,3649.4,61.75,0.1071
42,aero_offset,22,3,0,2.728,21.361,0.0539,0.0036,4643.2,35322.6,2956.8,58.69,0.0796
42,aero_offset,23,5,1,144.007,403.492,0.0460,0.0460,0.0,37513.9,3308.4,108.54,0.0358
42,aero_offset,24,5,0,3.012,55.109,0.0621,0.0024,4389.1,36804.1,2905.7,54.77,0.0607
42,aero_offset,25,2,0,2.911,6.400,0.0471,0.0038,4576.5,35545.8,3111.1,60.32,0.0697
42,aero_offset,26,5,0,2.135,38.928,0.0218,0.0002,4351.6,37332.8,3171.3,58.82,0.0064
42,aero_offset,27,3,0,1.788,11.772,0.0346,0.0003,4537.8,36269.1,3628.9,54.73,0.0000
42,aero_offset,28,2,0,2.808,1.198,0.0369,0.0011,4380.4,36621.8,3285.7,59.09,0.0192
42,aero_offset,29,3,0,3.011,17.890,0.0522,0.0016,4468.5,37218.2,3045.3,59.66,0.0353
42,aero_offset,30,2,0,2.861,6.344,0.0458,0.0002,4613.9,35818.9,3176.4,59.17,0.0000
42,aero_offset,31,5,0,6.160,96.974,0.0661,0.0661,4515.0,37173.9,3038.2,50.32,0.0000
42,aero_offset,32,3,0,2.089,13.805,0.0214,0.0005,4570.1,38114.7,3751.5,56.40,0.0129
42,aero_offset,33,3,0,2.244,12.569,0.0159,0.0002,4806.9,35850.4,3136.1,52.53,0.0000
42,aero_offset,34,3,0,2.399,21.337,0.0262,0.0008,4332.6,36855.1,3522.5,58.58,0.0093
42,aero_offset,35,2,0,3.560,7.030,0.0644,0.0039,4645.3,35797.7,3243.2,64.01,0.0817
42,aero_offset,36,3,0,3.920,19.363,0.0510,0.0025,4449.1,37595.5,3478.4,59.34,0.0493
42,aero_offset,37,5,0,1.853,47.519,0.0364,0.0003,4396.1,37144.2,3509.6,51.01,0.0000
42,aero_offset,38,3,0,1.914,20.109,0.0580,0.0034,4781.1,35805.3,3239.3,60.26,0.0541
42,aero_offset,39,5,0,3.834,71.970,0.0614,0.0010,4570.4,37289.6,3061.9,55.03,0.0197
42,aero_offset,40,2,0,3.798,7.658,0.0646,0.0036,4440.1,36223.5,2961.7,59.89,0.0822
42,aero_offset,41,3,0,4.025,17.982,0.0519,0.0034,4570.3,35968.5,3670.8,60.38,0.0630
