seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,3,0,2.632,12.108,0.0497,0.0038,4449.3,35434.3,3168.6,58.82,0.0846
42,aero_offset,2,3,0,2.479,12.388,0.0605,0.0050,4529.3,37931.1,3695.0,54.73,0.1288
42,aero_offset,3,3,0,2.227,16.065,0.0353,0.0032,4593.2,36774.8,2945.4,55.61,0.0617
42,aero_offset,4,2,0,2.617,5.865,0.0264,0.0016,4438.2,35579.8,4028.5,56.42,0.0205
42,aero_offset,5,5,0,2.006,26.692,0.0198,0.0002,4651.1,37229.1,3186.9,56.00,0.0000
42,aero_offset,6,3,0,3.466,19.388,0.0509,0.0032,4466.0,36107.5,2918.4,55.79,0.0535
42,aero_offset,7,3,0,3.473,23.604,0.0516,0.0012,4559.9,36506.2,3761.8,59.55,0.0254
42,aero_offset,8,5,0,5.283,92.532,0.0673,0.0117,4536.0,37221.5,3471.3,60.53,0.1612
42,aero_offset,9,3,0,3.675,23.775,0.0466,0.0014,4522.6,35506.6,3283.3,58.11,0.0290
42,aero_offset,10,5,0,2.137,26.338,0.0269,0.0022,4706.0,38088.4,3769.0,58.27,0.0437
42,aero_offset,11,3,0,2.701,22.405,0.0603,0.0020,4387.6,37553.6,3397.7,55.00,0.0690
42,aero_offset,12,5,0,8.601,3.584,0.0632,0.0632,4575.1,35614.3,2881.7,49.51,0.0000
42,aero_offset,13,5,0,6.369,133.074,0.0685,0.0685,4302.4,37620.5,4005.0,47.25,0.0000
42,aero_offset,14,3,0,4.659,17.294,0.0545,0.0025,4572.7,35772.2,3028.5,61.09,0.1138
42,aero_offset,15,3,0,2.635,20.102,0.0562,0.0047,4578.4,36747.5,3082.7,59.19,0.0828
42,aero_offset,16,2,0,2.328,1.196,0.0593,0.0057,4563.0,37589.1,3217.6,56.55,0.0893
42,aero_offset,17,2,0,2.326,9.186,0.0288,0.0024,4635.5,35502.4,3548.6,56.88,0.0391
42,aero_offset,18,5,0,8.370,193.304,0.0695,0.0695,4501.1,37067.9,3068.9,46.82,0.0000
42,aero_offset,19,3,0,5.283,15.599,0.0484,0.0078,4650.5,37855.8,3488.7,59.18,0.1334
42,aero_offset,20,5,0,9.635,9.110,0.0606,0.0606,4336.6,36648.1,4170.4,47.42,0.0000
42,aero_offset,21,5,0,4.983,66.719,0.0667,0.0103,4395.7,37467.7,3648.3,62.05,0.1360
42,aero_offset,22,3,0,2.583,20.171,0.0542,0.0038,4649.2,35240.3,2954.0,58.87,0.0820
42,aero_offset,23,3,0,2.513,15.022,0.0605,0.0069,4380.4,37534.1,3307.8,57.03,0.1023
42,aero_offset,24,5,0,3.273,55.305,0.0607,0.0020,4386.2,36784.5,2904.7,55.57,0.0507
42,aero_offset,25,3,0,3.510,14.007,0.0520,0.0006,4570.0,35547.5,3109.0,62.45,0.0324
42,aero_offset,26,5,0,2.015,38.725,0.0200,0.0003,4348.0,37329.4,3170.5,58.80,0.0000
42,aero_offset,27,3,0,2.221,10.601,0.0283,0.0012,4549.2,36274.9,3628.9,55.17,0.0138
42,aero_offset,28,2,0,2.850,1.701,0.0396,0.0015,4374.4,36633.2,3285.9,59.45,0.0203
42,aero_offset,29,3,0,3.589,20.690,0.0547,0.0018,4481.2,37129.2,3044.0,60.09,0.0452
42,aero_offset,30,2,0,2.860,5.804,0.0454,0.0002,4626.4,35730.1,3174.3,59.15,0.0000
42,aero_offset,31,5,0,6.423,96.623,0.0662,0.0662,4515.6,37172.7,3038.3,50.31,0.0000
42,aero_offset,32,3,0,1.663,12.959,0.0106,0.0003,4550.3,38115.2,3751.5,55.80,0.0000
42,aero_offset,33,3,0,1.910,11.894,0.0248,0.0004,4792.4,35837.6,3135.3,49.73,0.0000
42,aero_offset,34,3,0,2.312,19.235,0.0180,0.0003,4326.2,36865.3,3523.0,58.08,0.0000
42,aero_offset,35,2,0,3.088,6.307,0.0641,0.0015,4641.0,35758.2,3243.1,63.21,0.0570
42,aero_offset,36,3,0,3.709,19.553,0.0509,0.0004,4451.3,37549.1,3478.0,58.76,0.0099
42,aero_offset,37,5,0,1.752,46.852,0.0486,0.0003,4400.9,37151.9,3509.4,52.34,0.0000
42,aero_offset,38,3,0,1.442,16.809,0.0548,0.0004,4767.0,35787.9,3237.2,59.70,0.0000
42,aero_offset,39,5,0,3.732,72.756,0.0617,0.0010,4571.9,37288.0,3061.9,54.97,0.0219
42,aero_offset,40,2,0,3.742,7.586,0.0645,0.0038,4439.6,36225.6,2961.5,59.78,0.0802
42,aero_offset,41,3,0,2.647,21.443,0.0552,0.0002,4563.0,35955.1,3670.5,58.47,0.0028
42,aero_offset,42,5,0,4.892,94.106,0.0667,0.0073,4499.2,37201.5,3129.8,61.24,0.1375
42,aero_offset,43,2,0,2.467,2.707,0.0419,0.0007,4797.2,35756.5,2969.3,58.57,0.0079
42,aero_offset,44,3,0,3.114,11.012,0.0503,0.0003,4488.4,36546.2,3055.5,62.32,0.0062
42,aero_offset,45,5,0,2.251,74.822,0.0611,0.0012,4438.7,37630.0,3384.9,57.04,0.0302
42,aero_offset,46,3,0,3.410,13.890,0.0517,0.0010,4349.2,37030.4,4151.3,61.03,0.0288
42,aero_offset,47,3,0,2.063,18.024,0.0264,0.0010,4497.4,38017.3,3843.7,51.90,0.0165
42,aero_offset,48,3,0,3.990,24.535,0.0564,0.0020,4565.8,36136.5,3166.8,61.40,0.0715
42,aero_offset,49,2,0,2.821,7.765,0.0472,0.0039,4485.0,36945.8,3559.8,54.09,0.0703
42,aero_offset,50,5,0,5.302,71.856,0.0672,0.0123,4378.8,37528.2,3425.4,59.86,0.1603
42,aero_offset,51,3,0,3.000,18.097,0.0432,0.0003,4697.8,35046.8,2866.9,61.16,0.0024
42,aero_offset,52,2,0,2.799,1.981,0.0578,0.0039,4566.8,38133.5,3831.5,56.78,0.0833
42,aero_offset,53,2,0,3.333,0.466,0.0440,0.0013,4425.4,37769.7,3432.8,60.51,0.0410
42,aero_offset,54,2,0,3.068,6.762,0.0432,0.0015,4403.2,35572.3,3479.8,58.64,0.0198
42,aero_offset,55,5,0,11.076,200.461,0.0708,0.0708,4428.3,37309.8,3641.4,50.67,0.0000
42,aero_offset,56,3,0,4.262,5.160,0.0449,0.0039,4681.6,35374.0,3186.0,59.90,0.0704
42,aero_offset,57,3,0,4.181,23.883,0.0557,0.0031,4370.4,36564.9,3276.0,61.85,0.0723
42,aero_offset,58,3,0,3.556,16.520,0.0514,0.0021,4769.5,37711.8,3340.3,60.92,0.0425
42,aero_offset,59,2,0,2.878,5.513,0.0454,0.0025,4720.7,35618.7,3419.2,57.68,0.0389
42,aero_offset,60,5,0,2.293,52.295,0.0666,0.0087,4490.3,36994.5,3032.6,59.78,0.1165
