seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,3,0,2.952,12.154,0.0498,0.0030,4447.8,35429.0,3168.3,59.78,0.0593
42,aero_offset,2,3,0,2.426,13.103,0.0612,0.0060,4528.6,37936.2,3695.0,55.03,0.1326
42,aero_offset,3,3,0,2.344,15.287,0.0387,0.0055,4596.2,36763.9,2944.8,56.11,0.0878
42,aero_offset,4,2,0,2.748,5.921,0.0282,0.0023,4439.3,35599.4,4028.3,56.60,0.0346
42,aero_offset,5,5,0,1.991,27.372,0.0111,0.0003,4658.3,37221.0,3186.3,56.17,0.0000
42,aero_offset,6,3,0,3.833,19.044,0.0503,0.0032,4467.4,36095.3,2918.4,56.39,0.0733
42,aero_offset,7,3,0,3.801,23.907,0.0557,0.0037,4575.3,36519.2,3762.0,59.30,0.0776
42,aero_offset,8,5,0,5.352,93.985,0.0670,0.0136,4535.9,37202.5,3471.0,60.61,0.1638
42,aero_offset,9,3,0,2.234,19.851,0.0495,0.0003,4522.8,35485.4,3283.4,55.83,0.0000
42,aero_offset,10,5,0,2.005,26.513,0.0260,0.0006,4700.1,38092.1,3769.0,57.93,0.0135
42,aero_offset,11,3,0,2.812,22.714,0.0599,0.0009,4386.1,37552.2,3397.8,55.24,0.0548
42,aero_offset,12,5,0,7.162,0.587,0.0646,0.0646,4583.2,35582.4,2882.0,49.52,0.0000
42,aero_offset,13,5,0,6.519,135.070,0.0685,0.0685,4304.8,37590.0,4004.9,47.25,0.0000
42,aero_offset,14,3,0,2.666,20.340,0.0574,0.0016,4566.0,35749.7,3027.6,58.77,0.0220
42,aero_offset,15,3,0,2.747,20.447,0.0574,0.0041,4574.0,36804.1,3082.7,58.81,0.0819
42,aero_offset,16,2,0,2.135,1.421,0.0608,0.0057,4561.5,37585.3,3217.6,57.18,0.0995
42,aero_offset,17,2,0,2.269,8.753,0.0264,0.0013,4639.5,35487.1,3548.6,56.82,0.0160
42,aero_offset,18,5,0,8.494,193.443,0.0694,0.0694,4501.5,37065.0,3068.9,46.82,0.0000
42,aero_offset,19,3,0,4.069,17.555,0.0525,0.0031,4652.6,37857.0,3488.7,59.63,0.0760
42,aero_offset,20,5,0,8.677,8.641,0.0615,0.0615,4335.5,36639.2,4170.5,47.43,0.0000
42,aero_offset,21,5,0,4.799,71.271,0.0668,0.0094,4400.1,37422.0,3647.5,61.95,0.1273
42,aero_offset,22,3,0,2.608,19.959,0.0541,0.0040,4648.7,35235.4,2954.9,58.82,0.0815
42,aero_offset,23,3,0,3.071,17.670,0.0590,0.0029,4378.8,37541.7,3307.4,58.17,0.0752
42,aero_offset,24,5,0,3.321,55.379,0.0607,0.0021,4385.5,36775.5,2904.2,55.52,0.0475
42,aero_offset,25,3,0,4.223,16.973,0.0519,0.0024,4570.8,35532.1,3107.5,63.45,0.0500
42,aero_offset,26,5,0,1.944,39.412,0.0171,0.0003,4350.1,37324.7,3170.5,58.74,0.0000
42,aero_offset,27,2,0,2.287,10.085,0.0299,0.0020,4553.9,36234.9,3629.0,55.32,0.0261
42,aero_offset,28,2,0,2.981,3.390,0.0415,0.0017,4374.3,36647.4,3285.9,59.76,0.0243
42,aero_offset,29,3,0,3.431,19.904,0.0541,0.0020,4479.8,37113.6,3043.4,60.30,0.0483
42,aero_offset,30,2,0,2.934,6.102,0.0456,0.0003,4622.9,35745.2,3173.2,59.33,0.0000
42,aero_offset,31,5,0,6.593,96.237,0.0662,0.0662,4516.8,37171.6,3038.4,50.31,0.0000
42,aero_offset,32,5,1,147.855,380.530,0.0665,0.0665,0.0,38114.8,3751.5,114.54,0.0000
42,aero_offset,33,3,0,2.264,11.960,0.0384,0.0016,4806.3,35813.4,3134.8,50.94,0.0255
42,aero_offset,34,3,0,2.268,20.079,0.0185,0.0003,4327.8,36858.1,3522.8,58.07,0.0000
42,aero_offset,35,2,0,3.184,6.480,0.0647,0.0016,4646.8,35722.2,3242.5,63.44,0.0630
42,aero_offset,36,3,0,3.840,19.189,0.0513,0.0019,4455.0,37568.7,3478.6,59.22,0.0386
42,aero_offset,37,5,0,1.565,46.635,0.0486,0.0003,4394.8,37142.0,3509.3,52.36,0.0000
42,aero_offset,38,3,0,1.174,18.062,0.0543,0.0005,4762.5,35791.1,3235.7,59.78,0.0000
42,aero_offset,39,5,0,3.676,72.987,0.0618,0.0010,4571.7,37287.4,3061.8,54.95,0.0226
42,aero_offset,40,3,0,4.147,7.506,0.0647,0.0054,4443.5,36212.2,2961.1,60.87,0.0983
42,aero_offset,41,3,0,2.251,21.109,0.0561,0.0004,4567.7,35927.5,3670.5,57.65,0.0002
42,aero_offset,42,5,0,4.941,96.622,0.0667,0.0104,4497.0,37177.6,3129.8,61.36,0.1390
42,aero_offset,43,3,0,2.722,10.949,0.0501,0.0004,4800.4,35762.9,2969.3,59.37,0.0350
42,aero_offset,44,3,0,3.100,12.313,0.0506,0.0002,4490.4,36529.7,3055.4,62.04,0.0182
42,aero_offset,45,5,0,2.366,74.672,0.0606,0.0006,4438.1,37629.0,3384.9,57.15,0.0231
42,aero_offset,46,3,0,3.504,14.222,0.0521,0.0012,4351.2,37025.8,4150.6,61.23,0.0377
42,aero_offset,47,3,0,2.028,17.738,0.0282,0.0006,4495.9,37943.3,3844.1,52.07,0.0071
42,aero_offset,48,3,0,3.988,24.356,0.0557,0.0012,4564.6,36147.2,3166.8,61.59,0.0561
42,aero_offset,49,2,0,2.809,7.526,0.0470,0.0037,4488.7,36891.9,3559.1,54.67,0.0687
42,aero_offset,50,5,0,5.478,71.940,0.0670,0.0109,4378.5,37518.0,3425.4,60.27,0.1715
42,aero_offset,51,3,0,2.749,17.221,0.0419,0.0004,4695.9,35035.8,2866.0,60.34,0.0000
42,aero_offset,52,2,0,2.413,2.283,0.0609,0.0077,4566.0,38123.3,3831.5,55.97,0.1349
