seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,3,0,2.627,10.476,0.0481,0.0040,4444.3,35438.0,3169.2,58.65,0.0811
42,aero_offset,2,2,0,2.374,9.856,0.0431,0.0027,4516.7,37952.7,3694.8,52.43,0.0502
42,aero_offset,3,3,0,2.079,17.308,0.0309,0.0018,4590.2,36776.8,2945.9,55.11,0.0368
42,aero_offset,4,3,0,2.860,17.774,0.0532,0.0048,4440.4,35548.3,4028.3,58.82,0.0811
42,aero_offset,5,3,0,2.198,24.724,0.0338,0.0020,4660.4,37281.5,3187.8,55.98,0.0283
42,aero_offset,6,3,0,3.183,19.784,0.0502,0.0015,4460.9,36110.8,2919.0,55.11,0.0217
42,aero_offset,7,3,0,3.178,22.732,0.0525,0.0020,4559.5,36531.7,3762.3,59.34,0.0380
42,aero_offset,8,5,0,5.189,90.080,0.0671,0.0122,4531.6,37249.2,3471.3,60.35,0.1549
42,aero_offset,9,3,0,3.669,23.093,0.0472,0.0008,4521.6,35524.2,3283.3,58.09,0.0187
42,aero_offset,10,3,0,2.150,25.547,0.0254,0.0028,4705.0,38100.2,3769.1,58.01,0.0551
42,aero_offset,11,3,0,2.588,21.829,0.0608,0.0049,4389.0,37575.8,3397.7,54.65,0.0878
42,aero_offset,12,5,0,6.385,2.205,0.0643,0.0643,4581.2,35642.3,2881.3,49.52,0.0000
42,aero_offset,13,5,0,6.089,130.983,0.0686,0.0686,4298.8,37664.2,4005.2,47.25,0.0000
42,aero_offset,14,3,0,3.612,11.158,0.0533,0.0038,4568.7,35802.7,3030.1,60.28,0.0769
42,aero_offset,15,3,0,2.608,20.671,0.0596,0.0046,4582.2,36691.9,3082.7,58.86,0.0924
42,aero_offset,16,2,0,2.242,3.116,0.0459,0.0018,4552.0,37603.9,3217.6,54.41,0.0295
42,aero_offset,17,2,0,2.290,8.839,0.0273,0.0019,4635.3,35528.7,3548.4,56.81,0.0275
42,aero_offset,18,5,0,8.282,192.899,0.0694,0.0694,4500.8,37064.8,3069.0,46.82,0.0000
42,aero_offset,19,3,0,5.168,15.558,0.0491,0.0080,4651.2,37854.8,3488.6,58.70,0.1273
42,aero_offset,20,5,0,10.780,11.166,0.0591,0.0591,4337.4,36621.6,4168.9,47.43,0.0000
42,aero_offset,21,5,0,4.455,66.094,0.0671,0.0046,4394.2,37500.8,3649.9,61.77,0.1080
42,aero_offset,22,3,0,2.743,21.964,0.0533,0.0048,4643.2,35310.0,2956.9,59.24,0.0816
42,aero_offset,23,2,0,2.200,8.551,0.0340,0.0014,4360.0,37521.7,3308.4,52.55,0.0202
42,aero_offset,24,5,0,2.951,55.602,0.0627,0.0030,4389.9,36789.8,2905.5,55.39,0.0678
42,aero_offset,25,3,0,3.134,10.117,0.0507,0.0030,4575.4,35563.3,3111.9,60.89,0.0578
42,aero_offset,26,5,0,2.076,38.829,0.0209,0.0003,4349.6,37327.2,3171.4,58.77,0.0000
42,aero_offset,27,3,0,2.068,10.682,0.0340,0.0015,4545.4,36270.5,3628.9,54.98,0.0195
42,aero_offset,28,2,0,2.867,0.425,0.0397,0.0006,4382.5,36627.8,3285.7,59.43,0.0112
42,aero_offset,29,3,0,2.369,12.191,0.0495,0.0010,4477.6,37180.3,3045.4,58.34,0.0333
42,aero_offset,30,2,0,2.768,6.750,0.0456,0.0004,4617.0,35759.2,3176.4,58.68,0.0000
42,aero_offset,31,5,0,6.369,96.018,0.0659,0.0659,4515.4,37174.6,3038.3,50.32,0.0000
42,aero_offset,32,3,0,2.135,13.749,0.0244,0.0013,4573.4,38115.0,3751.5,56.41,0.0285
42,aero_offset,33,3,0,2.081,10.762,0.0303,0.0002,4797.5,35847.7,3135.8,50.27,0.0079
42,aero_offset,34,3,0,2.382,21.264,0.0256,0.0002,4331.9,36865.2,3522.9,58.97,0.0000
42,aero_offset,35,2,0,3.398,7.252,0.0650,0.0033,4644.8,35762.5,3243.0,63.80,0.0754
42,aero_offset,36,3,0,3.886,19.604,0.0506,0.0021,4446.5,37597.4,3478.4,59.19,0.0422
42,aero_offset,37,5,1,140.750,232.388,0.0145,0.0145,0.0,37124.0,3509.6,108.48,0.0703
42,aero_offset,38,3,0,2.330,14.875,0.0517,0.0040,4781.2,35825.5,3239.1,58.76,0.0720
