seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
99,terminal,1,2,0,2.980,0.235,0.0460,0.0111,4396.6,17353.1,796.5,27.48,0.1863
99,terminal,2,2,0,1.964,7.194,0.0049,0.0003,4195.2,18293.0,872.8,23.64,0.0000
99,terminal,3,3,0,3.753,10.461,0.0602,0.0091,4365.4,17528.0,810.3,30.87,0.1624
99,terminal,4,2,0,2.627,6.689,0.0453,0.0049,4203.1,17211.2,783.8,25.76,0.0932
99,terminal,5,2,0,2.153,3.204,0.0362,0.0051,4024.0,19655.9,990.0,27.92,0.0935
99,terminal,6,2,0,2.938,8.593,0.0491,0.0095,4187.0,16533.9,731.6,26.82,0.1268
99,terminal,7,5,0,2.352,39.370,0.0497,0.0036,3877.4,20662.8,1069.4,27.35,0.0673
99,terminal,8,2,0,3.200,4.583,0.0321,0.0038,4072.3,18423.5,881.4,25.34,0.0664
99,terminal,9,3,0,2.922,11.266,0.0596,0.0105,3903.6,19859.4,998.4,28.21,0.1775
99,terminal,10,2,0,2.318,5.623,0.0457,0.0044,4064.1,18160.9,859.2,26.59,0.1041
99,terminal,11,2,0,3.158,5.930,0.0286,0.0084,4457.9,17090.1,777.1,26.31,0.1389
99,terminal,12,2,0,2.645,3.013,0.0482,0.0133,4756.8,16221.5,712.1,27.95,0.1596
99,terminal,13,2,0,2.031,0.769,0.0393,0.0044,4434.1,18866.0,890.6,24.46,0.0775
99,terminal,14,2,0,3.429,3.204,0.0511,0.0077,3714.6,19764.8,993.7,31.09,0.1273
99,terminal,15,2,0,2.470,0.507,0.0420,0.0071,3783.2,22052.7,1172.3,27.45,0.1280
99,terminal,16,2,0,3.297,5.528,0.0508,0.0043,4230.9,19571.5,964.4,26.37,0.1830
99,terminal,17,2,0,2.815,5.143,0.0513,0.0151,4184.2,18682.9,905.5,28.62,0.1755
99,terminal,18,5,0,3.745,38.622,0.0556,0.0017,4083.3,18288.8,871.5,31.99,0.0361
99,terminal,19,2,0,2.715,1.018,0.0374,0.0011,4133.6,18819.5,916.1,26.40,0.0215
99,terminal,20,2,0,2.326,2.487,0.0437,0.0028,4266.2,17484.7,807.1,26.07,0.0551
99,terminal,21,5,0,3.580,28.835,0.0397,0.0125,4181.1,19511.7,978.0,29.74,0.1546
99,terminal,22,2,0,2.760,5.045,0.0109,0.0008,3860.1,21267.7,1138.2,26.63,0.0163
99,terminal,23,2,0,2.386,5.394,0.0260,0.0049,4112.5,18514.6,890.4,26.63,0.0818
99,terminal,24,2,0,2.926,6.919,0.0209,0.0037,4317.6,18476.7,889.7,25.37,0.0627
99,terminal,25,2,0,2.650,2.722,0.0253,0.0028,3970.5,17481.5,803.5,25.97,0.0559
99,terminal,26,2,0,2.134,5.498,0.0459,0.0048,4244.1,18290.1,873.1,26.98,0.0793
99,terminal,27,2,0,2.658,2.669,0.0406,0.0014,4388.7,18328.3,873.0,25.72,0.0316
99,terminal,28,3,0,2.626,11.838,0.0554,0.0085,4048.5,18256.0,867.8,29.82,0.1128
99,terminal,29,3,0,3.574,10.926,0.0612,0.0045,4175.8,18702.2,905.6,28.61,0.2150
99,terminal,30,3,0,2.896,10.284,0.0567,0.0103,4098.5,18089.2,853.4,26.96,0.1785
99,terminal,31,5,0,3.113,43.495,0.0550,0.0018,4219.0,17384.6,796.8,30.77,0.0415
99,terminal,32,2,0,2.835,4.359,0.0059,0.0003,4172.9,19352.9,964.4,26.17,0.0000
99,terminal,33,2,0,2.453,3.040,0.0291,0.0033,4116.8,19544.1,980.0,27.21,0.0632
99,terminal,34,2,0,1.491,6.296,0.0261,0.0004,3904.7,17306.5,789.1,24.02,0.0000
99,terminal,35,2,0,2.981,4.641,0.0529,0.0091,4175.9,19099.4,928.7,25.97,0.1734
99,terminal,36,2,0,1.982,6.418,0.0137,0.0002,4192.6,19869.9,990.8,23.62,0.0096
99,terminal,37,2,0,3.335,1.939,0.0526,0.0093,4488.7,17255.3,790.4,29.41,0.2307
99,terminal,38,2,0,2.796,0.800,0.0487,0.0107,4081.7,18332.9,874.8,27.81,0.1656
99,terminal,39,2,0,2.217,4.213,0.0483,0.0048,4344.4,17198.6,784.7,28.68,0.1047
99,terminal,40,2,0,3.094,5.470,0.0315,0.0101,4385.8,17455.9,805.2,25.92,0.1461
99,terminal,41,2,0,2.483,1.448,0.0383,0.0083,4129.5,18551.3,892.7,26.37,0.1120
99,terminal,42,2,0,3.075,2.668,0.0412,0.0031,3972.4,20432.1,1032.8,25.30,0.0552
99,terminal,43,2,0,2.762,0.930,0.0389,0.0075,4010.1,19965.3,1004.8,26.27,0.1062
99,terminal,44,2,0,2.314,3.657,0.0336,0.0046,4119.4,18249.9,868.1,28.29,0.0991
99,terminal,45,3,0,4.287,10.009,0.0592,0.0045,4100.7,18425.4,881.8,31.53,0.1264
99,terminal,46,2,0,2.379,5.968,0.0073,0.0003,4156.2,19053.2,937.7,25.19,0.0000
99,terminal,47,2,0,1.738,6.382,0.0293,0.0002,4097.6,18288.9,871.7,26.07,0.0000
99,terminal,48,2,0,2.922,9.277,0.0560,0.0119,4115.9,18646.8,895.2,27.56,0.1544
99,terminal,49,2,0,2.482,3.389,0.0371,0.0086,4186.3,18259.7,869.9,27.66,0.1282
99,terminal,50,2,0,3.378,3.468,0.0521,0.0095,4111.0,17916.0,839.9,27.57,0.1981
99,terminal,51,2,0,2.887,6.263,0.0244,0.0053,4043.0,18206.4,863.3,25.13,0.0959
99,terminal,52,2,0,2.293,4.858,0.0346,0.0042,3599.2,21742.1,1160.5,27.63,0.1065
