seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,aero_offset,1,5,0,7.710,16.870,0.0690,0.0690,4302.6,37868.4,3239.5,50.33,0.0000
42,aero_offset,2,2,0,3.333,1.154,0.0669,0.0035,4506.6,38147.2,3641.8,58.44,0.0726
42,aero_offset,3,3,0,4.322,7.583,0.0649,0.0067,4569.4,37163.9,2972.2,61.72,0.1115
42,aero_offset,4,2,0,1.910,2.906,0.0645,0.0016,4222.0,38497.4,4089.9,58.05,0.0382
42,aero_offset,5,5,0,6.385,3.388,0.0664,0.0664,4632.1,37626.9,3190.6,51.10,0.0000
42,aero_offset,6,5,0,6.996,1.206,0.0612,0.0612,4474.7,36355.0,2965.8,45.73,0.0000
42,aero_offset,7,5,0,6.162,6.404,0.0648,0.0648,4483.0,38216.4,3757.6,48.96,0.0000
42,aero_offset,8,2,0,2.949,1.490,0.0658,0.0014,4466.8,37912.7,3422.6,59.76,0.0579
42,aero_offset,9,5,0,6.066,3.990,0.0655,0.0655,4438.4,37244.9,3320.2,47.47,0.0000
42,aero_offset,10,2,0,1.364,4.471,0.0599,0.0003,4716.5,37584.5,3667.8,60.49,0.0000
42,aero_offset,11,3,0,5.783,5.324,0.0605,0.0084,4402.3,37520.0,3324.1,61.22,0.1307
42,aero_offset,12,2,0,2.019,9.073,0.0062,0.0002,4435.7,37218.4,2902.2,54.25,0.0000
42,aero_offset,13,3,0,4.557,8.863,0.0637,0.0052,4232.0,38280.5,3931.5,60.17,0.0910
42,aero_offset,14,2,0,2.401,5.344,0.0624,0.0022,4512.9,36811.6,3106.3,58.96,0.0382
42,aero_offset,15,3,0,2.276,11.211,0.0628,0.0006,4527.1,37615.7,3074.9,59.01,0.0527
42,aero_offset,16,2,0,3.259,8.905,0.0625,0.0032,4522.6,37682.0,3162.7,60.62,0.0690
42,aero_offset,17,3,0,5.634,12.834,0.0682,0.0082,4469.1,38295.4,3615.4,64.44,0.1901
42,aero_offset,18,5,0,13.491,75.512,0.0644,0.0644,4502.1,37250.1,3005.7,46.89,0.0000
42,aero_offset,19,5,0,10.080,32.471,0.0692,0.0692,4631.8,38204.0,3429.3,48.98,0.0000
42,aero_offset,20,5,0,6.812,10.729,0.0684,0.0684,4215.7,38514.0,4157.3,47.37,0.0000
42,aero_offset,21,3,0,2.035,11.534,0.0616,0.0022,4328.3,38091.1,3546.4,59.22,0.0587
42,aero_offset,22,2,0,2.179,6.724,0.0249,0.0004,4488.8,37319.1,3006.3,54.40,0.0000
42,aero_offset,23,2,0,2.061,3.598,0.0208,0.0004,4312.0,37743.5,3274.6,52.83,0.0000
42,aero_offset,24,5,0,7.115,14.640,0.0711,0.0711,4365.2,37143.1,2880.0,45.89,0.0000
42,aero_offset,25,5,0,6.643,3.185,0.0605,0.0605,4459.3,37406.2,3159.0,51.18,0.0000
42,aero_offset,26,2,0,2.466,9.072,0.0647,0.0020,4352.6,37176.8,3133.6,62.96,0.0623
42,aero_offset,27,2,0,2.162,9.656,0.0482,0.0004,4424.6,38080.9,3668.1,54.15,0.0000
42,aero_offset,28,2,0,1.788,6.530,0.0623,0.0027,4352.7,36976.7,3256.7,58.35,0.0410
42,aero_offset,29,2,0,2.833,6.486,0.0647,0.0008,4539.6,36390.8,3040.2,61.00,0.0532
42,aero_offset,30,2,0,2.501,2.778,0.0145,0.0003,4484.4,37733.3,3226.7,55.93,0.0000
42,aero_offset,31,2,0,2.226,9.922,0.0664,0.0080,4508.4,37419.9,2984.1,59.20,0.1105
42,aero_offset,32,3,0,4.088,2.431,0.0676,0.0050,4566.7,38260.7,3673.2,62.56,0.1080
42,aero_offset,33,2,0,2.568,4.258,0.0185,0.0013,4691.9,37818.0,3158.7,52.49,0.0196
42,aero_offset,34,2,0,1.857,6.821,0.0636,0.0025,4344.7,36628.8,3469.6,60.27,0.0480
42,aero_offset,35,2,0,3.074,3.272,0.0632,0.0027,4502.5,37796.1,3297.1,63.21,0.0527
42,aero_offset,36,2,0,2.429,1.602,0.0685,0.0091,4463.5,37918.8,3434.9,57.26,0.1175
42,aero_offset,37,2,0,2.553,10.414,0.0649,0.0012,4371.8,37951.4,3466.0,56.30,0.0454
42,aero_offset,38,3,0,3.578,9.691,0.0604,0.0026,4609.0,38023.0,3323.1,63.72,0.0521
42,aero_offset,39,3,0,5.967,15.938,0.0637,0.0093,4585.9,37403.1,2995.1,60.39,0.1502
42,aero_offset,40,3,0,3.645,10.447,0.0676,0.0012,4380.9,37257.4,2986.3,60.42,0.0763
42,aero_offset,41,5,1,130.376,649.933,0.2277,0.2277,0.0,36848.3,3707.9,105.72,0.0319
42,aero_offset,42,2,0,3.700,3.942,0.0670,0.0055,4460.5,37437.5,3082.3,61.79,0.0944
42,aero_offset,43,3,0,4.046,5.873,0.0651,0.0055,4776.3,36462.0,3060.8,62.24,0.1083
42,aero_offset,44,2,0,2.600,4.512,0.0560,0.0039,4534.1,36486.8,3117.8,58.00,0.0687
42,aero_offset,45,5,0,7.492,16.836,0.0693,0.0693,4439.0,37967.1,3306.6,48.62,0.0000
42,aero_offset,46,3,0,5.637,2.188,0.0613,0.0080,4454.2,36032.1,4179.6,64.99,0.1246
42,aero_offset,47,5,0,6.075,5.919,0.0621,0.0621,4486.0,38249.6,3759.1,46.68,0.0000
42,aero_offset,48,3,0,4.954,9.272,0.0704,0.0073,4472.0,37827.4,3162.0,63.46,0.1543
42,aero_offset,49,2,0,2.521,1.334,0.0691,0.0047,4435.9,38030.4,3528.4,55.66,0.1078
42,aero_offset,50,2,0,3.880,1.549,0.0689,0.0003,4355.4,37723.3,3347.2,59.49,0.0903
42,aero_offset,51,2,0,2.192,6.258,0.0653,0.0028,4567.9,37224.9,2982.8,60.56,0.0699
42,aero_offset,52,3,0,5.937,4.188,0.0580,0.0021,4510.2,38098.2,3747.3,63.52,0.0539
42,aero_offset,53,2,0,2.532,4.887,0.0643,0.0017,4397.6,37913.8,3389.0,61.26,0.0390
42,aero_offset,54,3,0,5.167,9.653,0.0673,0.0089,4266.0,37870.0,3543.6,61.12,0.1571
42,aero_offset,55,5,0,7.694,15.021,0.0651,0.0651,4377.7,38157.6,3576.9,50.72,0.0000
42,aero_offset,56,3,0,4.939,9.070,0.0644,0.0089,4503.4,37887.6,3256.0,62.05,0.1444
42,aero_offset,57,2,0,2.018,6.866,0.0641,0.0031,4373.5,36794.5,3303.6,59.08,0.0709
42,aero_offset,58,2,0,2.190,5.258,0.0629,0.0003,4890.6,36814.0,3281.9,59.87,0.0293
42,aero_offset,59,3,0,2.208,10.770,0.0640,0.0069,4534.0,38208.7,3509.4,57.30,0.1018
42,aero_offset,60,2,0,2.315,3.879,0.0128,0.0003,4422.9,37423.2,3002.9,56.51,0.0000
42,aero_offset,61,3,0,5.665,5.474,0.0698,0.0045,4329.7,37611.3,3142.5,63.19,0.1912
42,aero_offset,62,2,0,1.969,5.997,0.0206,0.0003,4541.3,37921.8,3359.0,54.53,0.0000
42,aero_offset,63,3,0,4.277,7.462,0.0707,0.0044,4363.4,37742.3,3191.3,59.10,0.1136
42,aero_offset,64,3,0,4.772,8.471,0.0675,0.0094,4315.7,37374.3,3241.1,61.36,0.1355
42,aero_offset,65,2,0,2.142,4.556,0.0144,0.0002,4398.2,37857.7,3341.7,54.25,0.0000
42,aero_offset,66,5,0,7.778,5.261,0.0598,0.0598,4792.4,37605.4,3334.3,48.20,0.0000
42,aero_offset,67,2,0,2.510,2.802,0.0455,0.0022,4387.0,38411.3,4129.1,52.27,0.0351
42,aero_offset,68,3,0,2.477,10.804,0.0598,0.0043,4523.1,37854.3,3454.5,55.77,0.1104
42,aero_offset,69,2,0,1.985,5.568,0.0624,0.0011,4507.2,36487.2,3147.7,58.83,0.0143
42,aero_offset,70,5,0,8.515,22.560,0.0700,0.0700,4410.4,37946.8,3260.3,49.37,0.0000
42,aero_offset,71,2,0,2.197,4.326,0.0635,0.0019,4430.0,37146.6,2992.8,57.44,0.0307
42,aero_offset,72,3,0,4.254,4.302,0.0661,0.0063,4542.9,37723.7,3136.3,63.76,0.1154
42,aero_offset,73,5,0,6.713,13.952,0.0698,0.0698,4292.7,38682.3,4352.2,44.75,0.0000
42,aero_offset,74,2,0,2.395,1.531,0.0679,0.0043,4466.6,37664.7,3181.7,60.08,0.1253
42,aero_offset,75,2,0,2.457,4.349,0.0672,0.0057,4537.5,37703.1,3086.4,59.72,0.0902
42,aero_offset,76,2,0,2.432,8.032,0.0676,0.0093,4807.2,37478.5,3305.1,60.79,0.1217
42,aero_offset,77,5,0,8.431,20.833,0.0717,0.0717,4251.1,37424.8,3030.8,49.24,0.0000
42,aero_offset,78,2,0,2.272,4.320,0.0466,0.0008,4755.1,36318.5,3075.1,56.85,0.0095
42,aero_offset,79,5,0,6.421,12.014,0.0701,0.0701,4241.0,37625.4,3187.6,48.03,0.0000
42,aero_offset,80,2,0,2.430,8.288,0.0681,0.0086,4470.5,36212.6,3079.9,59.58,0.1227
42,aero_offset,81,2,0,1.819,1.976,0.0640,0.0032,4402.9,37618.9,3604.3,55.68,0.0520
42,aero_offset,82,3,0,3.786,11.188,0.0627,0.0055,4281.2,37567.2,3237.8,59.37,0.0985
42,aero_offset,83,2,0,2.480,4.868,0.0674,0.0041,4593.2,37981.2,3250.3,57.05,0.1286
42,aero_offset,84,2,0,3.109,5.706,0.0624,0.0018,4497.8,37360.7,3043.5,63.04,0.0366
42,aero_offset,85,2,0,3.922,2.941,0.0661,0.0055,4461.8,38025.4,3521.5,60.99,0.0975
