seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,3,0,5.753,7.485,0.0682,0.0081,2292.8,55762.8,13271.0,142.48,0.1641
42,entry,2,2,0,3.202,8.122,0.0663,0.0025,3056.4,51145.8,11021.9,129.65,0.0647
42,entry,3,3,0,5.315,7.060,0.0647,0.0096,2896.7,50381.8,10953.5,141.17,0.1437
42,entry,4,5,0,7.930,3.613,0.0593,0.0593,2259.0,54777.4,13530.3,127.47,0.0000
42,entry,5,5,0,8.096,4.290,0.0595,0.0595,2316.7,51690.9,12082.2,139.16,0.0000
42,entry,6,5,0,7.017,1.751,0.0681,0.0681,3607.2,49383.7,11664.5,108.98,0.0000
42,entry,7,5,0,6.050,7.508,0.0671,0.0671,2335.3,49681.3,11235.1,131.32,0.0000
42,entry,8,3,0,5.241,9.285,0.0675,0.0066,2403.8,50786.9,11392.6,142.12,0.1396
42,entry,9,3,0,5.699,5.861,0.0640,0.0091,2900.9,49553.8,10825.6,134.20,0.1562
42,entry,10,5,0,8.540,6.608,0.0613,0.0613,2207.8,57465.5,14133.9,143.60,0.0000
42,entry,11,3,0,2.697,10.998,0.0691,0.0037,3348.1,50411.4,10938.0,121.85,0.0958
42,entry,12,3,0,4.665,8.030,0.0642,0.0058,2731.4,50160.5,11024.8,140.70,0.1122
42,entry,13,3,0,3.203,10.276,0.0664,0.0026,2493.8,52376.4,11888.9,131.63,0.0645
42,entry,14,5,0,6.292,4.783,0.0639,0.0639,2453.6,50841.3,11330.3,130.99,0.0000
42,entry,15,5,0,6.573,3.660,0.0611,0.0611,2411.8,49221.1,11052.9,135.14,0.0000
42,entry,16,5,0,7.302,1.114,0.0686,0.0686,2496.1,49219.2,10986.1,132.84,0.0000
42,entry,17,3,0,4.318,11.066,0.0666,0.0064,2312.4,52179.5,12425.8,145.90,0.1027
42,entry,18,5,0,6.276,6.134,0.0628,0.0628,3296.2,52246.8,11126.8,113.92,0.0000
42,entry,19,3,0,2.630,10.924,0.0682,0.0063,2667.6,51495.5,11411.7,136.87,0.1305
42,entry,20,3,0,1.367,9.601,0.0618,0.0004,2319.9,52175.2,11938.0,130.71,0.0000
42,entry,21,5,0,6.399,5.465,0.0657,0.0657,2236.6,57095.3,13984.2,133.05,0.0000
42,entry,22,5,0,6.235,4.003,0.0628,0.0628,2543.5,49228.4,10967.4,132.76,0.0000
42,entry,23,5,0,7.505,0.992,0.0666,0.0666,2604.5,50577.7,11370.6,123.81,0.0000
42,entry,24,5,0,8.929,18.055,0.0696,0.0696,3511.8,51994.9,11464.5,108.71,0.0000
42,entry,25,5,0,7.205,1.340,0.0598,0.0598,2280.4,52955.0,12624.3,135.71,0.0000
42,entry,26,5,0,8.072,4.457,0.0594,0.0594,2175.7,59376.1,15521.3,139.43,0.0000
42,entry,27,3,0,5.218,7.102,0.0634,0.0071,2502.3,50508.1,11254.6,141.16,0.1170
42,entry,28,5,0,7.928,2.902,0.0650,0.0650,2254.6,55251.4,13196.1,131.96,0.0000
42,entry,29,5,0,7.100,1.586,0.0601,0.0601,2296.7,49763.9,11283.1,135.79,0.0000
42,entry,30,5,0,7.883,2.441,0.0673,0.0673,2346.2,50972.0,11470.5,133.74,0.0000
42,entry,31,5,0,6.619,4.128,0.0664,0.0664,2356.1,49736.2,11237.0,135.00,0.0000
42,entry,32,5,0,7.745,2.389,0.0628,0.0628,2262.9,54492.6,13359.8,138.23,0.0000
42,entry,33,5,0,7.527,2.261,0.0658,0.0658,3765.2,50314.5,10940.3,112.88,0.0000
42,entry,34,5,0,8.357,5.112,0.0630,0.0630,2214.5,57456.9,14600.2,133.71,0.0000
42,entry,35,5,0,7.668,0.745,0.0675,0.0675,2236.9,57337.7,14100.6,138.94,0.0000
42,entry,36,5,0,8.580,6.773,0.0645,0.0645,2754.0,49511.2,11158.2,123.58,0.0000
42,entry,37,5,0,7.890,2.305,0.0655,0.0655,3116.4,52203.1,11337.5,113.50,0.0000
42,entry,38,5,0,7.732,1.037,0.0666,0.0666,2260.8,55545.2,13561.8,142.04,0.0000
42,entry,39,5,0,10.498,29.355,0.0655,0.0655,4081.1,51302.2,13680.4,102.71,0.0000
42,entry,40,3,0,5.900,7.864,0.0691,0.0076,2491.5,49518.1,11078.1,143.51,0.1715
42,entry,41,5,0,7.604,0.606,0.0666,0.0666,2346.0,50734.2,11283.7,129.88,0.0000
42,entry,42,5,0,6.140,6.267,0.0683,0.0683,2366.1,49795.1,11287.8,132.74,0.0000
42,entry,43,5,0,6.906,2.883,0.0677,0.0677,2641.0,48791.9,10711.8,135.56,0.0000
42,entry,44,5,0,7.847,1.917,0.0674,0.0674,2275.8,55404.0,13544.4,140.03,0.0000
42,entry,45,3,0,2.830,11.116,0.0669,0.0053,2557.0,51574.4,11569.1,133.27,0.1153
42,entry,46,5,0,7.680,2.098,0.0614,0.0614,2261.0,55398.4,13668.8,130.03,0.0000
42,entry,47,3,0,5.626,6.348,0.0683,0.0113,3162.6,50639.7,10924.6,127.24,0.1705
42,entry,48,5,0,8.184,6.140,0.0570,0.0570,2243.9,53698.7,12669.9,135.60,0.0000
42,entry,49,5,0,8.372,5.832,0.0662,0.0662,3383.2,51728.0,11123.8,111.35,0.0000
42,entry,50,3,0,3.400,10.384,0.0675,0.0030,2486.0,50891.8,11489.1,136.15,0.0664
