seed,scenario,run,verdict,fault,td_v,td_lat,td_tilt,settled_tilt,fuel,max_qbar,peak_qdot,t_total,max_crush
42,entry,1,3,0,4.604,6.483,0.0375,0.0004,2054.5,56956.3,13395.5,140.86,0.0359
42,entry,2,3,0,5.776,12.623,0.0497,0.0042,2756.6,53418.5,11321.7,131.72,0.0902
42,entry,3,5,0,5.458,31.789,0.0666,0.0046,2617.9,52928.7,11421.5,138.15,0.1379
42,entry,4,3,0,2.589,16.638,0.0473,0.0020,2049.4,57032.6,13766.9,131.49,0.0305
42,entry,5,3,0,5.217,23.312,0.0600,0.0078,2048.8,55999.8,13051.3,150.78,0.1251
42,entry,6,3,0,4.708,13.729,0.0499,0.0053,3362.6,51854.6,11669.8,118.71,0.0799
42,entry,7,3,0,2.993,20.964,0.0677,0.0040,2119.3,52383.3,11651.0,139.99,0.0777
42,entry,8,3,0,2.884,11.293,0.0271,0.0002,2174.6,54336.0,12001.8,136.40,0.0081
42,entry,9,2,0,3.751,1.304,0.0369,0.0011,2612.0,52273.8,11230.2,128.54,0.0234
42,entry,10,3,0,3.823,22.811,0.0654,0.0027,1944.1,61773.9,15244.4,153.45,0.0589
42,entry,11,5,0,6.022,13.381,0.0507,0.0507,2969.6,53478.3,11024.5,111.57,0.0000
42,entry,12,2,0,3.079,9.743,0.0369,0.0014,2531.0,52058.2,11288.4,135.55,0.0308
42,entry,13,3,0,5.339,5.860,0.0473,0.0030,2121.9,55682.0,11920.3,131.00,0.0883
42,entry,14,5,1,96.034,157.798,0.0705,0.0705,0.0,52516.7,11542.5,165.05,0.0000
42,entry,15,2,0,3.513,0.875,0.0360,0.0018,2152.7,52027.0,11550.5,143.69,0.0261
42,entry,16,3,0,2.531,20.971,0.0634,0.0049,2225.0,54048.7,11926.6,139.23,0.0930
42,entry,17,3,0,5.732,12.561,0.0479,0.0044,2029.8,55899.0,12769.9,146.13,0.0800
42,entry,18,5,0,2.148,27.768,0.0608,0.0012,2978.8,54486.0,11064.5,121.96,0.0166
42,entry,19,3,0,3.875,25.057,0.0635,0.0018,2430.1,53141.9,11667.8,138.61,0.0635
42,entry,20,3,0,4.331,2.857,0.0369,0.0002,2125.6,53182.7,12033.8,131.39,0.0305
42,entry,21,3,0,2.876,11.695,0.0528,0.0037,1998.4,60061.6,14669.6,141.42,0.0666
42,entry,22,3,0,2.576,15.005,0.0533,0.0032,2264.3,52590.0,11488.1,137.23,0.0534
42,entry,23,3,0,4.672,8.495,0.0490,0.0035,2345.3,53349.0,11685.3,134.05,0.0643
42,entry,24,2,0,1.861,7.025,0.0411,0.0003,3175.8,54133.9,11470.6,115.16,0.0000
42,entry,25,3,0,2.708,17.374,0.0636,0.0044,2058.4,56595.0,13183.1,141.76,0.0916
42,entry,26,5,0,6.180,4.561,0.0486,0.0486,1852.1,65649.5,16636.6,138.30,0.0000
42,entry,27,2,0,3.637,7.662,0.0296,0.0016,2301.9,52388.8,11480.7,134.90,0.0349
42,entry,28,3,0,2.313,14.340,0.0174,0.0002,2023.5,56676.7,13452.0,137.36,0.0000
42,entry,29,2,0,3.903,8.458,0.0327,0.0022,2108.4,54671.3,12279.7,144.36,0.0339
42,entry,30,2,0,3.582,6.709,0.0300,0.0009,2089.1,53704.8,11895.9,141.69,0.0225
42,entry,31,3,0,2.273,14.309,0.0335,0.0003,2106.5,54077.1,12026.1,137.78,0.0009
42,entry,32,3,0,2.915,19.513,0.0678,0.0041,2039.7,58675.7,14129.8,146.54,0.0788
42,entry,33,3,0,2.412,14.802,0.0147,0.0003,3530.0,51676.8,10939.1,118.23,0.0000
42,entry,34,3,0,2.609,17.564,0.0695,0.0043,1940.4,62954.0,15675.6,140.86,0.1242
42,entry,35,2,0,3.483,9.103,0.0267,0.0012,1930.7,60281.4,14635.4,146.27,0.0270
42,entry,36,3,0,4.075,5.407,0.0370,0.0008,2513.3,52741.0,11514.7,132.13,0.0299
42,entry,37,3,0,3.591,18.810,0.0524,0.0012,2790.7,54531.8,11232.6,124.23,0.0317
42,entry,38,2,0,2.664,8.150,0.0167,0.0004,1973.1,59460.2,14206.2,147.54,0.0000
42,entry,39,5,0,12.654,4.613,0.0613,0.0613,3810.8,53476.9,13710.7,102.48,0.0000
42,entry,40,3,0,2.587,18.992,0.0650,0.0053,2288.5,52422.2,11505.1,138.24,0.0887
42,entry,41,5,0,6.030,8.321,0.0488,0.0488,2148.7,52409.6,11581.4,129.40,0.0000
42,entry,42,3,0,4.698,5.949,0.0433,0.0036,2085.0,54309.8,12098.4,142.99,0.0745
42,entry,43,3,0,2.114,14.072,0.0140,0.0002,2292.0,51789.3,11136.1,140.00,0.0000
42,entry,44,3,0,2.973,22.606,0.0682,0.0039,1991.4,59581.9,14437.4,148.50,0.0788
42,entry,45,3,0,4.708,7.036,0.0446,0.0005,2295.6,54080.1,11802.7,137.64,0.0258
42,entry,46,3,0,4.024,1.086,0.0388,0.0014,1980.3,59005.1,14206.6,139.40,0.0255
42,entry,47,3,0,4.130,4.196,0.0375,0.0008,2735.4,54714.5,11270.8,126.37,0.0307
42,entry,48,2,0,3.993,4.163,0.0380,0.0008,2002.1,56033.4,13044.0,144.82,0.0263
42,entry,49,2,0,3.884,8.846,0.0471,0.0019,3032.2,53871.1,11127.9,121.36,0.0381
42,entry,50,2,0,3.629,9.392,0.0298,0.0019,2217.3,54626.1,11865.1,133.35,0.0307
42,entry,51,2,0,3.291,9.235,0.0264,0.0006,1993.8,55448.3,12563.5,146.66,0.0154
42,entry,52,3,0,5.414,18.451,0.0489,0.0015,2410.8,53848.9,11689.6,137.94,0.0279
42,entry,53,3,0,2.675,22.424,0.0678,0.0043,2002.3,59160.7,14349.2,143.70,0.0876
42,entry,54,3,0,3.188,20.946,0.0673,0.0022,2054.0,55065.9,12726.6,136.51,0.0648
42,entry,55,3,0,5.690,15.611,0.0485,0.0034,1949.5,59882.3,14453.5,146.47,0.0525
42,entry,56,3,0,2.473,13.202,0.0443,0.0016,2087.5,52967.5,11745.3,137.83,0.0277
42,entry,57,5,0,6.682,5.189,0.0467,0.0467,2052.7,57067.1,13517.8,131.40,0.0000
42,entry,58,3,0,2.156,14.097,0.0219,0.0003,2124.0,53282.0,11848.9,146.48,0.0000
42,entry,59,5,0,6.581,7.417,0.0488,0.0488,2593.0,52105.9,11324.5,125.41,0.0000
42,entry,60,3,0,4.526,3.485,0.0431,0.0001,2047.6,55823.8,12934.0,147.14,0.0264
42,entry,61,3,0,5.868,9.382,0.0462,0.0063,2011.1,56901.8,13255.7,143.99,0.1121
42,entry,62,3,0,2.568,19.529,0.0683,0.0078,2124.8,53555.0,12018.9,143.21,0.1205
42,entry,63,3,0,5.025,1.992,0.0414,0.0020,2480.2,55115.9,11546.3,129.39,0.0622
42,entry,64,3,0,3.016,21.171,0.0683,0.0039,2095.1,54662.6,12360.3,137.97,0.0782
42,entry,65,2,0,3.784,7.130,0.0334,0.0020,2351.3,53633.0,11675.2,133.79,0.0317
42,entry,66,3,0,5.586,14.160,0.0552,0.0057,2972.0,52135.9,10942.7,134.71,0.1080
42,entry,67,3,0,2.180,14.130,0.0217,0.0003,2307.8,52129.0,11501.4,129.04,0.0000
42,entry,68,3,0,4.787,2.511,0.0397,0.0009,2444.1,54540.0,11700.3,135.86,0.0454
42,entry,69,3,0,2.905,13.017,0.0185,0.0003,2030.4,53411.2,11931.3,139.85,0.0011
42,entry,70,3,0,3.682,9.656,0.0505,0.0003,2064.8,53563.0,12068.1,140.56,0.0000
42,entry,71,2,0,3.364,10.218,0.0297,0.0016,2633.1,54015.7,11422.0,129.47,0.0344
42,entry,72,3,0,4.732,18.785,0.0642,0.0030,2031.8,56979.4,13441.8,150.65,0.1010
42,entry,73,5,0,5.556,26.452,0.0675,0.0107,2871.3,54643.9,11988.6,118.00,0.1661
42,entry,74,3,0,2.637,15.301,0.0569,0.0036,2026.1,58409.6,13926.3,141.96,0.0628
42,entry,75,3,0,4.385,0.334,0.0384,0.0011,2120.6,52364.8,11578.9,145.18,0.0286
42,entry,76,3,0,2.732,18.209,0.0684,0.0057,2125.7,55798.9,13007.8,151.00,0.0939
42,entry,77,3,0,5.801,0.692,0.0439,0.0031,2102.5,53516.0,11965.6,138.28,0.0955
42,entry,78,3,0,3.044,23.402,0.0668,0.0034,2057.7,56348.2,12994.8,152.13,0.0724
42,entry,79,3,0,4.104,6.460,0.0457,0.0011,2209.3,54850.1,11846.1,131.04,0.0318
42,entry,80,3,0,2.618,18.535,0.0691,0.0037,2096.3,54065.2,12163.1,140.60,0.1144
42,entry,81,5,0,8.183,30.921,0.0596,0.0596,2378.8,55217.4,11690.1,120.93,0.0000
42,entry,82,3,0,2.645,12.025,0.0199,0.0005,2370.0,52336.2,11535.4,128.52,0.0000
42,entry,83,3,0,3.625,14.401,0.0552,0.0008,2467.7,52421.7,11484.5,137.53,0.0281
42,entry,84,3,0,3.697,20.196,0.0661,0.0006,2035.4,58330.7,13885.4,149.61,0.0566
